frame,x0,y0,x1,y1,area,motion,blur
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.317500000000000000e+04,0.000000000000000000e+00,2.856152469563876366e+02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.318400000000000000e+04,2.815663580246913766e-01,2.829823698216735579e+02
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.307200000000000000e+04,2.586728395061728136e-01,2.798772006170457871e+02
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.309400000000000000e+04,3.516743827160493940e-01,2.793188240109643630e+02
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.314500000000000000e+04,3.618055555555555469e-01,2.775436050904492049e+02
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.315500000000000000e+04,4.992206790123456805e-01,2.756771695206523418e+02
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.331400000000000000e+04,6.700617283950617287e-01,2.768677542828837659e+02
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.325600000000000000e+04,6.369675925925926130e-01,2.766566790037722967e+02
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.311100000000000000e+04,6.938580246913580440e-01,2.791625153891722562e+02
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.305500000000000000e+04,7.215046296296295791e-01,2.770956135628619563e+02
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.303800000000000000e+04,6.653549382716049676e-01,2.757031422029797341e+02
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.310700000000000000e+04,6.507561728395061529e-01,2.783617849070263901e+02
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.301800000000000000e+04,7.239969135802468703e-01,2.785171370863340599e+02
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.304900000000000000e+04,6.645061728395061929e-01,2.807338377226699322e+02
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.302800000000000000e+04,5.960339506172839252e-01,2.803202227935432802e+02
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.295300000000000000e+04,5.931095679012345911e-01,2.808836270075422021e+02
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.308200000000000000e+04,6.610725308641974829e-01,2.825323673944520806e+02
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.301800000000000000e+04,6.595293209876542662e-01,2.863155050791966687e+02
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.315400000000000000e+04,6.378395061728394655e-01,2.869272507453488856e+02
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.305700000000000000e+04,5.853626543209876631e-01,2.901847053106781118e+02
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.322300000000000000e+04,6.262422839506173178e-01,2.898924372541699768e+02
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.337400000000000000e+04,6.085956790123456805e-01,2.909422983652810899e+02
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.335000000000000000e+04,5.475925925925926308e-01,2.887651522714120347e+02
2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.335500000000000000e+04,5.643749999999999600e-01,2.881509655804659360e+02
2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.342300000000000000e+04,5.754166666666666874e-01,2.892893239354114030e+02
2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.335500000000000000e+04,5.563194444444444775e-01,2.881851449444992568e+02
2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.353800000000000000e+04,5.075540123456789843e-01,2.892128674361281924e+02
2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.358000000000000000e+04,5.014429012345679171e-01,2.904663709302602683e+02
2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.356600000000000000e+04,5.511188271604938738e-01,2.921451043036027500e+02
2.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.353400000000000000e+04,5.241975308641975140e-01,2.924108690581061296e+02
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.353300000000000000e+04,5.112345679012345601e-01,2.937155535834381226e+02
3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.349900000000000000e+04,5.090509259259259345e-01,2.950463939542728440e+02
3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.336500000000000000e+04,5.309104938271604901e-01,2.942346813313876623e+02
3.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.344200000000000000e+04,5.873842592592593004e-01,2.935943743926587786e+02
3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,1.367600000000000000e+04,5.493672839506172911e-01,2.923259712160398749e+02
