Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.144972,-0.096885,76.117849,2.531213,-1.509751,101.778389,-0.062779,16.869892,18.957224,-3.825775,0.528054,-11.179177,11.706257,-25.416277,-37.341809,-5.000031,-0.998772,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
1,0.137065,-0.060328,76.121944,2.516621,-1.475567,101.900806,-0.126172,16.870090,18.891604,-3.893651,0.509628,-11.198029,11.668967,-25.397073,-37.296654,-5.000031,-1.070342,15.000033,0.260292,4.796359,6.822124,4.461591,20.392908,-35.308251,65.066849,-4.299879,1.655693,9.547045,44.400573,-43.382404,35.836929,-26.152015,19.877145,-30.018518,-8.919738
2,0.129351,-0.023504,76.123121,2.504561,-1.443856,102.017343,-0.178018,16.869030,18.827287,-3.943169,0.496315,-11.215145,11.645995,-25.380007,-37.262069,-4.989535,-1.130993,15.000033,0.236900,4.826718,6.805350,4.520107,20.412114,-35.243996,64.900274,-4.424489,1.640603,9.483824,44.593665,-43.586922,35.893363,-26.231101,20.128414,-29.714419,-9.008844
3,0.122073,0.013818,76.119373,2.496753,-1.415041,102.124754,-0.211196,16.866125,18.766976,-3.961855,0.491530,-11.228712,11.646166,-25.366762,-37.245470,-4.960675,-1.174413,15.000033,0.209218,4.847649,6.790179,4.582110,20.432384,-35.180001,64.747814,-4.530652,1.623907,9.427306,44.784971,-43.773623,35.930995,-26.311996,20.423823,-29.397283,-9.047517
4,0.115493,0.051610,76.117353,2.493503,-1.388183,102.222331,-0.239865,16.861752,18.714073,-3.977382,0.480106,-11.236940,11.656039,-25.358033,-37.250809,-4.942681,-1.215674,15.000033,0.176964,4.858153,6.776225,4.646428,20.454139,-35.118843,64.612655,-4.613892,1.606555,9.378768,44.972887,-43.937619,35.947473,-26.392888,20.775100,-29.068747,-9.028252
5,0.109880,0.089589,76.116942,2.493472,-1.362378,102.311822,-0.264897,16.857215,18.671329,-3.989866,0.462407,-11.238388,11.674840,-25.353357,-37.279107,-4.934434,-1.256868,15.000033,0.141481,4.859648,6.763030,4.709977,20.477557,-35.064086,64.495634,-4.671301,1.590484,9.336612,45.155068,-44.076769,35.945776,-26.469519,21.178744,-28.739100,-8.956988
6,0.105709,0.127174,76.117956,2.494557,-1.337930,102.395968,-0.286843,16.854371,18.641503,-3.999461,0.439709,-11.231270,11.703065,-25.351645,-37.332838,-4.935359,-1.299901,15.000033,0.106151,4.854251,6.750698,4.767366,20.502589,-35.020131,64.398215,-4.698233,1.578711,9.296915,45.327080,-44.188018,35.932768,-26.534509,21.617911,-28.427621,-8.848072
7,0.103086,0.163835,76.119925,2.495211,-1.315341,102.478085,-0.306664,16.853897,18.622253,-4.006918,0.414624,-11.217150,11.739298,-25.351160,-37.407546,-4.943260,-1.344573,15.000033,0.074558,4.845269,6.739434,4.815485,20.528493,-34.986031,64.316462,-4.701682,1.572417,9.255610,45.487587,-44.276934,35.918414,-26.585640,22.065787,-28.144186,-8.725043
8,0.102213,0.199130,76.122849,2.495386,-1.294906,102.558725,-0.324857,16.855691,18.611860,-4.012710,0.387889,-11.197633,11.782322,-25.351507,-37.500908,-4.957060,-1.390296,15.000033,0.048760,4.833916,6.729502,4.852992,20.554809,-34.959364,64.248793,-4.689095,1.571742,9.211527,45.635895,-44.346471,35.907085,-26.623903,22.511997,-27.889767,-8.595594
9,0.103192,0.232758,76.125920,2.495816,-1.276395,102.636542,-0.339871,16.859117,18.608476,-4.013477,0.361726,-11.174964,11.831635,-25.352894,-37.608902,-4.971492,-1.434106,15.000033,0.029635,4.820991,6.721315,4.880733,20.581158,-34.935991,64.193276,-4.670466,1.575553,9.165543,45.772583,-44.400016,35.899839,-26.653347,22.950460,-27.659479,-8.461107
10,0.105984,0.264558,76.129111,2.497337,-1.258683,102.708367,-0.352225,16.863458,18.610774,-4.010109,0.336799,-11.151373,11.883371,-25.355630,-37.725688,-4.985520,-1.474425,15.000033,0.017293,4.807367,6.715641,4.901258,20.607113,-34.911678,64.147794,-4.654563,1.581973,9.119992,45.898218,-44.440691,35.896126,-26.678207,23.367005,-27.450297,-8.325352
11,0.110537,0.294232,76.132009,2.500436,-1.238907,102.768239,-0.362849,16.868354,18.618729,-4.003852,0.314678,-11.128886,11.931170,-25.359913,-37.843146,-4.998156,-1.508353,15.000033,0.011750,4.794227,6.713936,4.917826,20.632137,-34.883458,64.111354,-4.647121,1.588893,9.079591,46.010625,-44.470216,35.896184,-26.700271,23.723029,-27.269545,-8.201421
12,0.116196,0.322006,76.131956,2.504498,-1.214777,102.814825,-0.368894,16.873743,18.630926,-3.987868,0.300346,-11.108703,11.974717,-25.364973,-37.953097,-5.000031,-1.530111,15.000033,0.010593,4.782506,6.716157,4.933630,20.656131,-34.851934,64.081559,-4.647757,1.594696,9.048523,46.109995,-44.492601,35.900445,-26.719437,23.994686,-27.120217,-8.098551
13,0.122497,0.347738,76.130595,2.508554,-1.186080,102.849306,-0.375828,16.879890,18.645745,-3.972605,0.289295,-11.091717,12.007560,-25.369621,-38.050092,-5.000031,-1.543044,15.000033,0.012378,4.772968,6.721926,4.949093,20.679083,-34.817850,64.057303,-4.655472,1.598881,9.029459,46.195690,-44.509756,35.909977,-26.734251,24.170253,-27.004885,-8.017325
14,0.129031,0.371130,76.128140,2.511215,-1.155008,102.876088,-0.384914,16.887207,18.660566,-3.960900,0.280259,-11.078533,12.029844,-25.372265,-38.131277,-5.000031,-1.548073,15.000033,0.016173,4.766267,6.730398,4.963165,20.701193,-34.780859,64.036441,-4.668918,1.601826,9.021696,46.268347,-44.523181,35.925414,-26.743148,24.255037,-26.921840,-7.949727
15,0.135531,0.391723,76.124623,2.511116,-1.125059,102.900866,-0.395919,16.896058,18.672641,-3.953064,0.273060,-11.069365,12.044574,-25.371420,-38.196290,-5.000031,-1.546294,15.000033,0.021562,4.762723,6.740747,4.974147,20.722922,-34.739594,64.015725,-4.686879,1.604594,9.021718,46.329168,-44.534039,35.946982,-26.744898,24.265961,-26.865942,-7.883977
16,0.141943,0.408503,76.120319,2.507281,-1.100280,102.928940,-0.408376,16.906560,18.679460,-3.949075,0.268223,-11.064330,12.055004,-25.365934,-38.245231,-5.000031,-1.539240,15.000033,0.028661,4.762267,6.752685,4.979620,20.745063,-34.692525,63.990958,-4.708740,1.608742,9.025428,46.377377,-44.543102,35.975835,-26.738195,24.221483,-26.831051,-7.810514
17,0.148490,0.421434,76.115964,2.500922,-1.081955,102.961785,-0.421418,16.917707,18.680875,-3.947441,0.266328,-11.062169,12.064513,-25.357142,-38.283703,-5.000031,-1.530096,15.000033,0.037535,4.763395,6.765883,4.979215,20.768347,-34.641569,63.959865,-4.733857,1.614874,9.029231,46.414179,-44.551253,36.011769,-26.725034,24.150775,-26.804957,-7.731661
18,0.155523,0.430244,76.112259,2.493489,-1.070608,102.998863,-0.434444,16.928440,18.677095,-3.947095,0.268311,-11.062038,12.074807,-25.346635,-38.316065,-5.000031,-1.521075,15.000033,0.048609,4.764873,6.780056,4.972702,20.793245,-34.589534,63.921415,-4.762653,1.622486,9.031653,46.439296,-44.558764,36.055059,-26.707543,24.069936,-26.779804,-7.655823
19,0.163441,0.434906,76.109902,2.486702,-1.066306,103.039106,-0.446777,16.937870,18.669554,-3.947139,0.274321,-11.063029,12.087270,-25.336254,-38.346927,-5.000031,-1.513901,15.000033,0.062142,4.765613,6.794598,4.959881,20.819765,-34.539641,63.876450,-4.795211,1.630128,9.032057,46.453797,-44.565532,36.104706,-26.689156,23.993024,-26.749654,-7.592185
20,0.172600,0.435657,76.109494,2.482244,-1.069030,103.082269,-0.457750,16.945488,18.660603,-3.946932,0.283257,-11.064184,12.103379,-25.327585,-38.380458,-5.000031,-1.509639,15.000033,0.077863,4.764835,6.808837,4.940098,20.847452,-34.494313,63.827442,-4.831269,1.636263,9.030071,46.460712,-44.571094,36.158208,-26.674169,23.932984,-26.710271,-7.546439
21,0.183415,0.432760,76.110857,2.481627,-1.079107,103.130067,-0.465325,16.951152,18.653068,-3.942869,0.294419,-11.064160,12.126814,-25.321784,-38.420951,-4.996995,-1.507468,15.000033,0.094690,4.762007,6.822449,4.911634,20.875632,-34.455023,63.777510,-4.870824,1.639616,9.024607,46.464812,-44.574483,36.211629,-26.667440,23.903914,-26.657322,-7.521726
22,0.195681,0.427656,76.114259,2.484416,-1.094365,103.183782,-0.471751,16.955703,18.648688,-3.938187,0.303653,-11.061912,12.155987,-25.318364,-38.469618,-4.994310,-1.508098,15.000033,0.110823,4.757737,6.836029,4.875453,20.903633,-34.420189,63.729118,-4.912948,1.640395,9.014890,46.471831,-44.575238,36.261108,-26.669820,23.906447,-26.591991,-7.512635
