Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.176698,1.851114,78.800926,-0.078746,2.514518,-96.025672,-2.013375,5.485871,18.263475,6.744538,-6.448047,-3.263031,-1.454723,-6.823773,-4.455553,6.796440,-7.560683,6.258035,1.417275,-2.744037,1.284835,-5.824019,98.604550,17.175678,78.411650,20.707903,10.858254,-4.936617,37.752117,-98.038376,-47.419876,74.141840,-4.510075,13.679943,24.395660
1,0.176696,1.851113,78.800926,-0.078748,2.514517,-96.025672,-2.009260,5.485614,18.262505,6.744751,-6.450159,-3.262393,-1.449817,-6.824576,-4.458390,6.796676,-7.566681,6.250166,1.417275,-2.744037,1.284835,-5.824019,98.604550,17.175678,78.411650,20.707903,10.858254,-4.936617,37.752117,-98.038376,-47.419876,74.141840,-4.510075,13.679943,24.395660
2,0.176609,1.851201,78.801064,-0.078734,2.514541,-96.025676,-2.009002,5.484707,18.261284,6.744600,-6.448243,-3.259369,-1.448890,-6.825607,-4.460971,6.796702,-7.568467,6.241628,1.417272,-2.744037,1.284844,-5.824016,98.604350,17.175670,78.411650,20.707907,10.858254,-4.936617,37.752125,-98.038190,-47.419870,74.141840,-4.510081,13.679943,24.395658
3,0.176608,1.851201,78.801064,-0.078732,2.514541,-96.025672,-2.009224,5.484804,18.260360,6.744740,-6.446477,-3.258015,-1.448433,-6.825708,-4.463086,6.796698,-7.569873,6.233626,1.417272,-2.744037,1.284844,-5.824016,98.604350,17.175670,78.411650,20.707907,10.858254,-4.936617,37.752125,-98.038190,-47.419870,74.141840,-4.510081,13.679943,24.395658
4,0.172864,1.846584,78.802231,-0.078009,2.516363,-96.025799,-2.013026,5.484069,18.260695,6.744291,-6.444255,-3.258626,-1.452196,-6.825898,-4.463239,6.796164,-7.568496,6.228509,1.417147,-2.744075,1.285229,-5.823822,98.599884,17.175411,78.411650,20.708060,10.858224,-4.936634,37.752388,-98.034240,-47.419655,74.141914,-4.510329,13.679966,24.395600
5,0.169788,1.840839,78.802223,-0.077416,2.518300,-96.025993,-2.013910,5.485129,18.262680,6.744133,-6.447929,-3.266899,-1.453607,-6.824249,-4.461334,6.796228,-7.570562,6.228835,1.416941,-2.744163,1.285702,-5.823548,98.595460,17.175064,78.411606,20.708290,10.858119,-4.936685,37.752655,-98.030350,-47.419437,74.142030,-4.510587,13.680002,24.395521
6,0.169269,1.839468,78.802223,-0.077290,2.518757,-96.026069,-2.012812,5.486515,18.265790,6.743411,-6.453744,-3.279066,-1.453299,-6.821979,-4.457839,6.795567,-7.572210,6.233745,1.416872,-2.744197,1.285829,-5.823466,98.594480,17.174963,78.411575,20.708363,10.858072,-4.936707,37.752716,-98.029495,-47.419390,74.142050,-4.510642,13.680015,24.395498
7,0.169271,1.839468,78.802208,-0.077287,2.518758,-96.026064,-2.009530,5.485825,18.269281,6.743480,-6.462526,-3.288234,-1.450824,-6.821963,-4.454331,6.795668,-7.575790,6.240452,1.416872,-2.744197,1.285829,-5.823466,98.594480,17.174963,78.411575,20.708363,10.858072,-4.936707,37.752716,-98.029495,-47.419390,74.142050,-4.510642,13.680015,24.395498
8,0.169271,1.839469,78.802216,-0.077286,2.518760,-96.026064,-2.007501,5.487078,18.271175,6.744037,-6.467635,-3.291930,-1.448846,-6.820625,-4.453010,6.796073,-7.578323,6.239952,1.416872,-2.744197,1.285829,-5.823466,98.594480,17.174963,78.411575,20.708363,10.858072,-4.936707,37.752716,-98.029495,-47.419390,74.142050,-4.510642,13.680015,24.395498
9,0.169240,1.839451,78.802223,-0.077284,2.518775,-96.026064,-2.007737,5.486545,18.271570,6.744055,-6.466736,-3.282566,-1.448256,-6.821907,-4.454482,6.796248,-7.577347,6.231624,1.416868,-2.744199,1.285834,-5.823462,98.594444,17.174960,78.411575,20.708366,10.858069,-4.936708,37.752716,-98.029465,-47.419390,74.142050,-4.510643,13.680016,24.395496
