Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.00000000,0.00000000,77.51385583,0.00000000,0.00000000,0.00000000,-24.00000000,6.00000000,0.00000000,32.00000000,-12.00000000,0.00000000,6.00000000,-6.00000000,0.00000000,26.00000000,-16.00000000,0.00000000,-16.00000000,0.00000000,8.00000000,-18.00000000,20.00000000,0.00000000,82.00000000,0.00000000,0.00000000,0.00000000,-14.00000000,-22.00000000,0.00000000,92.00000000,0.00000000,0.00000000,0.00000000
1,0.00000000,0.00000000,77.51385583,0.00000000,0.00000000,0.00000000,-24.00000000,6.00000000,0.00000000,32.00000000,-12.00000000,0.00000000,6.00000000,-6.00000000,0.00000000,26.00000000,-16.00000000,0.00000000,-16.00000000,0.00000000,8.00000000,-18.00000000,20.00000000,0.00000000,82.00000000,0.00000000,0.00000000,0.00000000,-14.00000000,-22.00000000,0.00000000,92.00000000,0.00000000,0.00000000,0.00000000
2,0.00000000,0.00000000,77.51385583,0.00000000,0.00000000,0.00000000,-24.00000000,6.00000000,0.00000000,32.00000000,-12.00000000,0.00000000,6.00000000,-6.00000000,0.00000000,26.00000000,-16.00000000,0.00000000,-16.00000000,0.00000000,8.00000000,-18.00000000,20.00000000,0.00000000,82.00000000,0.00000000,0.00000000,0.00000000,-14.00000000,-22.00000000,0.00000000,92.00000000,0.00000000,0.00000000,0.00000000
3,0.00000000,0.00000000,77.51385583,0.00000000,0.00000000,0.00000000,-24.00000000,6.00000000,0.00000000,32.00000000,-12.00000000,0.00000000,6.00000000,-6.00000000,0.00000000,26.00000000,-16.00000000,0.00000000,-16.00000000,0.00000000,8.00000000,-18.00000000,20.00000000,0.00000000,82.00000000,0.00000000,0.00000000,0.00000000,-14.00000000,-22.00000000,0.00000000,92.00000000,0.00000000,0.00000000,0.00000000
4,0.00000000,0.00000000,77.51385583,0.00000000,0.00000000,0.00000000,-24.00000000,6.00000000,0.00000000,32.00000000,-12.00000000,0.00000000,6.00000000,-6.00000000,0.00000000,26.00000000,-16.00000000,0.00000000,-16.00000000,0.00000000,8.00000000,-18.00000000,20.00000000,0.00000000,82.00000000,0.00000000,0.00000000,0.00000000,-14.00000000,-22.00000000,0.00000000,92.00000000,0.00000000,0.00000000,0.00000000
5,0.00000000,0.00000000,77.51385583,0.00000000,0.00000000,0.00000000,-24.00000000,6.00000000,0.00000000,32.00000000,-12.00000000,0.00000000,6.00000000,-6.00000000,0.00000000,26.00000000,-16.00000000,0.00000000,-16.00000000,0.00000000,8.00000000,-18.00000000,20.00000000,0.00000000,82.00000000,0.00000000,0.00000000,0.00000000,-14.00000000,-22.00000000,0.00000000,92.00000000,0.00000000,0.00000000,0.00000000
6,0.00000000,0.00000000,77.51385583,0.00000000,0.00000000,0.00000000,-24.00000000,6.00000000,0.00000000,32.00000000,-12.00000000,0.00000000,6.00000000,-6.00000000,0.00000000,26.00000000,-16.00000000,0.00000000,-16.00000000,0.00000000,8.00000000,-18.00000000,20.00000000,0.00000000,82.00000000,0.00000000,0.00000000,0.00000000,-14.00000000,-22.00000000,0.00000000,92.00000000,0.00000000,0.00000000,0.00000000
7,0.00000000,0.00000000,77.51385583,0.00000000,0.00000000,0.00000000,-24.00000000,6.00000000,0.00000000,32.00000000,-12.00000000,0.00000000,6.00000000,-6.00000000,0.00000000,26.00000000,-16.00000000,0.00000000,-16.00000000,0.00000000,8.00000000,-18.00000000,20.00000000,0.00000000,82.00000000,0.00000000,0.00000000,0.00000000,-14.00000000,-22.00000000,0.00000000,92.00000000,0.00000000,0.00000000,0.00000000
8,0.00000000,0.00000000,77.51385583,0.00000000,0.00000000,0.00000000,-24.00000000,6.00000000,0.00000000,32.00000000,-12.00000000,0.00000000,6.00000000,-6.00000000,0.00000000,26.00000000,-16.00000000,0.00000000,-16.00000000,0.00000000,8.00000000,-18.00000000,20.00000000,0.00000000,82.00000000,0.00000000,0.00000000,0.00000000,-14.00000000,-22.00000000,0.00000000,92.00000000,0.00000000,0.00000000,0.00000000
9,0.00000000,0.00000000,77.51385583,0.00000000,0.00000000,0.00000000,-24.00000000,6.00000000,0.00000000,32.00000000,-12.00000000,0.00000000,6.00000000,-6.00000000,0.00000000,26.00000000,-16.00000000,0.00000000,-16.00000000,0.00000000,8.00000000,-18.00000000,20.00000000,0.00000000,82.00000000,0.00000000,0.00000000,0.00000000,-14.00000000,-22.00000000,0.00000000,92.00000000,0.00000000,0.00000000,0.00000000
10,0.00000000,0.00000000,77.51385583,0.00000000,0.00000000,0.00000000,-24.00000000,6.00000000,0.00000000,32.00000000,-12.00000000,0.00000000,6.00000000,-6.00000000,0.00000000,26.00000000,-16.00000000,0.00000000,-16.00000000,0.00000000,8.00000000,-18.00000000,20.00000000,0.00000000,82.00000000,0.00000000,0.00000000,0.00000000,-14.00000000,-22.00000000,0.00000000,92.00000000,0.00000000,0.00000000,0.00000000
11,0.00000000,0.00000000,77.51385583,0.00000000,0.00000000,0.00000000,-24.00000000,6.00000000,0.00000000,32.00000000,-12.00000000,0.00000000,6.00000000,-6.00000000,0.00000000,26.00000000,-16.00000000,0.00000000,-16.00000000,0.00000000,8.00000000,-18.00000000,20.00000000,0.00000000,82.00000000,0.00000000,0.00000000,0.00000000,-14.00000000,-22.00000000,0.00000000,92.00000000,0.00000000,0.00000000,0.00000000
12,0.00000000,0.00000000,77.51385583,0.00000000,0.00000000,0.00000000,-24.00000000,6.00000000,0.00000000,32.00000000,-12.00000000,0.00000000,6.00000000,-6.00000000,0.00000000,26.00000000,-16.00000000,0.00000000,-16.00000000,0.00000000,8.00000000,-18.00000000,20.00000000,0.00000000,82.00000000,0.00000000,0.00000000,0.00000000,-14.00000000,-22.00000000,0.00000000,92.00000000,0.00000000,0.00000000,0.00000000
13,0.00000000,0.00000000,77.51385583,0.00000000,0.00000000,0.00000000,-24.00000000,6.00000000,0.00000000,32.00000000,-12.00000000,0.00000000,6.00000000,-6.00000000,0.00000000,26.00000000,-16.00000000,0.00000000,-16.00000000,0.00000000,8.00000000,-18.00000000,20.00000000,0.00000000,82.00000000,0.00000000,0.00000000,0.00000000,-14.00000000,-22.00000000,0.00000000,92.00000000,0.00000000,0.00000000,0.00000000
14,0.00000000,0.00000000,77.51385583,0.00000000,0.00000000,0.00000000,-24.00000000,6.00000000,0.00000000,32.00000000,-12.00000000,0.00000000,6.00000000,-6.00000000,0.00000000,26.00000000,-16.00000000,0.00000000,-16.00000000,0.00000000,8.00000000,-18.00000000,20.00000000,0.00000000,82.00000000,0.00000000,0.00000000,0.00000000,-14.00000000,-22.00000000,0.00000000,92.00000000,0.00000000,0.00000000,0.00000000
15,-0.01297223,0.00000000,77.50234689,0.00000000,0.00000000,0.00000000,-23.97405553,6.00000000,0.00000000,31.97405553,-12.00000000,0.00000000,6.02594447,-6.00000000,0.00000000,26.04324078,-16.01729631,0.00000000,-16.08648157,0.00000000,7.99135184,-18.02594447,20.02594447,0.00000000,82.03459263,0.00000000,0.00000000,0.00000000,-14.08648157,-22.09512972,-0.12972235,92.01297223,0.00000000,0.00000000,0.00000000
16,-0.05052344,0.00000000,77.46874806,0.00000000,0.00000000,0.00000000,-23.89895312,6.00000000,0.00000000,31.89895312,-12.00000000,0.00000000,6.10104688,-6.00000000,0.00000000,26.16841147,-16.06736459,0.00000000,-16.33682294,0.00000000,7.96631771,-18.10104688,20.10104688,0.00000000,82.13472918,0.00000000,0.00000000,0.00000000,-14.33682294,-22.37050523,-0.50523441,92.05052344,0.00000000,0.00000000,0.00000000
17,-0.11060537,0.00000000,77.41411443,0.00000000,0.00000000,0.00000000,-23.77878926,6.00000000,0.00000000,31.77878926,-12.00000000,0.00000000,6.22121074,-6.00000000,0.00000000,26.36868457,-16.14747383,0.00000000,-16.73736914,0.00000000,7.92626309,-18.22121074,20.22121074,0.00000000,82.29494766,0.00000000,0.00000000,0.00000000,-14.73736914,-22.81110605,-1.10605371,92.11060537,0.00000000,0.00000000,0.00000000
