Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.15291996,-0.09618336,78.27921703,2.53354847,-1.48359539,101.76454147,5.03242500,16.82628600,19.18507600,5.90834200,5.49476530,-11.24889900,16.12142200,-25.58418700,-36.62540400,5.01715800,3.91719170,15.00003300,0.37503365,4.71601700,6.79309700,4.32578000,20.37180900,-35.44609500,65.33025000,-4.15970230,1.67004810,9.61340600,44.08428000,-42.91887000,35.83801300,-25.84806300,19.63697000,-30.30084400,-8.77271100
1,0.14588338,-0.06204309,78.28586974,2.51659835,-1.39519177,101.92963309,4.91976170,16.84393700,19.18116800,5.87598040,5.55357170,-11.26727100,16.18941000,-25.42071300,-36.50970000,4.75285150,4.01328370,15.00003300,0.39107582,4.79470870,6.75021170,4.33038430,20.38864700,-35.44168500,65.11638000,-4.40333460,1.67815290,9.58447700,44.24713000,-43.11450600,35.97731800,-25.87512800,19.77960400,-30.01331500,-9.11393100
2,0.13531080,-0.02416371,78.29816412,2.44891422,-1.38189299,102.08210780,4.85908460,16.86988000,18.92191700,5.85477830,5.55448500,-11.32774450,16.17361000,-25.35150000,-36.42080700,4.93688540,3.91148470,15.00003300,0.37934930,4.85700500,6.73604800,4.37148400,20.40892600,-35.38552500,64.94264000,-4.50027940,1.66417560,9.42766200,44.46436000,-43.33771500,36.07535000,-25.90417500,20.05999800,-29.79903000,-9.22020150
3,0.12672484,0.01759139,78.30881762,2.42380152,-1.41642741,102.20212457,4.87408000,16.87836000,18.79330800,5.85259250,5.58814530,-11.36169900,16.34865200,-25.26337800,-36.47107700,4.81372800,3.95119000,15.00003300,0.33326420,4.87422660,6.74862500,4.45946100,20.43065000,-35.29254500,64.77467000,-4.55738640,1.63878250,9.33385900,44.66016800,-43.53516000,36.11131300,-25.97856700,20.02420800,-29.53347600,-9.25923900
4,0.11959367,0.06135550,78.29950450,2.48400260,-1.40563614,102.25507008,4.86762480,16.78724100,18.67781800,5.85017200,5.57031060,-11.36695700,16.34527200,-25.38882400,-36.53670000,4.98982100,3.87183170,15.00003300,0.33682334,4.84757500,6.75274370,4.54152800,20.44944800,-35.16502800,64.65894000,-4.66754670,1.59998700,9.34285200,44.85873000,-43.69821000,36.13548700,-26.12099500,20.44933300,-29.03994400,-9.27302700
5,0.11291624,0.10534008,78.27221782,2.48376203,-1.31150387,102.31041451,4.77862830,16.78240800,18.62670300,5.84771970,5.42947900,-11.40359300,16.36493700,-25.35719100,-36.63954500,4.87461760,3.82677030,15.00003300,0.17105503,4.80698200,6.70342250,4.67843700,20.48077600,-35.08399000,64.57712600,-4.79234200,1.56401490,9.37163400,45.09242600,-43.82150300,35.94164000,-26.29630300,21.67911700,-28.33055100,-8.65005400
6,0.10771573,0.14737953,78.26811121,2.48384659,-1.31085522,102.40495492,4.77523000,16.78414500,18.60263800,5.84751500,5.40271850,-11.35685200,16.41098600,-25.36630400,-36.67901200,4.96327540,3.73088900,15.00003300,0.16881303,4.82868530,6.70345900,4.73250500,20.51298900,-35.05340000,64.45185000,-4.77800000,1.54254890,9.32833700,45.29459000,-43.94939800,35.93427000,-26.37837600,22.00314900,-28.09449000,-8.52043000
7,0.10351758,0.18758892,78.26701389,2.48600903,-1.28668457,102.49906454,4.74859330,16.79317000,18.61777000,5.84912600,5.40651940,-11.32315800,16.48847000,-25.37196500,-36.84072000,4.96265750,3.63892750,15.00003300,0.10821840,4.82559600,6.70768800,4.80528100,20.54566200,-35.02037000,64.34397000,-4.77137140,1.54987010,9.27407800,45.47432700,-44.05876000,35.91126300,-26.44273400,22.36188700,-27.85891500,-8.50899400
8,0.10184280,0.22457300,78.28322870,2.45982468,-1.24810625,102.57200001,4.71018100,16.83102800,18.61799200,5.84826600,5.45575570,-11.22196800,16.53712500,-25.33761600,-36.99590300,4.95074500,3.57589500,15.00003300,0.13232087,4.82705100,6.72465850,4.80393740,20.55561400,-35.04368200,64.28095000,-4.47793630,1.57585020,9.16328500,45.56538800,-44.08914600,35.95181700,-26.31702200,22.18003700,-28.05541600,-8.87093100
9,0.10285283,0.25795728,78.24024930,2.46728385,-1.21971775,102.70133896,4.65826940,16.84042000,18.62947300,5.85163830,5.26549200,-11.20434500,16.63866600,-25.36094300,-37.26947800,4.95873070,3.46968150,15.00003300,0.06087218,4.78844300,6.68189860,4.79395000,20.59218600,-35.08791400,64.29440000,-4.59366850,1.58328970,9.20453100,45.72167600,-44.16561000,35.97039800,-26.40117600,23.02230600,-27.52997400,-8.31428050
