Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.00081010,-0.03079591,79.42602377,0.70309670,-2.55398407,99.68420125,7.37538050,16.12594000,31.16920000,6.36687140,2.86935350,-6.01319170,17.13590000,-18.93852400,-54.45042400,5.41243400,-0.59269685,11.62919400,1.36449460,-1.79236720,6.53274800,2.02500220,21.55830600,-35.16189600,63.60482800,-10.84628500,-0.34486246,9.05304100,21.95659600,-31.29199800,36.63221400,-32.70207200,14.85703700,-20.97024700,-4.61601260
1,-0.01401801,0.02141240,79.39936045,0.63534007,-2.50203968,99.84428558,7.33438830,16.18727700,31.13709600,6.31753900,2.72182600,-6.13523500,17.25075100,-18.81581700,-54.74669600,5.30967860,-0.63476175,11.60764000,1.34882020,-1.79461860,6.32176000,2.04192970,21.57294500,-35.27345300,63.62828400,-10.79088600,-0.29647005,9.04563100,22.18850300,-31.36626600,36.63075600,-32.68832400,15.05415000,-20.56769600,-3.97600960
2,-0.02976489,0.08380203,79.39430653,0.59871509,-2.47702295,100.00568532,7.29711340,16.19480500,30.96241400,6.29517170,2.66496730,-6.17917500,17.40408000,-18.70396400,-54.97179800,5.15511750,-0.62857040,11.61877600,1.45138170,-1.80047870,6.18085670,2.03490600,21.58422300,-35.35929500,63.56451000,-10.73508900,-0.28773344,8.98047350,22.43397500,-31.43340300,36.73516500,-32.62796400,15.02110000,-20.46356800,-3.99520500
3,-0.04886199,0.15055898,79.38201426,0.58736579,-2.41592109,100.17997135,7.23117730,16.18612900,30.85483600,6.27887060,2.59371420,-6.21368300,17.52975300,-18.63717800,-55.24285500,5.02876330,-0.66175400,11.70788700,1.50780090,-1.81303100,6.06645440,2.05064300,21.58696400,-35.40086000,63.49286300,-10.58332400,-0.30004770,8.77067700,22.66138600,-31.45637700,36.79841200,-32.60592300,15.22402500,-20.39097400,-3.84088370
4,-0.07131303,0.21765617,79.38168055,0.57041368,-2.34505122,100.28250164,7.16901730,16.17896500,30.74748200,6.27246430,2.54463100,-6.19087800,17.58461400,-18.61945300,-55.45816000,5.01498270,-0.74131495,11.71058500,1.56121790,-1.84172750,5.96308100,2.11826300,21.60042600,-35.46290600,63.40204600,-10.47922600,-0.32064846,8.68115700,22.95287700,-31.56850400,36.88179800,-32.64612200,15.27213500,-20.32178700,-3.89849700
5,-0.09502275,0.27920046,79.38422106,0.57117577,-2.30211995,100.37066628,7.13270570,16.14637000,30.61671400,6.26938870,2.52574870,-6.19362740,17.67727000,-18.61083200,-55.68293800,4.96092700,-0.75841624,11.71197700,1.64163570,-1.85230140,5.89923400,2.16376380,21.60721000,-35.45439000,63.31162300,-10.41505100,-0.30878872,8.57088850,23.21714800,-31.66961900,36.93244000,-32.70215600,15.18501600,-20.32698000,-4.02366920
6,-0.11936651,0.33264571,79.39235664,0.55417879,-2.22362368,100.41186749,7.06124000,16.12326600,30.45910000,6.26197340,2.51287340,-6.20599600,17.74980500,-18.54185300,-55.95040000,4.78186200,-0.78738546,11.75997900,1.71950970,-1.88391290,5.79837660,2.22276830,21.61166800,-35.44059400,63.23727000,-10.26879300,-0.28184146,8.42351400,23.40576200,-31.75931200,36.98751400,-32.68223000,15.22681600,-20.31491000,-3.98374060
7,-0.14151786,0.37833488,79.43631668,0.55322912,-2.33624048,100.50650481,7.16709300,16.09328500,30.31428700,6.27760500,2.66189360,-6.05043000,17.97344200,-18.54151700,-56.09671800,4.76657340,-0.74378186,11.65719200,1.88279430,-1.89674620,5.83575250,2.21254000,21.60942800,-35.39995000,63.12617500,-10.04283400,-0.29393960,8.19327800,23.58235400,-31.81914900,37.05676000,-32.56430400,14.95359000,-20.98476200,-4.27407400
8,-0.16218431,0.41834801,79.43138551,0.55542659,-2.26522858,100.53394636,7.12449260,16.07723600,30.31737300,6.26798700,2.61138900,-6.02643160,17.95880900,-18.58061000,-56.25148000,4.80962600,-0.78860860,11.71260500,1.84087180,-1.93361500,5.75572300,2.28005500,21.62056200,-35.53277600,63.07304400,-10.04587500,-0.32854830,8.13141250,23.68232700,-31.96277400,37.17935600,-32.58274000,15.30621700,-21.17048000,-4.14102030
9,-0.17764458,0.45608491,79.44543109,0.60158082,-2.31668487,100.60804359,7.16839740,16.00665500,30.21930900,6.28815100,2.67912980,-5.96096900,18.12329000,-18.57709000,-56.31742500,4.66941400,-0.65256640,11.61996600,1.88868600,-1.93056690,5.76562170,2.31394480,21.62176100,-35.50470000,62.97019000,-10.00768500,-0.35302275,8.01077200,23.87890800,-32.04578400,37.17316000,-32.68634800,15.37220400,-21.29682000,-3.99692370
10,-0.19066128,0.49293637,79.45272625,0.57480553,-2.24676253,100.64462218,7.11564700,16.01897000,30.17554000,6.26642100,2.68409250,-5.96713100,18.09596400,-18.54541200,-56.36058000,4.66309200,-0.68134737,11.63686500,1.89280690,-1.96680880,5.75484040,2.29914450,21.63030600,-35.59745800,63.01545300,-10.12983900,-0.41644370,8.06471300,24.05812500,-32.15071000,37.21029300,-32.71576000,15.28281700,-21.26434900,-3.95897130
11,-0.19798660,0.53002012,79.44580711,0.59379773,-2.26915519,100.72954611,7.14686730,16.00476800,30.17808300,6.27971800,2.65445880,-5.94156700,18.20045000,-18.54950500,-56.43596600,4.63457060,-0.65219176,11.67565200,1.86773780,-1.98335120,5.70833900,2.31412240,21.63127700,-35.58547000,63.04250700,-10.20315400,-0.33575577,7.96046640,24.23938200,-32.18382300,37.17030000,-32.79542000,15.70017600,-20.97767600,-3.66121720
12,-0.20104346,0.56811821,79.44146755,0.59622061,-2.23600707,100.78973254,7.13129800,16.00242600,30.16533000,6.26652700,2.64896540,-5.98311140,18.23099500,-18.54627000,-56.53367000,4.63568740,-0.68650380,11.78157600,1.86405670,-2.04303670,5.69373270,2.29039880,21.63627800,-35.72283600,63.11951000,-10.25382100,-0.35790876,7.93129000,24.33146900,-32.21236400,37.24576600,-32.79557400,15.79864000,-20.89701500,-3.58734000
13,-0.19936846,0.60789895,79.44255827,0.62191905,-2.25218748,100.86067641,7.14011700,15.96326800,30.03797100,6.27058400,2.67447400,-5.99343400,18.29200200,-18.57026500,-56.52159000,4.66928500,-0.70603280,11.80695800,1.90371970,-2.04880790,5.66961300,2.27687260,21.64139600,-35.79364000,63.14912400,-10.38237700,-0.35832497,7.88948200,24.51751900,-32.25509000,37.27675000,-32.88323600,15.71888100,-20.79645000,-3.60412120
14,-0.19458440,0.64845377,79.43137873,0.63930329,-2.25861192,100.92216268,7.14986040,15.94513500,29.96219000,6.27468870,2.63681080,-6.00360900,18.34894000,-18.56977300,-56.51547600,4.66823530,-0.70763224,11.84756500,1.89091580,-2.06988120,5.64382120,2.29025150,21.64367700,-35.80362000,63.19198000,-10.47634500,-0.36423433,7.87159300,24.64221200,-32.26804700,37.28003700,-32.93642800,15.68994800,-20.71453300,-3.55267450
15,-0.18783395,0.69054312,79.42788274,0.65068225,-2.26781074,100.97817323,7.16476200,15.93998200,29.90650400,6.28487630,2.62821220,-5.99201150,18.40882700,-18.56899000,-56.53674000,4.68217800,-0.73201776,11.87354850,1.91734910,-2.09468820,5.61724800,2.28894260,21.64892200,-35.85727300,63.25823200,-10.50500700,-0.36939588,7.86267300,24.81299600,-32.29140000,37.30958000,-32.99827000,15.67151200,-20.72832100,-3.56817270
16,-0.18032615,0.73386699,79.40501121,0.66885497,-2.25553844,101.05632361,7.15574300,15.92837800,29.85301000,6.28549430,2.54750010,-6.02640340,18.44385300,-18.57280300,-56.52099200,4.70466000,-0.73589530,11.87313500,1.91425370,-2.09982920,5.58339450,2.30084750,21.65241200,-35.82442500,63.30015600,-10.68263500,-0.40469953,7.86595340,24.97273400,-32.30856000,37.29469000,-33.10627400,15.50005150,-20.58144400,-3.44717720
17,-0.17305942,0.77853274,79.39218417,0.69439902,-2.22712776,101.10334759,7.15107970,15.91585600,29.85527800,6.27834000,2.52498480,-6.04413460,18.45482000,-18.57561000,-56.46815500,4.70113500,-0.68495244,11.84046650,1.92898340,-2.08773470,5.57996600,2.30625820,21.65492600,-35.79078700,63.33438000,-10.64677500,-0.44589925,7.78851370,25.15917600,-32.31953400,37.29570000,-33.24928000,15.33242500,-20.85492900,-3.43306300
18,-0.16740876,0.82233131,79.37371291,0.67989153,-2.17704343,101.14782178,7.12083900,15.94429000,29.84239200,6.27202370,2.43363700,-6.06224870,18.42556800,-18.53511400,-56.37079000,4.70573300,-0.67427360,11.83997800,1.88622280,-2.08796860,5.55768300,2.32814360,21.65696500,-35.75202000,63.38525000,-10.69039100,-0.48439828,7.87434860,25.35639400,-32.32019000,37.26565000,-33.34049600,15.21014800,-20.87114300,-3.43962220
19,-0.16185383,0.86331487,79.36822848,0.67249659,-2.15191670,101.13704562,7.12066200,15.95124500,29.77086300,6.26664000,2.39565850,-6.06184800,18.41159000,-18.51151500,-56.29123000,4.70872450,-0.65586980,11.85130600,1.90891310,-2.08477900,5.54175950,2.35931560,21.66102600,-35.68493300,63.43973500,-10.61668300,-0.51769090,7.92320780,25.52946500,-32.32053800,37.22760000,-33.43844200,14.96406500,-20.90824000,-3.39238760
