Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.04718224,0.05062990,77.63833692,0.44390993,-2.67954021,61.01439487,-1.64129560,17.28779600,6.25897650,20.02076300,-4.91532850,-12.79697900,23.59604500,-19.23272900,-41.85691000,-1.28898930,0.64656560,15.00003300,3.87604120,3.05377050,6.70281600,5.53363370,17.99215500,-37.45893500,65.24132500,-15.48786900,-0.12519804,5.60267070,30.26934400,-41.14893000,28.41191300,-46.70057300,19.50960500,-12.05712000,4.54911300
1,-0.08865280,0.11919281,77.66099786,0.37947307,-2.67407788,61.39653144,-1.65715800,17.31105600,6.30684600,19.83166000,-4.87991860,-12.70217600,23.78924400,-19.09284200,-42.01663200,-1.37869880,0.69319930,15.00003300,3.87301280,2.94924570,6.60864930,5.44717930,17.99133000,-37.56618000,65.16274000,-15.09260700,-0.05401897,5.31214240,30.58231700,-41.24616000,28.34283400,-46.46443000,19.23000300,-11.93974600,4.68132160
2,-0.13700679,0.20086993,77.63564518,0.26289290,-2.70965230,61.91090135,-1.71668660,17.37330200,6.25138140,19.72641400,-5.13716600,-12.58787400,24.10037800,-18.89921200,-42.37873000,-1.44215380,0.66824550,15.00003300,3.90251040,2.90951560,6.50771860,5.33646600,17.98053200,-37.62693400,64.99479000,-14.79108400,0.06122243,5.10519000,31.12860900,-41.46076000,28.06625700,-46.44010000,18.90178900,-11.35512600,5.29489470
3,-0.18774131,0.29365683,77.67531064,0.13878057,-2.72417645,62.07195755,-1.75939430,17.47918500,6.29051500,19.84340900,-5.15194400,-12.45441000,24.21443700,-18.76878200,-42.40052400,-1.47810660,0.74070400,15.00003300,4.03378100,2.89853260,6.49334300,5.33193500,17.95305600,-37.72681800,64.83889000,-14.51874600,0.11372383,4.91944200,31.52035900,-41.69845600,28.03509700,-46.31123400,18.63199600,-11.80926100,4.93698640
4,-0.23595551,0.39326721,77.69267642,0.12167078,-2.67213516,62.19853047,-1.77592590,17.44005400,6.35596300,19.80632800,-5.19661950,-12.37516900,24.29057100,-18.79093200,-42.58197000,-1.52265420,0.63167447,15.00003300,4.10330150,2.83102100,6.39344800,5.40898470,17.93250500,-37.83522800,64.64770000,-14.49909200,0.06143970,4.98689170,31.84608300,-41.86782000,28.05896200,-46.28463400,18.17611000,-11.63285700,4.65961650
5,-0.28001225,0.49468586,77.70880608,0.09618295,-2.60212451,62.32462407,-1.82208840,17.41735000,6.41725800,19.79510100,-5.25775700,-12.26574300,24.34566700,-18.78095800,-42.69448500,-1.58889410,0.58554380,15.00003300,4.21527620,2.76263790,6.27935270,5.46919900,17.91030700,-37.91964700,64.50301000,-14.56570500,-0.00515829,5.01498130,32.15546000,-42.02360000,28.07773600,-46.22590000,17.95522500,-11.50991800,4.39351500
6,-0.32032725,0.59667617,77.70830491,0.03578332,-2.63444179,62.48144307,-1.79562520,17.43917700,6.44434300,19.83928100,-5.43889600,-12.10481200,24.50383200,-18.73248700,-42.75501000,-1.61006870,0.61254144,15.00003300,4.28597400,2.74741320,6.22482630,5.53413300,17.86478000,-37.89342000,64.34006500,-14.67077400,0.02900957,4.94964650,32.53906600,-42.29432300,28.00217200,-46.23864700,17.47219300,-11.40620900,4.42477560
7,-0.35222569,0.69312161,77.70777677,0.03369917,-2.53793040,62.70008478,-1.91279600,17.37760200,6.42915900,19.83667400,-5.54481360,-11.99037550,24.61898200,-18.73023800,-43.17439300,-1.70799970,0.51033485,15.00003300,4.36335500,2.67529770,6.09944400,5.54844000,17.82734700,-38.05191800,64.21377000,-14.42935800,-0.14196128,4.94356060,33.03443500,-42.55995600,27.94708300,-46.32867000,17.22626300,-11.27888600,4.08788540
8,-0.37966821,0.78664857,77.70664273,0.02501411,-2.58464281,62.90865969,-1.91073300,17.33132000,6.39029500,19.91174700,-5.65178870,-11.89519200,24.86203800,-18.74659000,-43.57317700,-1.71432640,0.56504230,15.00003300,4.41259000,2.64009330,6.07269000,5.61757560,17.80141600,-38.04446400,64.09348000,-14.26951900,-0.18866475,4.80273700,33.38187400,-42.66481800,27.86600000,-46.33249000,16.97452200,-11.13595200,3.85002040
9,-0.40029463,0.87516326,77.69795963,0.02533712,-2.54231875,63.10373609,-1.99043570,17.26587100,6.31691840,19.95391000,-5.78359300,-11.81319600,24.98596800,-18.76049400,-43.83288200,-1.72879330,0.54821914,15.00003300,4.44460600,2.60388800,6.00259540,5.63575500,17.76073000,-38.12419500,64.00315000,-14.17897100,-0.12971811,4.70639940,33.83902400,-42.83548700,27.73426800,-46.46792200,16.93425200,-11.03584200,3.95909980
