Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.14507058262825012,-0.09480349719524384,84.92948150634766,2.530543146423023,-1.5087130294142992,101.78449547846857,4.7996716,16.8705,18.956993,5.9014134,5.3901105,-11.176977,16.57333,-25.416203,-37.34986,4.7269,3.861213,15.000033,0.28048164,4.7593684,6.839413,4.4061823,20.375917,-35.37212,65.23856,-4.1586533,1.6706371,9.609642,44.214607,-43.17059,35.77028,-26.073921,19.674639,-30.305267,-8.796186
1,0.13914863765239716,-0.06915435940027237,84.94242095947266,2.5269040522632995,-1.4321146233688458,101.90284888239053,4.7416697,16.872677,18.965414,5.884551,5.418441,-11.183877,16.469719,-25.432152,-37.234486,4.891929,3.7577653,15.000033,0.29321912,4.8136125,6.7988486,4.4150214,20.387735,-35.36092,65.071785,-4.3468986,1.6757746,9.585965,44.347343,-43.349266,35.875454,-26.112114,19.790932,-30.087227,-9.061764
2,0.13250179588794708,-0.04053517431020737,84.95591735839844,2.4896268088764733,-1.4096698433323207,102.02550572036687,4.7087517,16.885595,18.876623,5.875425,5.425546,-11.206327,16.528717,-25.351015,-37.21473,4.7998157,3.7972302,15.000033,0.25497925,4.867948,6.792787,4.4712887,20.405867,-35.296314,64.89865,-4.453664,1.67074,9.496503,44.51683,-43.58741,35.96578,-26.187346,19.981106,-29.907648,-9.213917
3,0.1256093680858612,-0.010419880971312523,84.96636962890625,2.4567105796825714,-1.4117773193474272,102.12892045014004,4.693661,16.892616,18.782969,5.8691144,5.4319525,-11.228812,16.522947,-25.339474,-37.18405,4.9023027,3.7381594,15.000033,0.25165436,4.8947787,6.78733,4.501763,20.417984,-35.25257,64.78133,-4.5148706,1.6555234,9.394007,44.677803,-43.726925,36.011684,-26.209284,20.098885,-29.725836,-9.265303
4,0.11933612078428268,0.02129822038114071,84.9710464477539,2.4504102749913614,-1.42685868119215,102.20835274184377,4.6959634,16.889118,18.729532,5.867168,5.4459176,-11.242311,16.517273,-25.36106,-37.172314,5.027322,3.664055,15.000033,0.2228776,4.899216,6.7895336,4.5772614,20.43582,-35.172005,64.64782,-4.561976,1.6356931,9.330012,44.83739,-43.89244,36.035683,-26.287975,20.107346,-29.503803,-9.296169
5,0.11485937237739563,0.055521681904792786,84.96728515625,2.4983105007093616,-1.4257774399130205,102.25343213497433,4.699029,16.852913,18.667429,5.8678427,5.436573,-11.246279,16.652779,-25.325247,-37.26431,4.8129964,3.7796853,15.000033,0.23019812,4.8741364,6.797079,4.6297584,20.447721,-35.085033,64.57028,-4.6473618,1.6058509,9.337659,44.985683,-43.994083,36.05388,-26.381304,20.43084,-29.12319,-9.302851
6,0.1099102646112442,0.08907211571931839,84.96064758300781,2.5147593586935018,-1.3629338627456338,102.29105074562708,4.664394,16.839952,18.641478,5.8647456,5.3841743,-11.259611,16.609324,-25.360195,-37.285378,4.896085,3.6996658,15.000033,0.13262837,4.8370843,6.764418,4.727305,20.470959,-35.013252,64.501755,-4.7406487,1.5774647,9.355884,45.15695,-44.094677,35.939728,-26.508232,21.254314,-28.613596,-8.919852
7,0.1056925356388092,0.12202480435371399,84.9598617553711,2.5166435890326246,-1.324538244430092,102.34617955185135,4.6416535,16.838545,18.625648,5.865165,5.3447356,-11.257186,16.598457,-25.372663,-37.306374,4.947301,3.6370797,15.000033,0.07813526,4.82786,6.7438655,4.7980847,20.498602,-34.978535,64.41982,-4.7849927,1.5560082,9.349696,45.335533,-44.183727,35.84929,-26.61086,21.852484,-28.246305,-8.626404
8,0.10239347815513611,0.15404167771339417,84.96492004394531,2.513977623360217,-1.3198755711061707,102.41834477648058,4.6384954,16.84044,18.617685,5.86524,5.335025,-11.236873,16.627426,-25.37324,-37.337784,4.9704123,3.5981967,15.000033,0.06503543,4.8411555,6.7435713,4.848215,20.52841,-34.951992,64.320526,-4.775995,1.5443577,9.314718,45.479923,-44.27844,35.849762,-26.666426,22.105919,-28.065855,-8.5474615
9,0.1000882014632225,0.18487469851970673,84.96745300292969,2.511385519123293,-1.3008925107894342,102.48970570865997,4.628686,16.845572,18.622969,5.865382,5.337046,-11.221695,16.696255,-25.353527,-37.426964,4.8992705,3.5923314,15.000033,0.032430105,4.836484,6.7400517,4.8728356,20.541462,-34.94254,64.28033,-4.7710886,1.546505,9.273224,45.57958,-44.31368,35.85278,-26.656366,22.376646,-27.8872,-8.535642
