Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.1948159635066986,0.036118194460868835,84.76543426513672,2.633323576408005,-2.6629222610189265,102.33038529269933,-0.9531619,12.843591,-2.1117134,5.76488,5.959843,-10.810569,1.7395467,-23.675821,1.1125461,5.8778763,3.7347758,15.000033,-0.17571872,4.463202,7.8866525,4.3025775,20.563658,-35.55993,65.32207,-4.164321,1.6735833,9.584446,44.1007,-42.567432,35.904522,-25.757421,19.538479,-30.270546,-8.751416
1,0.18890488147735596,0.062233150005340576,84.77872467041016,2.622613425430375,-2.5941915350669134,102.45237488812747,-1.006724,12.85287,-2.1070812,5.7571096,5.982358,-10.820412,1.754764,-23.664192,1.1230747,5.878708,3.716916,15.000033,-0.19045782,4.53283,7.864289,4.3412285,20.591595,-35.525295,65.11364,-4.354913,1.6788883,9.556164,44.26754,-42.820484,35.990704,-25.862118,19.669662,-30.055422,-9.021683
2,0.18179257214069366,0.09031571447849274,84.79288482666016,2.5859855918065664,-2.562254978912341,102.56689819405575,-1.0190614,12.879159,-2.1156087,5.7489886,5.9866457,-10.845014,1.7805711,-23.638391,1.136361,5.8796496,3.7122443,15.000033,-0.20030889,4.585936,7.8465004,4.3815923,20.615019,-35.47858,64.94967,-4.462384,1.6735077,9.461077,44.44074,-43.03141,36.06574,-25.918331,19.862871,-29.876816,-9.159865
3,0.17468924820423126,0.1200558990240097,84.80369567871094,2.552860841902956,-2.560989443140092,102.67174076835502,-1.0104138,12.900741,-2.1334307,5.7468786,5.989209,-10.869469,1.8072101,-23.62148,1.1485931,5.901698,3.697643,15.000033,-0.22254446,4.6163816,7.844616,4.446966,20.636595,-35.4141,64.7899,-4.5217624,1.6626564,9.363757,44.62184,-43.211243,36.11068,-25.988005,19.977377,-29.689638,-9.223169
4,0.16821859776973724,0.1516740620136261,84.8086929321289,2.545149161810489,-2.5754169692679416,102.75211827920725,-0.99327314,12.907304,-2.1453967,5.7453275,6.002156,-10.88413,1.8436345,-23.625109,1.1578449,5.901867,3.6897786,15.000033,-0.28908494,4.6302695,7.857302,4.566766,20.670246,-35.293995,64.60546,-4.569281,1.6432521,9.296294,44.81499,-43.47867,36.12508,-26.147682,20.00167,-29.472254,-9.26695
5,0.16314607858657837,0.1852649450302124,84.8051528930664,2.5967449248585517,-2.5688354701873064,102.79174554855105,-0.9765026,12.879458,-2.1538126,5.7451477,5.993532,-10.888274,1.8605889,-23.668467,1.1674032,5.877158,3.7072532,15.000033,-0.30749932,4.6103516,7.8687406,4.6576824,20.694063,-35.172653,64.48366,-4.6540146,1.614249,9.30132,44.99768,-43.670147,36.130722,-26.316319,20.338278,-29.094183,-9.284626
6,0.15838760137557983,0.21900629997253418,84.79839324951172,2.6122971038821974,-2.509975520061032,102.83063000163334,-0.9964251,12.879803,-2.1441905,5.7463326,5.9375334,-10.904147,1.8360568,-23.689816,1.1665063,5.8779874,3.669363,15.000033,-0.42605287,4.580722,7.847285,4.78397,20.727121,-35.079163,64.37883,-4.747306,1.5869118,9.317567,45.208984,-43.84083,35.99528,-26.51154,21.171782,-28.584871,-8.907276
7,0.15429367125034332,0.25196072459220886,84.79761505126953,2.6131258331853875,-2.4720394429282386,102.88517020896137,-1.0129762,12.885718,-2.1409228,5.7472672,5.8973994,-10.903294,1.8320124,-23.701572,1.1668366,5.8754306,3.6357062,15.000033,-0.49254674,4.568634,7.8231378,4.845278,20.75022,-35.040844,64.32267,-4.8000536,1.5585713,9.307803,45.348637,-43.942493,35.93884,-26.584011,21.778215,-28.230736,-8.627151
8,0.1508893072605133,0.28373390436172485,84.8027572631836,2.6094069280359165,-2.466166254568624,102.95711618441406,-1.01944,12.887965,-2.1504965,5.747904,5.8884635,-10.883178,1.8523098,-23.712265,1.1694489,5.872668,3.610822,15.000033,-0.5040858,4.5876346,7.825419,4.903099,20.776365,-35.008083,64.209114,-4.782534,1.5507522,9.275946,45.523476,-44.045235,35.91601,-26.671078,22.027855,-28.041542,-8.541252
9,0.14826340973377228,0.3142819404602051,84.805419921875,2.6057094012750834,-2.445864974919531,103.02796900090739,-1.0374048,12.8895445,-2.1611187,5.747548,5.8918138,-10.867559,1.868489,-23.7276,1.1592834,5.846285,3.581302,15.000033,-0.53909415,4.5874305,7.823897,4.945326,20.791687,-34.992146,64.14364,-4.7748604,1.5571902,9.237475,45.650574,-44.096478,35.90378,-26.696194,22.295837,-27.857105,-8.529737
