Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.6444682478904724,-0.053485650569200516,85.27100372314453,-16.18643484576405,-1.4168943162925978,100.81676813323575,-1.2190783,-30.000067,29.69642,12.171798,0.63136953,-7.5370927,17.933233,-72.73152,-41.95739,4.833236,5.51106,15.000033,1.0867249,24.541971,6.5072656,4.06223,18.666952,-35.435017,65.79482,-4.128827,1.661457,9.831134,45.760742,-45.083107,34.163517,-27.463303,19.980637,-30.330748,-8.735201
1,0.6385796666145325,-0.02576087974011898,85.2862548828125,-16.194448452922224,-1.3514125140118625,100.93316450878994,-1.2594182,-30.000067,29.693361,12.13762,0.6674743,-7.5434585,17.9623,-72.688354,-41.93835,4.824694,5.4951715,15.000033,1.0777051,24.602028,6.4809403,4.086863,18.673431,-35.404247,65.622505,-4.3157654,1.6658095,9.811112,45.88646,-45.29315,34.284412,-27.510387,20.09487,-30.115177,-9.0162735
2,0.6312114000320435,0.003949469421058893,85.30101776123047,-16.224508940726192,-1.3305544039348678,101.04428773696822,-1.2854656,-30.000067,29.624502,12.11158,0.68653464,-7.562681,18.008495,-72.64414,-41.937366,4.831827,5.4846067,15.000033,1.0857788,24.64162,6.4649143,4.102858,18.681667,-35.374382,65.49301,-4.421525,1.6590494,9.72109,46.03295,-45.44215,34.370205,-27.513613,20.275541,-29.933292,-9.150299
3,0.6236305236816406,0.035216741263866425,85.31169128417969,-16.252595326021932,-1.3386284143212155,101.14363625213147,-1.2963463,-30.000067,29.550259,12.099728,0.6993438,-7.5827928,18.068995,-72.61347,-41.95816,4.8521514,5.47021,15.000033,1.0906507,24.66057,6.4596252,4.128863,18.69143,-35.33667,65.38391,-4.481989,1.6441038,9.620424,46.18398,-45.558285,34.421543,-27.51378,20.387577,-29.750519,-9.202274
4,0.6167804598808289,0.06773840636014938,85.31568908691406,-16.259075256652558,-1.359232276568423,101.2227240243945,-1.2961916,-30.000067,29.5123,12.107385,0.7101877,-7.5955257,18.15661,-72.60118,-42.020798,4.8644915,5.457562,15.000033,1.1066226,24.654764,6.45074,4.153827,18.69767,-35.304276,65.30414,-4.531263,1.6228037,9.5577755,46.309505,-45.60855,34.448982,-27.500956,20.380953,-29.525335,-9.214818
5,0.6105204224586487,0.10152527689933777,85.311279296875,-16.22911740190245,-1.3559580389308814,101.24585395887091,-1.3270988,-30.000067,29.491806,12.161477,0.6749826,-7.6001987,18.191288,-72.61319,-42.074203,4.8885465,5.4488444,15.000033,1.1841782,24.643366,6.423869,4.1609354,18.699224,-35.2777,65.26775,-4.633362,1.592469,9.570236,46.4277,-45.6205,34.467213,-27.516407,20.693655,-29.147387,-9.214003
6,0.6056239604949951,0.13615523278713226,85.30591583251953,-16.22480364301477,-1.2981945451379933,101.27677942105646,-1.3616802,-30.000067,29.458952,12.171421,0.61761767,-7.6145973,18.242529,-72.60971,-42.178467,4.8991017,5.4061604,15.000033,1.0869313,24.60291,6.4112635,4.234631,18.712288,-35.213272,65.25105,-4.7269793,1.5598179,9.590151,46.53186,-45.663166,34.41356,-27.556248,21.504,-28.642435,-8.844705
7,0.6012675166130066,0.17002874612808228,85.3054428100586,-16.227104802332736,-1.264978435360813,101.32926220947046,-1.3757048,-30.000067,29.435696,12.169138,0.5802284,-7.61275,18.327955,-72.60079,-42.29268,4.8988547,5.3729215,15.000033,1.0270029,24.60072,6.4271073,4.321103,18.746895,-35.160313,65.136215,-4.7544255,1.5420926,9.581966,46.72833,-45.740555,34.294365,-27.675116,22.101355,-28.265142,-8.533205
8,0.5976778268814087,0.20275625586509705,85.3095703125,-16.22788206482704,-1.261292658589486,101.40089043189572,-1.3759029,-30.000067,29.428097,12.169003,0.57086885,-7.592952,18.433735,-72.597725,-42.41013,4.903984,5.347986,15.000033,1.0211551,24.608494,6.4268193,4.3623557,18.775137,-35.142235,65.04774,-4.744734,1.5303603,9.54761,46.858784,-45.804794,34.300964,-27.703115,22.349203,-28.084044,-8.452405
9,0.5951972603797913,0.2342609465122223,85.31085968017578,-16.226404428655325,-1.2396941160366577,101.46909677315502,-1.3795778,-30.000067,29.431082,12.165174,0.5746806,-7.578144,18.563812,-72.60409,-42.595108,4.9062214,5.310863,15.000033,0.992837,24.598492,6.4294233,4.3879194,18.787338,-35.135094,65.005486,-4.738144,1.5342641,9.508409,46.959694,-45.827003,34.30312,-27.690033,22.614698,-27.902205,-8.440001
10,0.594420850276947,0.26323065161705017,85.32238006591797,-16.241432088102176,-1.2045534961559097,101.5210360158464,-1.3869382,-30.000067,29.424212,12.147683,0.6048874,-7.535198,18.665705,-72.60448,-42.763985,4.9016953,5.2884445,15.000033,1.0171616,24.59418,6.4275703,4.3882437,18.792196,-35.149612,64.95879,-4.5352845,1.5532628,9.428276,47.032726,-45.83508,34.32624,-27.600727,22.51632,-28.016582,-8.685775
