Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.6400985717773438,-0.05286736413836479,85.268310546875,-16.172711545495833,-1.432003191418675,100.80490227701164,-1.2911158,-30.000067,29.637056,12.152942,0.6033047,-7.509195,18.35382,-72.71813,-42.569733,4.848159,5.447267,15.000033,1.0914404,24.536345,6.522842,4.066978,18.662184,-35.430332,65.7903,-4.1286225,1.6614457,9.831471,45.77772,-45.10715,34.15252,-27.48563,19.983648,-30.331038,-8.737258
1,0.6342998147010803,-0.025119518861174583,85.2836685180664,-16.179770806429936,-1.3666892640209263,100.92384751999006,-1.3207586,-30.000067,29.634577,12.126733,0.63068736,-7.514064,18.382057,-72.6838,-42.56155,4.83565,5.438689,15.000033,1.1114953,24.588364,6.48172,4.065141,18.666779,-35.428223,65.64187,-4.3164883,1.6660326,9.811591,45.887875,-45.2486,34.272034,-27.485415,20.089481,-30.111916,-9.004231
2,0.6272032260894775,0.004565538372844458,85.29850006103516,-16.209521897610134,-1.3446015314467112,101.03652313647555,-1.3405393,-30.000067,29.582941,12.107602,0.64472795,-7.5283084,18.415272,-72.65068,-42.559513,4.842132,5.4299297,15.000033,1.0956888,24.629305,6.474893,4.099176,18.67761,-35.378193,65.49792,-4.4215784,1.6590981,9.721861,46.03223,-45.43595,34.36971,-27.508244,20.27393,-29.933115,-9.149647
3,0.6200650334358215,0.03579088672995567,85.30931091308594,-16.23743873459679,-1.3514988157776964,101.13637952047362,-1.3484701,-30.000067,29.52719,12.098463,0.6544573,-7.543421,18.464056,-72.626526,-42.578403,4.8535533,5.4213862,15.000033,1.1151991,24.645248,6.4609265,4.11084,18.685003,-35.35373,65.40286,-4.482135,1.643811,9.620823,46.17745,-45.521477,34.418995,-27.487268,20.382895,-29.748915,-9.194454
4,0.6136249303817749,0.06826259195804596,85.31327056884766,-16.24309502534796,-1.370752727034191,101.21533100885044,-1.3486327,-30.000067,29.49861,12.104033,0.66282547,-7.552871,18.517067,-72.62031,-42.61304,4.8739195,5.405591,15.000033,1.0958793,24.643623,6.469543,4.170535,18.700489,-35.287468,65.28766,-4.5297093,1.6231141,9.557516,46.314945,-45.642063,34.451206,-27.522894,20.38443,-29.52712,-9.221808
5,0.6080197691917419,0.10214806348085403,85.30865478515625,-16.20470799382232,-1.3640540644898975,101.24215867476536,-1.3727089,-30.000067,29.482506,12.146254,0.6357475,-7.556255,18.550068,-72.6288,-42.660946,4.888792,5.4012055,15.000033,1.1548853,24.622723,6.442499,4.1917424,18.706306,-35.237625,65.24483,-4.6220217,1.5924028,9.566611,46.44776,-45.685516,34.47081,-27.562305,20.699646,-29.14682,-9.221568
6,0.6032408475875854,0.13667608797550201,85.30342864990234,-16.196694184973165,-1.3074419479605606,101.27437823333558,-1.3960271,-30.000067,29.457993,12.151673,0.59336686,-7.5671244,18.590885,-72.624466,-42.739407,4.893437,5.370721,15.000033,1.057676,24.586975,6.446581,4.2773056,18.722418,-35.170593,65.19326,-4.71217,1.5632509,9.587705,46.57881,-45.73237,34.380318,-27.636583,21.514124,-28.636486,-8.839541
7,0.5992431044578552,0.1705172061920166,85.30320739746094,-16.197280998886878,-1.2726694030530097,101.32393746472812,-1.408981,-30.000067,29.443554,12.148783,0.565686,-7.56615,18.640926,-72.6186,-42.81211,4.8947177,5.344777,15.000033,1.0150839,24.566195,6.4311066,4.3057394,18.72661,-35.15945,65.17683,-4.7630997,1.5397085,9.588395,46.668568,-45.74066,34.367714,-27.630178,22.083693,-28.279802,-8.5733385
8,0.5958108901977539,0.20320233702659607,85.3074951171875,-16.19986619079948,-1.268364386291207,101.39861583725063,-1.4071666,-30.000067,29.435095,12.149772,0.55838716,-7.5509744,18.733438,-72.61512,-42.912685,4.896326,5.3276157,15.000033,1.0152639,24.58203,6.4341793,4.35633,18.76158,-35.13539,65.06544,-4.74161,1.528807,9.550167,46.846245,-45.807957,34.31534,-27.694725,22.347517,-28.08532,-8.45795
9,0.5936148762702942,0.23456837236881256,85.30904388427734,-16.200309517317255,-1.245967171862334,101.46428141772897,-1.4107043,-30.000067,29.439173,12.14583,0.56163484,-7.5400424,18.820805,-72.62084,-43.04129,4.901726,5.297269,15.000033,0.99320006,24.574068,6.4343214,4.374276,18.772524,-35.132015,65.03097,-4.7356224,1.5318459,9.5107765,46.941856,-45.825825,34.31671,-27.673252,22.613577,-27.90391,-8.444126
10,0.5929474234580994,0.2635844647884369,85.3209228515625,-16.222455019385833,-1.2102765709576535,101.52189551827365,-1.4133332,-30.000067,29.429592,12.134016,0.58417225,-7.5074472,18.913937,-72.62022,-43.18398,4.899304,5.2797503,15.000033,1.0123556,24.572845,6.4234242,4.3845677,18.786612,-35.157265,64.97797,-4.540339,1.552845,9.429477,47.032322,-45.846912,34.35396,-27.598822,22.506937,-28.025442,-8.706428
11,0.5940327048301697,0.2911960780620575,85.32206726074219,-16.226107845256383,-1.1828189458098666,101.59920652327122,-1.4184343,-30.000067,29.427214,12.125421,0.5560919,-7.490189,19.033806,-72.62185,-43.366344,4.89286,5.258582,15.000033,0.99369854,24.549246,6.409973,4.376514,18.807371,-35.190804,64.97031,-4.505109,1.5645654,9.415198,47.114975,-45.87075,34.38884,-27.5759,22.831926,-27.847687,-8.566357
12,0.5971028804779053,0.3170483410358429,85.31635284423828,-16.2156514621829,-1.1835524043430283,101.69705058347238,-1.4235691,-30.000067,29.429186,12.124856,0.51022625,-7.484421,19.1632,-72.62842,-43.5564,4.8930073,5.227098,15.000033,0.9712598,24.521048,6.3970428,4.350569,18.830828,-35.187603,64.977036,-4.569878,1.5709642,9.406574,47.214214,-45.890602,34.387943,-27.601446,23.542051,-27.47398,-8.169245
13,0.6023454666137695,0.34067821502685547,85.31369018554688,-16.20543588814338,-1.235140443735474,101.8115604540431,-1.4259288,-30.000067,29.427052,12.139684,0.5068267,-7.476604,19.286926,-72.639755,-43.717113,4.9043827,5.1850753,15.000033,1.0058717,24.513376,6.3706226,4.333168,18.84358,-35.126698,64.92542,-4.620804,1.5895834,9.305954,47.350094,-45.898808,34.375717,-27.648022,24.38826,-27.196407,-7.914871
14,0.6086243391036987,0.36338040232658386,85.31350708007812,-16.210844284029502,-1.228584483835137,101.8592681729526,-1.4157956,-30.000067,29.433043,12.127535,0.4872127,-7.4575577,19.400244,-72.644966,-43.897823,4.893694,5.174866,15.000033,1.0058811,24.508974,6.3829246,4.3588047,18.867369,-35.06264,64.864426,-4.5746794,1.5910952,9.22942,47.454777,-45.91196,34.35395,-27.668169,24.479677,-27.124943,-7.834328
15,0.6157540082931519,0.38557299971580505,85.31256866455078,-16.204649308607106,-1.1887375482719502,101.86040333222066,-1.4299797,-30.000067,29.428654,12.131553,0.49233958,-7.449406,19.454449,-72.65457,-44.03527,4.8899837,5.1448174,15.000033,1.019949,24.494495,6.3818097,4.3833127,18.887644,-35.023212,64.83915,-4.6343465,1.5967536,9.186554,47.53271,-45.92109,34.353436,-27.679514,24.572603,-26.98579,-7.8105206
16,0.6227243542671204,0.4072542190551758,85.3079833984375,-16.190704845118564,-1.1296571391660464,101.83775908585706,-1.4386724,-30.000067,29.437052,12.133386,0.49009165,-7.4395657,19.496124,-72.663895,-44.143066,4.8815746,5.136378,15.000033,1.012949,24.477133,6.40043,4.4317822,18.926857,-35.007553,64.80134,-4.662092,1.5988581,9.2067,47.568935,-45.938614,34.37826,-27.69974,24.61479,-26.907988,-7.859797
17,0.6288671493530273,0.42803966999053955,85.29911041259766,-16.173825907555752,-1.0648683545362239,101.80761129184206,-1.4311374,-30.000067,29.469543,12.120824,0.46447867,-7.4223804,19.514906,-72.67571,-44.196865,4.8836017,5.157777,15.000033,1.0019935,24.47248,6.4296093,4.437818,18.934782,-35.031384,64.83214,-4.583503,1.5828099,9.295972,47.57936,-45.94278,34.397747,-27.713804,24.562168,-26.950382,-7.960929
18,0.6343716382980347,0.4467877447605133,85.30010223388672,-16.169969046289403,-1.0385572099472624,101.81104363309552,-1.4582484,-30.000067,29.430655,12.13701,0.4755877,-7.43171,19.549225,-72.67319,-44.292435,4.8760858,5.139429,15.000033,1.0224448,24.464077,6.420072,4.492558,18.985216,-34.984806,64.76843,-4.710989,1.5903348,9.28445,47.638683,-45.96158,34.44901,-27.714659,24.356155,-26.815275,-7.997146
19,0.6381968855857849,0.4629955291748047,85.30032348632812,-16.18190402728591,-1.022512668844222,101.84534451830247,-1.4512366,-30.000067,29.43207,12.117892,0.4794166,-7.4252143,19.592762,-72.67334,-44.360847,4.8796687,5.1607323,15.000033,1.0233091,24.466717,6.4235883,4.493566,18.996954,-34.956406,64.75834,-4.7000976,1.5729545,9.277219,47.68534,-45.964027,34.452194,-27.697617,24.375734,-26.862707,-7.891355
20,0.6418604850769043,0.47657880187034607,85.2966537475586,-16.187452073053283,-1.0159140993913556,101.89606398436183,-1.4391737,-30.000067,29.443558,12.0961275,0.47111484,-7.420522,19.643394,-72.67153,-44.419643,4.8824425,5.1811147,15.000033,1.0291636,24.467405,6.4203234,4.4779673,19.003368,-34.921165,64.75952,-4.6877794,1.5657967,9.2833185,47.74288,-45.964508,34.454643,-27.693108,24.372488,-26.88891,-7.7265
21,0.6457880139350891,0.4872155487537384,85.29154205322266,-16.18388474102731,-1.0170547100269305,101.95667248926028,-1.4337438,-30.000067,29.448042,12.082473,0.45772687,-7.422373,19.690033,-72.667816,-44.466434,4.887979,5.186689,15.000033,1.0109959,24.457037,6.4471173,4.483623,19.040098,-34.784725,64.71331,-4.673256,1.5844231,9.278848,47.79093,-45.968647,34.47349,-27.700912,24.299011,-26.839443,-7.5256333
22,0.649575412273407,0.4943077564239502,85.29655456542969,-16.186576750023427,-1.0231315081044003,102.0170055228204,-1.4448957,-30.000067,29.431587,12.080826,0.46304506,-7.425913,19.710434,-72.66147,-44.482334,4.8973813,5.1915736,15.000033,1.037894,24.465508,6.466462,4.4423122,19.049496,-34.771175,64.679146,-4.750801,1.6397634,9.261736,47.83796,-45.97062,34.50049,-27.669542,24.312256,-26.809887,-7.391184
23,0.6553840637207031,0.49712127447128296,85.30115509033203,-16.211607112891652,-0.9950822398502928,102.03823076307057,-1.4578846,-30.000067,29.418198,12.06433,0.49345803,-7.4152527,19.728594,-72.652504,-44.53435,4.883619,5.2000637,15.000033,1.0712919,24.468403,6.458745,4.422887,19.05747,-34.75799,64.64463,-4.7831225,1.6246059,9.261809,47.845524,-45.97227,34.519493,-27.61823,24.119696,-26.762325,-7.3979135
