Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.20339542627334595,0.024233223870396614,82.07780456542969,0.7394738420311477,-1.4183851856483676,164.34723130525384,-17.46062,-6.9167714,-37.637856,20.880123,0.2003277,-15.000033,40.34321,-13.614207,-44.522762,6.5464544,-1.7631072,15.000033,37.517693,-0.35518867,6.4387946,23.472694,23.423439,-33.291183,45.019215,-2.5294807,0.112805374,7.640297,-108.80132,-41.503845,62.611195,89.1589,52.225426,1.8738213,-7.78115
1,0.2972421646118164,0.02475636452436447,81.98146057128906,0.7939404019278232,-1.7674817855538838,164.6588103235353,-17.291803,-7.102967,-37.687153,21.052065,0.15786684,-15.000033,40.81661,-13.520715,-44.764835,6.569127,-1.826927,15.000033,37.45371,-0.25250354,6.2477436,23.318638,23.426847,-33.32797,44.954258,-2.2122543,0.45744538,7.519911,-108.23478,-41.448486,62.337406,89.434525,52.058826,1.99028,-7.7198524
2,0.39761489629745483,0.03531034290790558,81.94305419921875,0.9037117238795636,-1.8883204133651226,164.7658663027157,-17.298258,-7.0802183,-37.343456,20.956612,0.3606681,-15.000033,40.913555,-13.537348,-44.737877,6.5752287,-2.0004969,15.000033,37.361534,-0.24211891,6.1980286,23.31508,23.406841,-33.336914,44.80924,-2.2379954,0.4708493,7.1741896,-107.95302,-41.396046,62.122,89.1965,51.99944,1.7607292,-7.5914474
3,0.4944887161254883,0.050681911408901215,81.98052978515625,0.9173847480020544,-1.9577364621674538,164.66605464783248,-17.17299,-6.8247137,-37.113636,20.560226,0.61235636,-15.000033,40.870003,-13.539362,-44.55884,6.546679,-1.847622,15.000033,37.284935,-0.28735054,6.160097,23.228159,23.38498,-33.499817,44.886932,-2.241211,0.49596044,7.0740767,-107.60621,-41.32345,61.966347,88.915825,51.550255,1.8261186,-7.429069
4,0.5812469124794006,0.07214082777500153,81.98583984375,0.9551238521840248,-1.871677213112342,164.66514299905182,-17.42043,-6.653252,-36.624638,20.532799,0.7582041,-15.000033,40.74006,-13.542846,-44.605785,6.5274677,-1.9755051,15.000033,37.222794,-0.30448148,6.1043167,23.042517,23.346533,-33.696995,45.081867,-2.2714682,0.5117058,7.001766,-107.56295,-41.2215,61.870487,88.74989,50.96068,1.9473611,-7.3011646
5,0.6617138981819153,0.0985458716750145,81.99755859375,0.9132466809288752,-1.9286981301378643,164.6888261251674,-17.41362,-6.474433,-36.445885,20.4167,0.86730444,-15.000033,40.70541,-13.387342,-44.432182,6.4698815,-1.9628482,15.000033,37.26116,-0.3001179,5.95899,22.87818,23.3485,-33.79165,45.048805,-2.3717868,0.5534022,6.982257,-107.2849,-41.145763,61.779118,88.948105,51.250797,1.9945389,-7.2253833
6,0.7204712629318237,0.13063465058803558,81.98104095458984,1.0414805860741179,-1.9082575857592055,164.73743260664133,-17.492273,-6.3378468,-35.878536,20.171703,1.0374343,-15.000033,40.67637,-13.420175,-44.38648,6.421035,-2.0288553,15.000033,37.242176,-0.3173358,5.950175,22.786015,23.337317,-33.752785,45.122746,-2.3363452,0.59914047,6.9402165,-107.27779,-41.033096,61.706882,88.88384,51.21363,2.077844,-7.1877055
7,0.7642571330070496,0.16480150818824768,81.95539855957031,1.0872103820943024,-2.0028683471723085,164.70356915593612,-17.46435,-6.194747,-35.52256,20.132797,1.0367434,-15.000033,40.75545,-13.423923,-44.300304,6.3956103,-1.9981028,15.000033,37.210327,-0.3041233,5.834288,22.733147,23.345972,-33.838013,45.18078,-2.4340742,0.58570427,6.991554,-106.99487,-40.890423,61.44179,88.73505,51.208385,2.115809,-7.1985655
8,0.7840338349342346,0.19788125157356262,81.97705078125,1.0517109106951978,-1.9392700496833892,164.7993892480911,-17.469797,-5.95517,-35.340805,19.763971,1.0173774,-15.000033,40.69621,-13.291083,-44.30857,6.3494477,-1.7651396,15.000033,37.16203,-0.29733345,5.725659,22.673918,23.355328,-33.789772,45.245,-2.4068885,0.7602154,6.9823318,-106.976944,-40.80074,61.25493,88.81023,51.268597,2.25637,-7.3885694
9,0.7877252101898193,0.22870902717113495,81.96794891357422,1.07032253617054,-1.9022770013420844,164.80908930963665,-17.474358,-5.7458124,-34.95456,19.504644,1.0601401,-15.000033,40.66816,-13.258297,-44.338165,6.3102427,-1.9165556,15.000033,37.17575,-0.24724227,5.633191,22.635786,23.3637,-33.80425,45.361786,-2.309025,0.82001454,6.8881726,-106.96215,-40.735718,61.198845,88.65402,51.08082,2.182123,-7.384426
10,0.7747815251350403,0.2575485110282898,81.99052429199219,1.0202335058920486,-1.8428392583995767,164.89378674045008,-17.566853,-5.460637,-34.504066,19.334238,1.0082058,-15.000033,40.624134,-13.123359,-44.322998,6.2702327,-1.6265341,15.000033,37.112717,-0.21257356,5.4869857,22.642485,23.379982,-33.839985,45.417576,-2.3209877,0.8429939,6.8356285,-106.868355,-40.67041,61.125183,88.601074,50.893593,2.2005785,-7.39801
11,0.743671178817749,0.27951517701148987,82.04698181152344,0.9557860547917542,-1.7029267153893923,164.94113655415123,-17.555143,-5.380052,-34.751114,19.054893,0.9930402,-15.000033,40.46621,-13.020863,-44.31379,6.273646,-1.4979657,15.000033,37.069508,-0.18822628,5.3926883,22.635313,23.396257,-33.910362,45.576935,-2.3620253,0.8989888,6.728449,-106.93779,-40.604492,61.093094,88.57053,50.558136,2.324569,-7.423074
12,0.705834150314331,0.2948722243309021,82.04576110839844,1.0001260724591838,-1.7667189122922689,164.95590810744613,-17.447588,-5.4175224,-34.72509,19.04026,1.0047913,-15.000033,40.59723,-13.097913,-44.46791,6.320051,-1.4846356,15.000033,36.977707,-0.1713483,5.405757,22.64386,23.408836,-34.063793,45.777164,-2.614325,0.861572,6.647189,-106.872345,-40.5191,61.047188,88.40528,50.315,2.4319358,-7.3116717
13,0.6724858283996582,0.3063984215259552,82.04210662841797,1.0558282527356302,-1.6519606849479347,164.84856472745963,-17.570019,-5.3277884,-34.34882,19.024223,0.9866576,-15.000033,40.486233,-13.1926365,-44.42699,6.2742596,-1.901995,15.000033,36.9889,-0.23589309,5.4838495,22.71867,23.40751,-34.07961,45.874428,-2.4130366,0.98758,6.6494293,-107.0873,-40.452656,61.16758,88.31568,50.23679,2.6206908,-7.067607
14,0.6403691172599792,0.3112432360649109,82.07319641113281,1.0223866037774627,-1.641934443542829,164.81887245347772,-17.498474,-5.2942204,-34.42375,18.946701,1.0806967,-15.000033,40.47317,-13.186809,-44.468082,6.2851453,-1.8813738,15.000033,36.999763,-0.20081633,5.450844,22.788454,23.401154,-34.037365,45.96054,-2.4368916,0.91687644,6.6244063,-107.07313,-40.3997,61.297222,88.31813,49.78334,2.662777,-6.991584
15,0.6158210039138794,0.31096816062927246,82.10121154785156,0.995374129650202,-1.5852701229166852,164.83670816490573,-17.524727,-5.2367206,-34.35267,18.880045,1.1345544,-15.000033,40.475605,-13.188512,-44.745968,6.2652946,-1.8234395,15.000033,37.011703,-0.17731392,5.424808,22.933252,23.37508,-33.792843,45.904297,-2.635469,0.828461,6.6499243,-107.14021,-40.351357,61.41201,88.4221,49.511883,2.644801,-6.8527985
16,0.6078339219093323,0.3100748658180237,82.07035827636719,1.1168712505989065,-1.536038871973952,164.81638453535638,-17.642328,-5.273178,-33.973938,18.930624,1.1305505,-15.000033,40.47148,-13.301602,-44.762142,6.1999145,-2.0730348,15.000033,37.008415,-0.19491954,5.4398518,23.02258,23.331991,-33.682644,45.908836,-2.6208491,0.7829625,6.5786724,-107.22626,-40.276176,61.521866,88.29927,48.910957,2.6779804,-6.701119
17,0.6077489852905273,0.3038405776023865,82.08243560791016,1.1101106365399647,-1.590173723825431,164.80900480272223,-17.635378,-5.353078,-34.059864,19.109818,1.2076108,-15.000033,40.533916,-13.353694,-44.921494,6.2707806,-2.141324,15.000033,36.945213,-0.15339841,5.4842906,23.014666,23.2911,-33.7763,46.00915,-2.4781291,0.7908373,6.427266,-107.22935,-40.19734,61.526073,88.31511,48.911713,2.680423,-6.590374
18,0.6220471858978271,0.29684340953826904,82.10134887695312,1.052003748118716,-1.5932536073131032,164.86393865054245,-17.620705,-5.3530693,-34.238064,19.078482,1.263359,-15.000033,40.545193,-13.304018,-45.12477,6.300771,-2.2205503,15.000033,36.942738,-0.097865544,5.440056,23.022856,23.28556,-33.78133,45.941566,-2.470759,0.7697933,6.2797327,-107.22027,-40.19,61.536564,88.419876,48.77524,2.6323733,-6.62294
19,0.6467793583869934,0.29106080532073975,82.08614349365234,1.1146448917174716,-1.7180728537372274,164.90018303608542,-17.52411,-5.4674582,-34.251236,19.132626,1.4134687,-15.000033,40.705936,-13.389473,-45.331234,6.352914,-2.2755148,15.000033,36.914875,-0.07300842,5.5020056,23.027878,23.266247,-33.804214,45.918774,-2.4694414,0.7476305,6.1376324,-107.144485,-40.170837,61.547707,88.410995,48.749542,2.593754,-6.56859
20,0.6808567047119141,0.2892639935016632,82.09410858154297,1.0869196503527745,-1.7275717168607747,164.99114133178276,-17.606209,-5.4429383,-34.190727,19.19203,1.4632092,-15.000033,40.748672,-13.35479,-45.595142,6.3849683,-2.256005,15.000033,36.868816,-0.031089442,5.49014,22.972706,23.224539,-33.800022,45.93609,-2.6067264,0.7573842,5.9061875,-107.17038,-40.148945,61.4909,88.48476,48.794033,2.6258385,-6.60609
21,0.7215493321418762,0.29105156660079956,82.05587768554688,1.1157130959351873,-1.8930504405446806,165.09520852793207,-17.487562,-5.486423,-34.147305,19.200365,1.4768932,-15.000033,40.902493,-13.338635,-45.55853,6.483688,-2.3547907,15.000033,36.808033,0.07709873,5.5451684,22.919828,23.199993,-33.77626,45.849957,-2.621553,0.61808187,6.0743213,-107.15676,-40.135284,61.405357,88.50642,48.98801,2.4727075,-6.881256
22,0.7686328291893005,0.30014094710350037,82.06324768066406,1.067291272832342,-1.8727743959834597,165.17862876564212,-17.538885,-5.3582506,-34.0692,19.074764,1.4580892,-15.000033,40.828285,-13.198854,-45.45996,6.462446,-2.3771453,15.000033,36.769222,0.08642026,5.492233,22.779562,23.182463,-33.872803,45.930115,-2.4114316,0.71580696,5.9386744,-107.15149,-40.12533,61.3022,88.628914,49.362312,2.4682353,-7.001588
23,0.8103153705596924,0.311847060918808,82.02974700927734,1.0793123136652836,-1.987354499665241,165.2739827599553,-17.46665,-5.3834147,-34.108425,19.07948,1.4010782,-15.000033,40.94382,-13.138153,-45.395798,6.4830723,-2.2987826,15.000033,36.79246,0.15549035,5.4560337,22.74631,23.174849,-33.803852,45.73863,-2.4142556,0.6664792,6.1420894,-107.06919,-40.11673,61.090656,88.78917,50.008926,2.4223108,-7.3058276
24,0.8434435129165649,0.3268318474292755,82.02127838134766,1.025889434280573,-2.082630037947544,165.3361967724204,-17.401505,-5.3555284,-34.1961,19.114185,1.3181802,-15.000033,41.0024,-13.035464,-45.2837,6.5345364,-2.0825968,15.000033,36.762005,0.21289882,5.4537024,22.745298,23.171137,-33.63047,45.6706,-2.550215,0.55696774,6.2736244,-106.99946,-40.11436,60.972687,88.87201,50.495026,2.3731456,-7.4447784
25,0.8679633140563965,0.345445841550827,82.0250244140625,1.0037935400684512,-2.1835416356290422,165.40172280655318,-17.36258,-5.312976,-34.117615,19.180206,1.4240278,-15.000033,41.10019,-12.986563,-45.32015,6.5913634,-1.9241933,15.000033,36.721085,0.25519538,5.4853926,22.800547,23.176233,-33.48353,45.490585,-2.7318845,0.46155384,6.2809753,-106.93575,-40.114742,60.906868,88.92157,50.682514,2.3437524,-7.545708
26,0.8837547302246094,0.3692568242549896,82.023193359375,1.0327955714433468,-2.178261956688824,165.45594552992586,-17.26739,-5.2993126,-34.245113,18.916628,1.4892906,-15.000033,41.086212,-12.945792,-45.23939,6.583486,-1.8379445,15.000033,36.697186,0.2522689,5.489666,22.750069,23.189054,-33.492386,45.464108,-2.5326405,0.50724095,6.2549677,-106.93424,-40.113205,60.910038,88.904594,50.379078,2.372952,-7.6541605
27,0.8869696259498596,0.3934732973575592,82.04878234863281,1.0208218478959452,-2.1248689497980853,165.46299162167793,-17.230158,-5.220941,-34.292896,18.695274,1.6057433,-15.000033,41.04283,-12.927121,-45.357277,6.58726,-1.7979426,15.000033,36.710743,0.2527749,5.502149,22.806816,23.209743,-33.357513,45.399796,-2.662563,0.36223477,6.294833,-106.99633,-40.116425,61.01579,88.88707,50.002758,2.364307,-7.5665097
28,0.883938193321228,0.4191529154777527,82.07215881347656,1.0360162892436464,-1.997185666005203,165.48695982690353,-17.229692,-5.1068974,-34.249012,18.325516,1.772092,-15.000033,40.880627,-12.876681,-45.23633,6.557674,-1.901545,15.000033,36.70023,0.24828433,5.53326,22.841608,23.23029,-33.27799,45.362778,-2.6255789,0.34051436,6.2155914,-107.19012,-40.122086,61.15495,88.79022,49.63343,2.3950965,-7.478642
29,0.8738706111907959,0.4415319859981537,82.07660675048828,1.0868256793189994,-1.9519940100321462,165.4374423201601,-17.118834,-5.0557065,-34.27081,17.998957,1.89805,-15.000033,40.84716,-12.920775,-45.20806,6.5192566,-1.9204019,15.000033,36.76934,0.27728596,5.5650744,22.887766,23.262074,-33.231422,45.250496,-2.5717144,0.33430386,6.308889,-107.309494,-40.119736,61.176224,88.70349,49.44264,2.4603019,-7.5277653
30,0.8592575788497925,0.45973169803619385,82.09770202636719,1.097884430324341,-1.8504138764564375,165.4353217481122,-17.090504,-4.984912,-34.29558,17.704891,1.9903828,-15.000033,40.741352,-12.913941,-45.184772,6.5011473,-1.8471379,15.000033,36.772984,0.30509526,5.582032,22.906681,23.29407,-33.22189,45.251133,-2.5375466,0.40923467,6.2981896,-107.45996,-40.11407,61.20641,88.601,49.48412,2.5095043,-7.442079
31,0.8420349359512329,0.47181448340415955,82.12802124023438,1.1114420313320734,-1.7972658454922348,165.4170756584605,-17.021587,-4.961595,-34.3628,17.482555,2.1489792,-15.000033,40.68394,-12.959856,-45.249805,6.5439134,-1.8011729,15.000033,36.76948,0.3694527,5.6381145,22.993908,23.31886,-33.149193,45.20729,-2.7152119,0.3623947,6.3268847,-107.59961,-40.1098,61.296436,88.40902,49.294125,2.513359,-7.4249797
32,0.8297116756439209,0.47914180159568787,82.11946105957031,1.159089304696594,-1.763601566563637,165.32874843881828,-16.961473,-4.966899,-34.393223,17.3413,2.1930254,-15.000033,40.654423,-13.058544,-45.263268,6.556673,-1.8074682,15.000033,36.796406,0.37043512,5.674644,23.071056,23.34775,-33.124016,45.153244,-2.773879,0.36987522,6.3716464,-107.668625,-40.098568,61.390366,88.23076,49.088623,2.5230405,-7.337743
33,0.8233088850975037,0.4796440303325653,82.14810180664062,1.0554018734378514,-1.7408603594181082,165.41098625411632,-16.91096,-4.7858987,-34.313305,17.098568,2.4017816,-15.000033,40.632416,-12.892509,-45.35017,6.507712,-1.6392562,15.000033,36.862022,0.4359804,5.606375,23.116987,23.383135,-33.056175,44.993404,-2.6538413,0.4132346,6.4804993,-107.72468,-40.099747,61.48954,88.607025,49.657978,2.3686132,-7.3921127
34,0.8182613253593445,0.4813128709793091,82.15320587158203,1.0305856153461352,-1.709869525259839,165.3123160298186,-16.922726,-4.731304,-34.29292,17.107952,2.4015381,-15.000033,40.588203,-12.929721,-45.4283,6.5100884,-1.7402539,15.000033,36.896214,0.40447536,5.5972977,23.184843,23.409325,-33.074375,44.93507,-2.6763072,0.38212,6.573819,-107.70425,-40.0976,61.5627,88.56651,49.505177,2.358854,-7.339767
35,0.8152402639389038,0.48627912998199463,82.14761352539062,1.0378836094594523,-1.7468423338776202,165.22249697183668,-16.881294,-4.697389,-34.23183,17.144735,2.3540204,-15.000033,40.60189,-12.975492,-45.375103,6.51444,-1.8362602,15.000033,36.90979,0.38856864,5.58994,23.146868,23.495892,-33.452118,44.966576,-2.6535654,0.4888437,6.3477974,-107.61316,-40.069557,61.52912,88.458115,49.15161,2.4410605,-7.2980065
36,0.8086203336715698,0.4937369227409363,82.15840911865234,0.9913342992846838,-1.7379864739996105,165.19157568259615,-16.877579,-4.5933876,-34.156414,17.115488,2.3126962,-15.000033,40.58699,-12.942697,-45.41679,6.505893,-1.9195458,15.000033,36.928143,0.36592698,5.5712256,23.223783,23.534111,-33.43716,44.839344,-2.704981,0.4311878,6.396316,-107.57502,-40.063347,61.587585,88.52983,48.950085,2.4854984,-7.2288284
37,0.7987012267112732,0.5070298314094543,82.19263458251953,0.8816638567360219,-1.6397620301775737,165.171329950888,-16.91526,-4.376452,-34.09363,16.946089,2.3238328,-15.000033,40.464493,-12.824413,-45.47599,6.472527,-1.8988241,15.000033,36.927204,0.34574947,5.547538,23.338413,23.5973,-33.36823,44.723152,-2.7070577,0.41080636,6.4073777,-107.668655,-40.05808,61.675144,88.65739,49.01726,2.437137,-7.2276535
38,0.7833901047706604,0.5267536044120789,82.18714141845703,0.8864439555321619,-1.6661555319050725,165.17519772060209,-16.876898,-4.332604,-34.00983,16.931898,2.287096,-15.000033,40.52214,-12.821584,-45.53646,6.470164,-1.8795493,15.000033,36.911907,0.31507587,5.5575075,23.435192,23.66038,-33.328438,44.567387,-2.789522,0.34891564,6.3816524,-107.62694,-40.050865,61.685818,88.64665,49.09457,2.4607968,-7.2552648
39,0.7631229162216187,0.5524808764457703,82.17687225341797,0.9413357177452577,-1.6143894758019375,165.01219770003598,-16.905266,-4.3139577,-33.87989,16.982496,2.259093,-15.000033,40.481495,-12.954801,-45.581684,6.4651666,-1.9769951,15.000033,36.96716,0.22696896,5.595275,23.539093,23.764305,-33.38161,44.45866,-2.7507815,0.3296861,6.3536167,-107.65366,-40.023426,61.725803,88.47366,48.870056,2.5270388,-7.231443
40,0.7388488054275513,0.5830305814743042,82.18677520751953,0.9603634399310046,-1.550943964935489,164.98930651818017,-17.009594,-4.285629,-33.717552,17.086248,2.323464,-15.000033,40.467693,-12.99117,-45.7365,6.460491,-1.9750236,15.000033,36.97319,0.1869908,5.6126285,23.664854,23.84143,-33.26171,44.30371,-2.907025,0.29722607,6.2534776,-107.72314,-40.004826,61.712284,88.383316,48.72768,2.6179762,-7.2805347
41,0.7181195020675659,0.6194273233413696,82.208251953125,0.9507702827249084,-1.4628098352629693,164.98192575215492,-17.151295,-4.244305,-33.571365,17.221783,2.3798501,-15.000033,40.365433,-12.931674,-45.68431,6.4293966,-1.8337351,15.000033,36.99567,0.11471849,5.5854793,23.880457,23.97635,-33.02299,43.93854,-2.6484225,0.29241684,6.480698,-107.768326,-39.98387,61.68738,88.44762,49.34158,2.4460602,-7.3812094
42,0.6954867839813232,0.6600323915481567,82.22635650634766,1.0046435204062134,-1.3585260951381795,164.74677939827933,-17.138962,-4.2207093,-33.60528,17.162693,2.3908632,-15.000033,40.2078,-13.082525,-45.597332,6.454572,-1.9736779,15.000033,37.01884,0.061268575,5.6398926,24.127314,24.10685,-32.980003,43.642952,-2.5157905,0.29661718,6.4731245,-107.813225,-39.928913,61.747295,87.96383,48.638657,2.528904,-7.259712
43,0.6837807297706604,0.7042142748832703,82.23987579345703,1.0374742429461967,-1.320589520289773,164.63312630730172,-17.222376,-4.174464,-33.390198,17.322474,2.4326105,-15.000033,40.17916,-13.171967,-45.736217,6.4768424,-2.1198425,15.000033,37.02339,0.008913132,5.645927,24.362185,24.24557,-32.920067,43.21316,-2.4384065,0.27987608,6.433786,-107.77205,-39.863483,61.746765,87.72318,48.547592,2.4853482,-7.2682223
44,0.6818971633911133,0.7519685626029968,82.24014282226562,1.067482336504596,-1.2658550158684558,164.50763637123393,-17.274155,-4.1106133,-33.27606,17.3682,2.409123,-15.000033,40.177986,-13.296852,-46.08642,6.5158715,-2.2680006,15.000033,37.016304,-0.017303022,5.6796403,24.6167,24.386065,-32.749107,42.710865,-2.425993,0.34351537,6.399337,-107.80989,-39.779766,61.771755,87.45398,47.938297,2.6444063,-7.256746
45,0.7014089226722717,0.8034322261810303,82.20307159423828,1.1682861211835935,-1.1712710666317339,164.3609400589405,-17.363203,-4.0589013,-33.01865,17.340899,2.3706002,-15.000033,40.034054,-13.361019,-45.808205,6.4455028,-2.4344752,15.000033,37.14192,-0.03332043,5.6766777,24.853292,24.55849,-32.635845,41.954388,-2.198624,0.39440757,6.6009965,-107.94728,-39.6805,61.830673,87.34962,48.31578,2.59305,-7.262941
46,0.731903612613678,0.8545252680778503,82.20806121826172,1.125827175976675,-1.2025615542619326,164.2150795798416,-17.354101,-4.0320306,-33.202023,17.532175,2.2314885,-15.000033,40.06757,-13.412734,-46.050705,6.5166254,-2.3157685,15.000033,37.195633,-0.00047572126,5.730406,25.167135,24.713911,-32.287865,41.09185,-2.145615,0.43384776,6.7181554,-107.989265,-39.58233,61.792767,87.33531,48.80465,2.5668652,-7.268622
47,0.792376697063446,0.9118970632553101,82.13220977783203,1.2204042398855075,-1.2395221437036228,164.15724624028218,-17.488947,-4.0738397,-33.010433,17.835964,1.9689803,-15.000033,40.043873,-13.423593,-45.70902,6.509968,-2.4735515,15.000033,37.23219,-0.024003314,5.7731285,25.543606,24.900455,-31.896326,39.73098,-1.9974731,0.39101034,7.051996,-108.03545,-39.476105,61.670315,87.340706,49.4724,2.5060508,-7.437454
48,0.8660115003585815,0.9658082127571106,82.13786315917969,1.1212627432926487,-1.2717008385690827,164.22631622554667,-17.64326,-3.9230845,-32.850136,18.07712,2.0153294,-15.000033,40.01161,-13.223996,-45.648247,6.5354204,-2.440091,15.000033,37.2313,0.104217455,5.669221,25.924469,25.121752,-31.604342,38.069572,-2.0751395,0.31317607,7.1545615,-107.97215,-39.377254,61.553955,87.48066,49.783833,2.527658,-7.5408177
49,0.9530062079429626,1.023626446723938,82.09255981445312,1.0945043918786677,-1.410288359958966,164.2497624380683,-17.788273,-3.9047174,-32.71592,18.579714,1.8505199,-15.000033,40.124855,-13.139521,-45.63213,6.5951247,-2.3507307,15.000033,37.213524,0.20666726,5.681429,26.476946,25.386934,-30.999594,35.7272,-2.03605,0.26841676,7.33816,-107.86489,-39.284805,61.51115,87.5091,49.78286,2.4130068,-7.488827
50,1.0443488359451294,1.0839967727661133,82.00474548339844,1.2565771792212284,-1.5859600230282287,164.2628082118521,-17.865465,-4.1022086,-32.55755,19.052877,1.7693421,-15.000033,40.290073,-13.2291155,-45.504814,6.662885,-2.4565187,15.000033,37.14906,0.25942895,5.698675,26.694921,25.704039,-30.798763,33.429626,-1.6877398,0.2840407,7.3321853,-107.65805,-39.16042,61.375122,87.228676,49.566235,2.430369,-7.6031384
51,1.135977864265442,1.14492666721344,81.91741180419922,1.3775828982998948,-1.8223629847928968,164.22903477020742,-17.812057,-4.3161387,-32.66402,19.489664,1.5826837,-15.000033,40.576813,-13.339028,-45.710396,6.71324,-2.5137796,15.000033,37.133953,0.33352816,5.702168,26.995495,26.038973,-30.292156,30.747078,-1.6898484,-0.15335476,7.5235744,-107.347984,-39.02558,61.42028,87.05428,48.636406,2.4532933,-7.4976425
52,1.2198156118392944,1.2066106796264648,81.92581176757812,1.3016506954115699,-1.9211230702461204,164.2831985118201,-17.985714,-4.120225,-32.29384,19.851715,1.5856211,-15.000033,40.647087,-13.204757,-45.820007,6.7657447,-2.4065852,15.000033,36.991043,0.4202001,5.6096144,27.323128,26.421524,-29.646889,27.669899,-1.759229,-0.3311466,7.638568,-107.09414,-38.8879,61.241516,86.98369,48.6705,2.4112477,-7.60294
53,1.2911536693572998,1.272812843322754,81.88484191894531,1.3638877846325401,-2.0502589527967197,164.16196773996484,-18.062244,-4.0750155,-32.003532,20.254171,1.2852616,-15.000033,40.72158,-13.242977,-45.62694,6.7714734,-2.2814035,15.000033,36.879436,0.4307985,5.542332,27.496792,26.857277,-28.929388,24.576887,-1.4409894,-0.37268668,7.7553287,-106.73566,-38.71008,61.018723,86.643684,48.35279,2.5072024,-7.6836557
54,1.3402260541915894,1.3378430604934692,81.85123443603516,1.3607155778035267,-2.1970936949938142,163.9129320900098,-18.004335,-3.9366174,-31.777586,20.547625,1.1073029,-15.000033,40.83099,-13.2895975,-45.53768,6.7331486,-1.9792011,15.000033,36.828728,0.50363,5.4745064,27.661947,27.30695,-28.356407,21.160324,-1.0998924,-0.4740326,7.913228,-106.42046,-38.49956,60.877594,86.302246,48.198803,2.5095737,-7.6952696
55,1.3677892684936523,1.4137489795684814,81.83402252197266,1.3176824182252838,-2.2480042991151588,163.84747365059528,-18.115822,-3.81323,-31.6195,20.907764,0.853785,-15.000033,40.819378,-13.188628,-45.287125,6.726543,-1.8884006,15.000033,36.708725,0.5807674,5.356517,27.803997,27.787886,-27.386587,17.121004,-0.8008786,-0.12184209,7.846993,-106.24999,-38.294807,60.68883,86.13949,48.15032,2.4690034,-7.9871287
56,1.3705229759216309,1.5021892786026,81.77464294433594,1.3347382960664367,-2.3495244999561047,163.74135616683742,-18.248915,-3.7158558,-31.223324,21.464619,0.55245036,-15.000033,40.9187,-13.170052,-45.12733,6.7041535,-1.952942,15.000033,36.6461,0.6452447,5.2700787,28.167702,28.234781,-26.26055,12.864344,-0.79003984,-0.3278559,8.259039,-106.085915,-38.100628,60.548485,85.99093,48.59971,2.3569515,-8.079159
