Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.04372500255703926,-1.0820884704589844,79.98938751220703,-0.42917514289391234,-4.518276978461785,81.46253994846454,-5.022632,34.363956,32.696686,50.141647,-20.672756,-10.105777,-22.067904,-19.22517,-5.6126184,59.01083,-12.739717,15.000033,2.633659,-8.229512,12.484323,5.482129,25.000267,-29.56159,62.983,-10.947179,-1.8790611,14.558182,-70.508286,-9.826969,44.330734,44.126225,17.790918,2.8626666,1.8657222
1,0.03657913953065872,-1.4749184846878052,80.03241729736328,-0.8163589298649067,-5.615931026425217,80.13363099281736,-3.7544532,34.825516,32.53672,50.018196,-20.978813,-10.311399,-22.643473,-17.177486,-3.7958171,59.83057,-10.858176,15.000033,1.4870023,-7.939106,12.0756855,6.387416,24.906755,-28.601168,63.573265,-11.851522,-2.107409,13.797282,-76.51256,-10.057358,44.4702,40.358395,20.804369,2.245689,1.5850312
2,0.18176144361495972,-1.8689771890640259,80.3828353881836,-1.0718104730006908,-6.182051413551905,78.80191880124039,-2.0931375,34.891422,33.500057,48.09783,-20.217989,-11.036238,-23.205109,-15.78425,-2.5963452,59.44885,-8.745831,15.000033,-0.17488985,-7.6090736,11.680655,7.8317385,24.644587,-27.42592,63.524723,-11.614955,-1.6776178,13.136563,-85.37902,-10.92561,45.351707,35.977528,20.168715,1.5290328,2.0704894
3,0.44083264470100403,-2.2457656860351562,80.89788818359375,-1.450672458693143,-6.159623458715101,76.94526480987733,-0.7755314,34.842358,34.3675,45.496548,-18.543814,-12.096558,-23.502054,-14.468826,-1.8688058,57.473362,-5.8880396,15.000033,-1.5640453,-7.4035406,11.474915,8.484159,24.203947,-27.373545,64.48272,-11.949052,-1.6929947,12.67721,-94.222786,-12.20724,46.04999,33.623955,22.146513,0.43059433,2.2903707
4,0.8210762143135071,-2.5756947994232178,81.3173828125,-1.3508054004756063,-5.744568774095976,75.35914135797205,-0.33219725,33.971233,34.091812,42.9163,-16.756052,-12.732927,-23.13959,-13.441081,-0.5246589,54.609604,-4.0065327,15.000033,-3.6764152,-6.6861706,11.1866865,10.060213,23.203012,-26.581171,64.77281,-12.763729,-1.1385384,11.675562,-105.3726,-14.357218,47.117012,32.230324,21.606867,-0.70058376,1.236013
5,1.3394209146499634,-2.860081672668457,81.68541717529297,-1.0187558755105948,-5.063339789309134,73.19344789377656,0.349998,33.12377,33.87082,40.031982,-14.557072,-14.089932,-22.562832,-11.6030445,2.0278413,50.875427,-0.881996,15.000033,-5.629161,-5.3801527,11.23944,11.188806,21.99058,-26.39184,65.59404,-13.841039,-1.6704313,11.173031,-118.74934,-17.252892,50.096695,33.130722,24.44186,-3.5073273,1.7852935
6,1.9402347803115845,-3.1075029373168945,82.11105346679688,-0.37242709399833557,-4.627293081458509,71.14256481449301,1.1514813,32.302853,33.42158,37.179848,-11.55809,-15.000033,-21.737686,-11.058891,3.637236,47.588123,1.9394383,15.000033,-6.539122,-4.096869,11.35291,11.564273,20.7701,-26.501526,66.36603,-13.349297,-1.9345148,10.148423,-131.80359,-20.61053,55.211727,35.381233,29.984444,-6.132178,3.0859535
7,2.612854480743408,-3.3120644092559814,82.57943725585938,0.6257859522591266,-3.8575361489017173,69.50676253552457,1.5397619,31.413736,32.764645,34.36863,-8.539762,-15.000033,-20.306444,-10.258239,6.2132983,42.94482,4.0088277,15.000033,-7.358102,-3.3274083,11.214124,11.473667,19.52327,-28.148947,68.67809,-13.27797,-2.493063,9.432496,-142.91348,-24.204763,61.54631,38.541393,36.253304,-9.28393,2.8307362
8,3.283834457397461,-3.4870424270629883,82.94867706298828,1.6875101806295316,-3.4070458776001344,67.24719800847166,2.584785,30.035906,31.430578,31.045616,-5.9055443,-15.000033,-19.048359,-9.824133,8.568257,39.089542,5.2937336,15.000033,-8.042957,-2.8727849,10.039126,11.491403,18.346909,-30.04865,71.82382,-13.520416,-2.580081,8.644432,-151.45435,-28.096752,67.91907,40.99536,38.718628,-12.1206665,2.4048774
9,3.9487435817718506,-3.619610548019409,83.40998077392578,2.612931930729109,-2.386718217495836,64.77604410274657,2.9300685,29.582556,31.252277,29.155142,-3.046381,-15.000033,-17.829779,-9.508116,10.689029,34.72094,7.2583127,15.000033,-8.505832,-2.6415977,8.536901,11.73769,17.215471,-32.028393,74.65394,-12.847499,-2.8939383,7.69054,-156.04602,-32.05313,73.05303,43.42048,41.06352,-15.059202,1.0743097
10,4.549224853515625,-3.7248282432556152,83.6716079711914,3.830739310722247,-2.0260150560326786,62.92621663758033,3.7460349,28.048843,30.159727,26.63924,-0.46480507,-15.000033,-16.656816,-9.597786,13.024682,31.945585,7.653008,15.000033,-9.165877,-3.1183877,6.9319053,12.295405,16.326958,-32.874146,77.37608,-12.421607,-2.878852,7.229999,-158.73845,-35.32699,77.23364,45.506016,42.72686,-17.124828,0.048600577
11,5.113940238952637,-3.799227237701416,83.92422485351562,4.622630428744312,-1.4078231853816385,60.55520561873389,4.5843897,26.703995,29.269411,24.052084,1.6702576,-15.000033,-16.164618,-9.150476,15.426848,29.572174,8.57903,15.000033,-10.483424,-3.7311645,5.821119,12.994685,15.779251,-33.39936,79.50785,-11.511501,-2.9491503,6.658716,-160.31264,-37.57557,80.52648,48.31012,43.11874,-18.025076,-1.6085665
12,5.628890037536621,-3.8341007232666016,84.1349868774414,5.3014961407976,-0.865370863527781,58.36939338892553,4.979231,25.830872,28.741087,22.8137,2.9456663,-15.000033,-15.750343,-8.937339,17.414436,27.437742,9.238593,15.000033,-12.495456,-4.213291,4.920192,14.692805,15.550566,-33.16881,80.31906,-10.944205,-3.0290189,6.243311,-161.12749,-38.493366,82.16391,52.40153,43.42761,-18.767035,-3.0226784
13,6.123420238494873,-3.819930076599121,84.28272247314453,5.659553601226128,-0.1828507264459649,56.703267801525676,5.822479,24.910181,28.820477,20.493788,4.149562,-15.000033,-15.489735,-8.615941,19.217642,25.529037,9.441622,15.000033,-14.37404,-4.5918202,4.4902344,15.918525,15.361069,-32.866795,81.273445,-9.859378,-3.1913557,6.0399404,-161.81355,-39.33883,84.28401,56.169537,44.654713,-18.801918,-3.695816
14,6.620327472686768,-3.758960247039795,84.32550811767578,6.37816746374022,0.2808149761640572,55.28215732573631,6.661583,23.457556,28.203108,18.208305,4.980644,-15.000033,-15.635523,-8.636296,21.047129,24.96445,8.98286,15.000033,-16.284395,-4.9856267,4.1642113,17.20356,15.179501,-32.419537,81.744,-8.337277,-3.1433828,5.9894953,-162.362,-40.12077,87.09006,60.650177,45.741196,-18.547295,-4.919754
15,7.166393280029297,-3.640748977661133,84.37226104736328,6.832387259731525,0.9890713206408956,53.62411948419507,6.96276,22.76418,27.855398,17.254103,5.0598497,-15.000033,-15.908915,-8.368058,22.542265,24.058308,8.7640705,15.000033,-17.73483,-5.1286983,4.274032,18.163496,15.021213,-31.87809,82.467186,-7.2754736,-3.373734,5.5783105,-162.81148,-40.835743,90.46603,64.796104,46.873726,-18.647383,-6.194912
16,7.743880748748779,-3.4449844360351562,84.46353912353516,7.639730864686145,1.9147464109207655,52.9230450667572,7.320254,21.56977,27.568687,15.41388,5.214335,-15.000033,-16.082909,-8.858373,23.755646,22.928207,7.764172,15.000033,-18.567766,-5.142777,4.4491744,18.62354,14.896108,-31.57117,83.37326,-5.782673,-3.2191372,5.2389874,-163.15155,-41.459766,94.45574,69.78037,49.431362,-17.91123,-6.984538
17,8.361082077026367,-3.1816012859344482,84.45600891113281,8.212677439360235,2.58021046477725,52.4675201243069,7.233585,21.21046,27.474216,15.310597,4.5595307,-15.000033,-16.563576,-8.936497,24.680174,23.209959,6.3572598,15.000033,-19.885223,-4.863508,4.8556128,19.355238,14.825974,-31.456896,83.53748,-5.077921,-3.1906238,4.70181,-162.75291,-41.823765,96.076096,73.425476,49.94592,-16.523998,-7.9893503
18,9.036489486694336,-2.8486385345458984,84.56633758544922,8.954120821095835,3.765416666180408,52.205458428873705,6.5586057,20.703955,27.500776,15.442671,4.9704127,-15.000033,-17.324627,-9.418849,24.978552,23.05114,5.7132015,15.000033,-20.322092,-4.884568,5.5162487,19.521772,14.8240795,-31.007002,84.10627,-4.7188706,-3.1737318,4.520919,-163.0499,-42.220924,99.77003,77.48802,53.450237,-15.382974,-8.569453
19,9.735157012939453,-2.443225145339966,84.54615783691406,9.14120153638776,4.971042557536383,51.81638603177561,5.768829,21.101944,28.075228,16.70668,4.452733,-15.000033,-18.355015,-9.385097,24.706095,23.575289,4.8204484,15.000033,-21.340494,-4.5643225,6.5294886,19.96649,14.829335,-30.941069,83.985634,-4.418975,-2.8781483,3.5965042,-162.4497,-42.46295,101.03894,81.70389,54.190613,-13.337442,-9.688569
20,10.432373046875,-1.991011142730713,84.23883056640625,9.129676899963865,5.909615728197134,51.40766055912856,3.7573056,22.477724,28.068563,21.030827,1.9237976,-15.000033,-19.358377,-9.255443,24.178501,24.773186,2.1392226,15.000033,-21.815838,-4.092226,7.9352884,20.20521,14.973123,-30.964716,83.72635,-3.7011225,-3.1430912,3.048356,-162.37405,-42.914005,104.47085,86.019714,57.727383,-12.611415,-11.475422
21,11.135329246520996,-1.4909074306488037,83.91929626464844,9.23094636960222,6.598266579903854,51.53221107020079,2.3142486,23.692808,29.078764,24.331942,-0.69654226,-15.000033,-20.209694,-8.865305,24.342512,26.775541,-0.41525766,15.000033,-22.61965,-3.4011855,9.327171,20.508886,15.026544,-31.00788,83.38313,-3.2059684,-3.3199675,2.638119,-161.18335,-43.110065,105.33399,89.23221,58.79703,-12.104091,-12.755392
22,11.811502456665039,-0.9564199447631836,83.56444549560547,9.232361519861067,7.9600281223521065,52.19358169392227,-0.14211869,25.152609,29.587254,28.542631,-3.5886257,-15.000033,-21.789913,-8.652417,23.902834,28.826897,-2.960961,15.000033,-23.017998,-2.6317947,11.15107,20.586124,15.283227,-30.76371,82.42369,-2.6234539,-3.3244808,2.136777,-160.77383,-43.731762,107.93737,92.2793,60.899563,-11.07861,-12.37646
23,12.43214225769043,-0.3971147835254669,83.30364990234375,9.735049194592802,9.219978040439202,53.6652237363025,-1.8315471,25.867048,30.229378,31.169994,-6.1372094,-15.000033,-23.377754,-8.784851,24.04455,31.461454,-5.311811,15.000033,-23.240036,-1.7800742,12.454362,20.522842,15.541558,-30.094341,81.82534,-2.7107873,-3.1263707,1.7315148,-159.54796,-44.388905,109.68395,94.00642,61.24905,-10.028563,-12.288024
24,12.957033157348633,0.1599077433347702,82.83460998535156,9.824241546042638,10.36395363696237,54.57140751079013,-3.95083,27.264223,30.588501,35.23182,-8.914364,-15.000033,-25.198063,-8.348466,24.044985,34.62919,-7.517673,15.000033,-23.550291,-0.95163345,14.592181,21.162125,16.27043,-30.127075,79.20895,-0.6235064,-2.7778375,0.9982897,-158.94357,-46.56295,111.55123,94.94829,62.97451,-8.867366,-12.772389
25,13.342700958251953,0.7110064625740051,82.26014709472656,9.969316326671176,11.550556103596993,56.27049235917196,-6.2705173,28.461563,30.549608,38.693222,-11.222864,-15.000033,-27.196568,-8.195206,23.77155,38.182693,-9.998969,15.000033,-24.406946,-0.5900744,16.68666,22.18257,17.178827,-28.902958,76.31352,0.8131827,-2.1988342,0.7333389,-157.28966,-49.365086,111.72464,95.07622,62.87467,-6.776718,-13.830846
26,13.57853889465332,1.2165035009384155,81.67569732666016,9.745759328022789,13.055908492748953,57.39901547106487,-9.189324,30.13092,30.467339,43.092606,-13.22922,-15.000033,-29.314903,-8.057473,22.965237,40.631313,-11.611958,15.000033,-25.258627,-0.2296059,19.085651,23.34481,18.024204,-28.38108,73.456215,1.7340715,-2.2973092,0.66049105,-155.033,-52.584076,111.01962,95.15068,63.662815,-6.509646,-15.558187
27,13.629860877990723,1.6505686044692993,80.90784454345703,9.037289083149307,14.357387594573817,59.167915954762115,-11.749055,31.351189,29.401665,45.945942,-13.665983,-15.000033,-31.11713,-7.772168,21.538687,43.109344,-13.473448,15.000033,-25.775253,0.46158645,21.58228,24.38143,18.929586,-27.220045,70.54243,2.7695465,-1.800447,0.9994707,-151.25922,-56.26533,109.3441,95.71806,63.14844,-3.0093277,-18.10316
28,13.506844520568848,1.9694997072219849,80.29808044433594,8.547112398550057,15.420371397118052,60.65611851286818,-13.7807455,32.476715,29.385662,48.864063,-15.44471,-15.000033,-33.038525,-8.329585,19.592016,45.4055,-15.086556,15.000033,-25.925074,0.8734048,23.880333,25.434889,19.871626,-25.918526,67.9999,3.5488257,-1.5386013,1.2569288,-145.10455,-60.32547,105.72718,96.40131,63.685574,-0.5210443,-19.41079
29,13.2142915725708,2.16160249710083,79.67274475097656,8.242519740337196,16.478880687217174,63.12209788215744,-16.525349,33.56466,28.734615,51.630997,-16.333685,-14.857554,-34.910442,-8.869295,18.159067,47.953384,-16.539003,15.000033,-25.915728,0.8297534,25.331026,27.131367,20.79593,-23.808641,64.91951,4.7467213,-0.6651829,2.0311706,-134.87657,-64.57859,98.91532,96.29948,62.75005,0.74564254,-21.6026
30,12.747514724731445,2.183749198913574,79.11917877197266,8.388629218724706,16.24252726334345,64.54586721807469,-17.975212,34.323196,29.152107,54.53461,-17.782625,-13.984533,-36.119698,-9.896927,17.433609,51.019455,-18.561476,15.000033,-25.434582,0.6801063,26.669994,28.713375,21.679813,-22.371065,62.404526,5.3173404,-0.90019137,3.022751,-123.67804,-68.753136,89.58762,94.22366,62.669422,0.1369835,-22.910545
31,12.140564918518066,2.081761598587036,78.17796325683594,7.886483531231126,16.449448529635887,65.82437864333231,-19.818872,34.896095,28.503582,56.755184,-18.81255,-13.947565,-37.9689,-10.267392,16.57615,54.464935,-20.57733,15.000033,-24.776545,0.59661835,27.98571,29.896904,22.564754,-22.10925,60.29205,6.0354314,0.019384446,4.3059907,-108.9933,-72.74024,76.78737,90.206665,58.393948,1.1306175,-25.42933
32,11.428715705871582,1.8498340845108032,77.46292114257812,7.774942785772432,16.708779489919817,67.29019232624395,-21.940907,35.130894,27.625456,59.0414,-19.701582,-13.04624,-39.402958,-11.997541,14.94343,56.416214,-22.015635,14.858637,-23.26899,0.9371402,28.821272,32.05931,23.470953,-22.003433,56.600025,8.63288,0.3364423,5.601092,-92.57593,-76.34317,61.907288,84.12112,56.07392,0.41230592,-28.728945
33,10.632766723632812,1.482130527496338,76.8379898071289,8.14158712733245,15.983606017677506,70.2684832794191,-24.4748,34.05713,25.340277,60.884212,-21.192654,-12.245178,-39.943764,-13.983584,13.859873,59.249687,-23.346472,14.766269,-20.75729,2.1151223,29.793802,33.770363,24.353067,-21.553461,52.840218,8.115642,0.0052071526,6.476358,-75.05781,-79.17381,46.51055,77.50417,56.131493,0.6116029,-27.695026
34,9.76677131652832,1.0151586532592773,76.13279724121094,8.198771875605877,15.325036459791178,73.02632357402295,-27.19877,33.57515,23.353807,63.263584,-21.768978,-11.663472,-40.512115,-16.665966,11.745077,61.753307,-24.581867,14.40508,-18.022762,4.49761,29.793802,35.087322,25.006124,-22.624578,49.107185,7.567065,0.39460304,7.655326,-54.82187,-80.30761,29.471695,69.75783,53.338234,1.1908067,-27.90982
35,8.869895935058594,0.4576822817325592,75.4564437866211,8.260968558087324,14.283141466800894,75.74549478061246,-29.597704,32.799232,21.438133,65.597946,-22.48705,-11.213183,-40.499107,-20.384848,8.771316,63.913258,-26.024754,13.949278,-14.712512,7.4482937,29.793802,37.15122,25.21321,-24.069098,43.43176,7.276856,-0.4566566,9.236414,-35.243763,-79.22703,13.619904,62.5137,50.80704,0.57759243,-27.140074
36,7.97792911529541,-0.16077180206775665,74.7005844116211,8.338519150337433,12.781319261137934,79.14155680269145,-31.417486,32.441708,20.433352,67.709724,-23.220125,-10.396989,-39.82412,-23.80658,6.395129,66.543945,-27.837233,13.84009,-12.256037,10.142819,29.793802,39.23466,25.356344,-26.208582,37.59691,7.75226,-0.7326681,10.624817,-18.921188,-75.9951,2.0163734,53.5725,46.619293,0.128495,-27.083021
37,7.125632286071777,-0.8093380331993103,74.30036163330078,8.214537736896059,10.798918529601817,82.46359726198929,-32.812775,31.272009,18.785677,68.927956,-22.96766,-10.12006,-37.602604,-27.575022,3.102497,67.7117,-29.100712,13.857749,-10.049292,12.611696,29.793802,41.530155,25.217415,-28.473627,31.033232,6.874082,-1.5064927,11.839193,-7.1529884,-71.01378,-4.4019985,45.072662,44.74149,-0.53414273,-25.932783
