Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.1491268426179886,0.013931331224739552,77.04408264160156,3.412352063130096,-3.2253880944404116,112.06595517185785,-26.926111,-14.315694,-30.639343,49.24224,-9.925693,-15.000033,39.501415,-12.019349,-58.911663,23.167559,-21.68066,12.162048,31.420927,0.28931051,5.2302966,21.839382,24.007479,-37.022865,38.54506,-5.6899323,-7.896949,6.0577645,-107.59085,-14.182043,49.57593,68.65018,30.20831,5.616593,-2.0853581
1,0.1901950240135193,0.009372261352837086,77.07386779785156,3.4554570394033974,-3.530902841222046,112.55030041856918,-26.642694,-14.739939,-31.10609,49.27053,-10.139228,-15.000033,39.800182,-11.992807,-59.265194,23.557598,-21.90583,12.124567,31.401707,0.30838928,5.4178715,21.59061,23.884932,-36.59432,38.961933,-5.3026304,-7.3414583,5.541403,-107.85897,-13.999169,49.592766,70.05619,30.319786,5.241949,-1.9777368
2,0.23434583842754364,0.0256637055426836,77.03662872314453,3.4166852519350823,-3.4185210009578384,112.44910405736245,-26.90119,-14.5267515,-30.8669,49.481777,-10.181512,-15.000033,39.749435,-11.9315405,-59.346638,23.467861,-21.814804,12.102576,31.403862,0.29075897,5.398209,21.438786,23.813957,-36.671997,39.40877,-5.4513383,-7.542683,5.257318,-108.076645,-13.801015,49.498215,70.156845,30.309484,5.1728578,-1.7950078
3,0.2826014757156372,0.055938970297575,77.04534149169922,3.3947190669973164,-3.4644617120558716,112.43187111841819,-26.893126,-14.511685,-30.925476,49.638615,-10.164062,-15.000033,39.787212,-11.907123,-59.38119,23.547926,-21.884336,12.081429,31.362919,0.24210608,5.4452353,21.3745,23.72989,-36.594585,39.947758,-5.5494595,-7.373348,4.8208933,-108.16271,-13.626015,49.61605,70.41391,30.009613,5.1353693,-1.4545727
4,0.33543315529823303,0.11506222933530807,77.0959701538086,3.9727401581948887,-3.2971563875491245,112.3264671147174,-26.641783,-14.7048435,-30.624043,48.63028,-9.780802,-15.000033,39.84341,-12.393889,-59.844715,23.2411,-22.173712,12.375609,31.341671,-0.06998143,5.5362062,20.79259,23.641869,-37.18781,41.419785,-6.834382,-7.140366,3.9186215,-107.91277,-13.383747,49.841377,69.738594,29.684387,5.715934,-1.1681975
5,0.36923208832740784,0.1804831624031067,77.06366729736328,3.9469689495923386,-3.297350738539978,112.46899934826347,-26.752008,-14.847719,-30.777409,48.98638,-9.767486,-15.000033,39.905083,-12.237656,-59.89751,23.217512,-22.226221,12.335096,31.333532,0.004445019,5.5459523,20.717796,23.595278,-36.996822,41.66361,-6.9891586,-7.112908,3.8394089,-108.11453,-13.221253,49.79276,69.94063,30.074364,5.5713954,-1.257569
6,0.3911226987838745,0.2588566839694977,77.05406951904297,3.9196363995927492,-3.331790013190486,112.61498195304206,-26.827904,-14.864739,-30.78085,49.2649,-9.887995,-15.000033,39.925682,-12.035657,-59.69434,23.15153,-22.074762,12.316877,31.363424,0.056838028,5.5413756,20.944202,23.58409,-36.416817,41.557617,-7.103149,-7.2922564,3.7271166,-108.19589,-13.100398,49.604702,70.126434,30.212223,5.4795356,-1.3934267
7,0.3898463547229767,0.34458014369010925,76.93860626220703,3.5637931900438344,-3.3442926866825267,112.84667551936836,-27.237854,-14.897813,-31.057777,50.395706,-10.094288,-15.000033,39.88301,-11.609954,-59.39718,23.42938,-21.825344,12.053725,31.451569,0.32208002,5.5010633,21.638857,23.638514,-35.32862,40.557487,-6.016892,-7.61535,4.545379,-108.736336,-13.067671,49.191067,70.71121,30.845694,4.9297967,-1.5089396
8,0.3859313428401947,0.4544558823108673,76.91708374023438,4.094540478811325,-3.0426577175928915,112.78808336435277,-27.183252,-15.145401,-30.780737,49.64015,-10.109689,-15.000033,39.77249,-12.041493,-59.57391,23.183258,-22.127546,12.278687,31.391407,-0.032084554,5.579503,21.415516,23.649637,-35.634693,41.68322,-7.147876,-7.325033,3.8888407,-108.64681,-12.982019,49.089657,69.64335,30.155823,5.4618483,-1.3208894
9,0.3635452389717102,0.5582161545753479,76.84832763671875,4.118568949705674,-2.999626645024442,113.17310081936449,-27.402363,-15.357785,-30.815357,50.004498,-10.2815895,-15.000033,39.789776,-11.838128,-59.503307,23.197287,-22.214146,12.210437,31.336456,-0.040374108,5.6262474,21.492064,23.620548,-35.286297,41.958527,-6.8589864,-6.9749584,4.041487,-108.93785,-12.952189,49.15999,69.87322,30.031363,5.305017,-1.1804705
