Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.14507058,-0.09480350,78.22340559,2.53054315,-1.50871303,101.78449548,4.79967160,16.87050000,18.95699300,5.90141340,5.39011050,-11.17697700,16.57333000,-25.41620300,-37.34986000,4.72690000,3.86121300,15.00003300,0.28048164,4.75936840,6.83941300,4.40618230,20.37591700,-35.37212000,65.23856000,-4.15865330,1.67063710,9.60964200,44.21460700,-43.17059000,35.77028000,-26.07392100,19.67463900,-30.30526700,-8.79618600
1,0.13914864,-0.06915436,78.22901151,2.52690405,-1.43211462,101.90284888,4.74166970,16.87267700,18.96541400,5.88455100,5.41844100,-11.18387700,16.46971900,-25.43215200,-37.23448600,4.89192900,3.75776530,15.00003300,0.29321912,4.81361250,6.79884860,4.41502140,20.38773500,-35.36092000,65.07178500,-4.34689860,1.67577460,9.58596500,44.34734300,-43.34926600,35.87545400,-26.11211400,19.79093200,-30.08722700,-9.06176400
2,0.13250180,-0.04053517,78.24072674,2.48962681,-1.40966984,102.02550572,4.70875170,16.88559500,18.87662300,5.87542500,5.42554600,-11.20632700,16.52871700,-25.35101500,-37.21473000,4.79981570,3.79723020,15.00003300,0.25497925,4.86794800,6.79278700,4.47128870,20.40586700,-35.29631400,64.89865000,-4.45366400,1.67074000,9.49650300,44.51683000,-43.58741000,35.96578000,-26.18734600,19.98110600,-29.90764800,-9.21391700
3,0.12560937,-0.01041988,78.25150120,2.45671058,-1.41177732,102.12892045,4.69366100,16.89261600,18.78296900,5.86911440,5.43195250,-11.22881200,16.52294700,-25.33947400,-37.18405000,4.90230270,3.73815940,15.00003300,0.25165436,4.89477870,6.78733000,4.50176300,20.41798400,-35.25257000,64.78133000,-4.51487060,1.65552340,9.39400700,44.67780300,-43.72692500,36.01168400,-26.20928400,20.09888500,-29.72583600,-9.26530300
4,0.11933612,0.02129822,78.25533702,2.45041027,-1.42685868,102.20835274,4.69596340,16.88911800,18.72953200,5.86716800,5.44591760,-11.24231100,16.51727300,-25.36106000,-37.17231400,5.02732200,3.66405500,15.00003300,0.22287760,4.89921600,6.78953360,4.57726140,20.43582000,-35.17200500,64.64782000,-4.56197600,1.63569310,9.33001200,44.83739000,-43.89244000,36.03568300,-26.28797500,20.10734600,-29.50380300,-9.29616900
5,0.11485937,0.05552168,78.23894992,2.49831050,-1.42577744,102.25343213,4.69902900,16.85291300,18.66742900,5.86784270,5.43657300,-11.24627900,16.65277900,-25.32524700,-37.26431000,4.81299640,3.77968530,15.00003300,0.23019812,4.87413640,6.79707900,4.62975840,20.44772100,-35.08503300,64.57028000,-4.64736180,1.60585090,9.33765900,44.98568300,-43.99408300,36.05388000,-26.38130400,20.43084000,-29.12319000,-9.30285100
6,0.10991026,0.08907212,78.22559730,2.51475936,-1.36293386,102.29105075,4.66439400,16.83995200,18.64147800,5.86474560,5.38417430,-11.25961100,16.60932400,-25.36019500,-37.28537800,4.89608500,3.69966580,15.00003300,0.13262837,4.83708430,6.76441800,4.72730500,20.47095900,-35.01325200,64.50175500,-4.74064870,1.57746470,9.35588400,45.15695000,-44.09467700,35.93972800,-26.50823200,21.25431400,-28.61359600,-8.91985200
7,0.10569254,0.12202480,78.21901219,2.51664359,-1.32453824,102.34617955,4.64165350,16.83854500,18.62564800,5.86516500,5.34473560,-11.25718600,16.59845700,-25.37266300,-37.30637400,4.94730100,3.63707970,15.00003300,0.07813526,4.82786000,6.74386550,4.79808470,20.49860200,-34.97853500,64.41982000,-4.78499270,1.55600820,9.34969600,45.33553300,-44.18372700,35.84929000,-26.61086000,21.85248400,-28.24630500,-8.62640400
8,0.10239348,0.15404168,78.21895860,2.51397762,-1.31987557,102.41834478,4.63849540,16.84044000,18.61768500,5.86524000,5.33502500,-11.23687300,16.62742600,-25.37324000,-37.33778400,4.97041230,3.59819670,15.00003300,0.06503543,4.84115550,6.74357130,4.84821500,20.52841000,-34.95199200,64.32052600,-4.77599500,1.54435770,9.31471800,45.47992300,-44.27844000,35.84976200,-26.66642600,22.10591900,-28.06585500,-8.54746150
9,0.10008820,0.18487470,78.22084692,2.51138552,-1.30089251,102.48970571,4.62868600,16.84557200,18.62296900,5.86538200,5.33704600,-11.22169500,16.69625500,-25.35352700,-37.42696400,4.89927050,3.59233140,15.00003300,0.03243011,4.83648400,6.74005170,4.87283560,20.54146200,-34.94254000,64.28033000,-4.77108860,1.54650500,9.27322400,45.57958000,-44.31368000,35.85278000,-26.65636600,22.37664600,-27.88720000,-8.53564200
