Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.19481596,0.03611819,78.00877041,2.63332358,-2.66292226,102.33038529,-0.95316190,12.84359100,-2.11171340,5.76488000,5.95984300,-10.81056900,1.73954670,-23.67582100,1.11254610,5.87787630,3.73477580,15.00003300,-0.17571872,4.46320200,7.88665250,4.30257750,20.56365800,-35.55993000,65.32207000,-4.16432100,1.67358330,9.58444600,44.10070000,-42.56743200,35.90452200,-25.75742100,19.53847900,-30.27054600,-8.75141600
1,0.18890488,0.06223315,78.01771273,2.62261343,-2.59419154,102.45237489,-1.00672400,12.85287000,-2.10708120,5.75710960,5.98235800,-10.82041200,1.75476400,-23.66419200,1.12307470,5.87870800,3.71691600,15.00003300,-0.19045782,4.53283000,7.86428900,4.34122850,20.59159500,-35.52529500,65.11364000,-4.35491300,1.67888830,9.55616400,44.26754000,-42.82048400,35.99070400,-25.86211800,19.66966200,-30.05542200,-9.02168300
2,0.18179257,0.09031571,78.03080165,2.58598559,-2.56225498,102.56689819,-1.01906140,12.87915900,-2.11560870,5.74898860,5.98664570,-10.84501400,1.78057110,-23.63839100,1.13636100,5.87964960,3.71224430,15.00003300,-0.20030889,4.58593600,7.84650040,4.38159230,20.61501900,-35.47858000,64.94967000,-4.46238400,1.67350770,9.46107700,44.44074000,-43.03141000,36.06574000,-25.91833100,19.86287100,-29.87681600,-9.15986500
3,0.17468925,0.12005590,78.04172975,2.55286084,-2.56098944,102.67174077,-1.01041380,12.90074100,-2.13343070,5.74687860,5.98920900,-10.86946900,1.80721010,-23.62148000,1.14859310,5.90169800,3.69764300,15.00003300,-0.22254446,4.61638160,7.84461600,4.44696600,20.63659500,-35.41410000,64.78990000,-4.52176240,1.66265640,9.36375700,44.62184000,-43.21124300,36.11068000,-25.98800500,19.97737700,-29.68963800,-9.22316900
4,0.16821860,0.15167406,78.04546262,2.54514916,-2.57541697,102.75211828,-0.99327314,12.90730400,-2.14539670,5.74532750,6.00215600,-10.88413000,1.84363450,-23.62510900,1.15784490,5.90186700,3.68977860,15.00003300,-0.28908494,4.63026950,7.85730200,4.56676600,20.67024600,-35.29399500,64.60546000,-4.56928100,1.64325210,9.29629400,44.81499000,-43.47867000,36.12508000,-26.14768200,20.00167000,-29.47225400,-9.26695000
5,0.16314608,0.18526495,78.03099402,2.59674492,-2.56883547,102.79174555,-0.97650260,12.87945800,-2.15381260,5.74514770,5.99353200,-10.88827400,1.86058890,-23.66846700,1.16740320,5.87715800,3.70725320,15.00003300,-0.30749932,4.61035160,7.86874060,4.65768240,20.69406300,-35.17265300,64.48366000,-4.65401460,1.61424900,9.30132000,44.99768000,-43.67014700,36.13072200,-26.31631900,20.33827800,-29.09418300,-9.28462600
6,0.15838760,0.21900630,78.02098547,2.61229710,-2.50997552,102.83063000,-0.99642510,12.87980300,-2.14419050,5.74633260,5.93753340,-10.90414700,1.83605680,-23.68981600,1.16650630,5.87798740,3.66936300,15.00003300,-0.42605287,4.58072200,7.84728500,4.78397000,20.72712100,-35.07916300,64.37883000,-4.74730600,1.58691180,9.31756700,45.20898400,-43.84083000,35.99528000,-26.51154000,21.17178200,-28.58487100,-8.90727600
7,0.15429367,0.25196072,78.01639299,2.61312583,-2.47203944,102.88517021,-1.01297620,12.88571800,-2.14092280,5.74726720,5.89739940,-10.90329400,1.83201240,-23.70157200,1.16683660,5.87543060,3.63570620,15.00003300,-0.49254674,4.56863400,7.82313780,4.84527800,20.75022000,-35.04084400,64.32267000,-4.80005360,1.55857130,9.30780300,45.34863700,-43.94249300,35.93884000,-26.58401100,21.77821500,-28.23073600,-8.62715100
8,0.15088931,0.28373390,78.01670372,2.60940693,-2.46616625,102.95711618,-1.01944000,12.88796500,-2.15049650,5.74790400,5.88846350,-10.88317800,1.85230980,-23.71226500,1.16944890,5.87266800,3.61082200,15.00003300,-0.50408580,4.58763460,7.82541900,4.90309900,20.77636500,-35.00808300,64.20911400,-4.78253400,1.55075220,9.27594600,45.52347600,-44.04523500,35.91601000,-26.67107800,22.02785500,-28.04154200,-8.54125200
9,0.14826341,0.31428194,78.01980974,2.60570940,-2.44586497,103.02796900,-1.03740480,12.88954450,-2.16111870,5.74754800,5.89181380,-10.86755900,1.86848900,-23.72760000,1.15928340,5.84628500,3.58130200,15.00003300,-0.53909415,4.58743050,7.82389700,4.94532600,20.79168700,-34.99214600,64.14364000,-4.77486040,1.55719020,9.23747500,45.65057400,-44.09647800,35.90378000,-26.69619400,22.29583700,-27.85710500,-8.52973700
10,0.14750402,0.34222269,78.03689580,2.58026431,-2.40679011,103.08124469,-1.07143530,12.89826400,-2.18385460,5.74757240,5.91416400,-10.82357200,1.83987220,-23.72791900,1.16170500,5.86630960,3.53992100,15.00003300,-0.53228104,4.59358450,7.81851300,4.97064500,20.81453900,-35.00853700,64.07536000,-4.58791100,1.57672700,9.15555000,45.74601700,-44.16755000,35.94878000,-26.64898700,22.19579300,-27.98547200,-8.80732700
11,0.14828035,0.36858436,78.03227257,2.57375346,-2.37775072,103.15935446,-1.09917900,12.90432700,-2.18556500,5.74993300,5.87138030,-10.79987600,1.82999750,-23.74136000,1.15428380,5.86160900,3.50237540,15.00003300,-0.57052860,4.57956840,7.80629440,4.99344730,20.84938000,-35.01802000,64.02726000,-4.55126200,1.58982520,9.13910700,45.85697000,-44.25596000,35.96809800,-26.68301000,22.53238700,-27.80820500,-8.67002300
12,0.15104134,0.39306456,78.01544631,2.58333046,-2.37346927,103.25673599,-1.11261480,12.90410400,-2.17442060,5.75365800,5.80958700,-10.79095500,1.83296820,-23.76640700,1.14726690,5.85756060,3.45582900,15.00003300,-0.59938040,4.55796530,7.78774550,4.98341660,20.87727200,-34.99844400,64.01049000,-4.61190700,1.59616410,9.12523100,45.98249000,-44.31311000,35.94602000,-26.74884200,23.25272200,-27.43482000,-8.26815200
13,0.15614997,0.41573775,78.00783843,2.59370873,-2.42112904,103.36873116,-1.09718610,12.89387500,-2.18284920,5.75870800,5.81157000,-10.77861100,1.87494230,-23.79500800,1.13342880,5.85883800,3.39767000,15.00003300,-0.57879597,4.55274600,7.77891730,4.97881460,20.90021300,-34.90824000,63.93925500,-4.65134530,1.61543230,9.02029600,46.13117600,-44.35662500,35.91872000,-26.82587600,24.10310400,-27.15487300,-8.00851700
14,0.16241342,0.43801028,78.00397384,2.58210906,-2.41591523,103.41360890,-1.11110690,12.90493700,-2.18544980,5.76134630,5.77777620,-10.75237600,1.87335840,-23.80240200,1.11248090,5.85130260,3.37192490,15.00003300,-0.58456767,4.55626150,7.79358240,5.02049640,20.92700800,-34.84108000,63.86135000,-4.61109100,1.61788450,8.94498000,46.24696700,-44.40059700,35.90015400,-26.87321000,24.19920200,-27.08550600,-7.93592200
15,0.16970612,0.46015495,78.00559388,2.59335806,-2.38195095,103.42058679,-1.13036230,12.89889300,-2.19752430,5.76338770,5.78544040,-10.74071300,1.84779600,-23.82506000,1.08404830,5.84835500,3.32396720,15.00003300,-0.58031416,4.53959900,7.80130430,5.04641500,20.94337800,-34.80233400,63.83710000,-4.67311200,1.62411820,8.90300600,46.33029000,-44.42308400,35.90083700,-26.89426800,24.29370100,-26.94772500,-7.91576700
16,0.17678234,0.48178974,78.00401477,2.61176391,-2.32393797,103.39744947,-1.16463950,12.89420000,-2.19816160,5.76351100,5.78556160,-10.72687500,1.80166960,-23.84531200,1.07742690,5.84371950,3.30626060,15.00003300,-0.58024305,4.52469730,7.81435780,5.07219800,20.95901100,-34.79411700,63.83420600,-4.69899200,1.62399160,8.92757100,46.37703700,-44.44193600,35.91604600,-26.91631000,24.33535400,-26.86784700,-7.96296800
17,0.18299368,0.50227523,77.99454934,2.62764461,-2.26023386,103.36479380,-1.20940240,12.89733300,-2.18461820,5.76383300,5.74948100,-10.70259900,1.73907830,-23.85661000,1.10330320,5.86806060,3.32327580,15.00003300,-0.58999634,4.51932500,7.83527950,5.08545000,20.97316700,-34.82855200,63.86041000,-4.63295130,1.60759170,9.01851200,46.38880000,-44.45830000,35.95147300,-26.93785300,24.28133200,-26.91638800,-8.07968900
