Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.64009857,-0.05286736,61.55085266,-16.17271155,-1.43200319,100.80490228,-1.29111580,-30.00006700,29.63705600,12.15294200,0.60330470,-7.50919500,18.35382000,-72.71813000,-42.56973300,4.84815900,5.44726700,15.00003300,1.09144040,24.53634500,6.52284200,4.06697800,18.66218400,-35.43033200,65.79030000,-4.12862250,1.66144570,9.83147100,45.77772000,-45.10715000,34.15252000,-27.48563000,19.98364800,-30.33103800,-8.73725800
1,0.63429981,-0.02511952,61.55486923,-16.17977081,-1.36668926,100.92384752,-1.32075860,-30.00006700,29.63457700,12.12673300,0.63068736,-7.51406400,18.38205700,-72.68380000,-42.56155000,4.83565000,5.43868900,15.00003300,1.11149530,24.58836400,6.48172000,4.06514100,18.66677900,-35.42822300,65.64187000,-4.31648830,1.66603260,9.81159100,45.88787500,-45.24860000,34.27203400,-27.48541500,20.08948100,-30.11191600,-9.00423100
2,0.62720323,0.00456554,61.54321655,-16.20952190,-1.34460153,101.03652314,-1.34053930,-30.00006700,29.58294100,12.10760200,0.64472795,-7.52830840,18.41527200,-72.65068000,-42.55951300,4.84213200,5.42992970,15.00003300,1.09568880,24.62930500,6.47489300,4.09917600,18.67761000,-35.37819300,65.49792000,-4.42157840,1.65909810,9.72186100,46.03223000,-45.43595000,34.36971000,-27.50824400,20.27393000,-29.93311500,-9.14964700
3,0.62006503,0.03579089,61.53016624,-16.23743873,-1.35149882,101.13637952,-1.34847010,-30.00006700,29.52719000,12.09846300,0.65445730,-7.54342100,18.46405600,-72.62652600,-42.57840300,4.85355330,5.42138620,15.00003300,1.11519910,24.64524800,6.46092650,4.11084000,18.68500300,-35.35373000,65.40286000,-4.48213500,1.64381100,9.62082300,46.17745000,-45.52147700,34.41899500,-27.48726800,20.38289500,-29.74891500,-9.19445400
4,0.61362493,0.06826259,61.52773458,-16.24309503,-1.37075273,101.21533101,-1.34863270,-30.00006700,29.49861000,12.10403300,0.66282547,-7.55287100,18.51706700,-72.62031000,-42.61304000,4.87391950,5.40559100,15.00003300,1.09587930,24.64362300,6.46954300,4.17053500,18.70048900,-35.28746800,65.28766000,-4.52970930,1.62311410,9.55751600,46.31494500,-45.64206300,34.45120600,-27.52289400,20.38443000,-29.52712000,-9.22180800
5,0.60801977,0.10214806,61.54935149,-16.20470799,-1.36405406,101.24215867,-1.37270890,-30.00006700,29.48250600,12.14625400,0.63574750,-7.55625500,18.55006800,-72.62880000,-42.66094600,4.88879200,5.40120550,15.00003300,1.15488530,24.62272300,6.44249900,4.19174240,18.70630600,-35.23762500,65.24483000,-4.62202170,1.59240280,9.56661100,46.44776000,-45.68551600,34.47081000,-27.56230500,20.69964600,-29.14682000,-9.22156800
6,0.60324085,0.13667609,61.55752840,-16.19669418,-1.30744195,101.27437823,-1.39602710,-30.00006700,29.45799300,12.15167300,0.59336686,-7.56712440,18.59088500,-72.62446600,-42.73940700,4.89343700,5.37072100,15.00003300,1.05767600,24.58697500,6.44658100,4.27730560,18.72241800,-35.17059300,65.19326000,-4.71217000,1.56325090,9.58770500,46.57881000,-45.73237000,34.38031800,-27.63658300,21.51412400,-28.63648600,-8.83954100
7,0.59924310,0.17051721,61.55927396,-16.19728100,-1.27266940,101.32393746,-1.40898100,-30.00006700,29.44355400,12.14878300,0.56568600,-7.56615000,18.64092600,-72.61860000,-42.81211000,4.89471770,5.34477700,15.00003300,1.01508390,24.56619500,6.43110660,4.30573940,18.72661000,-35.15945000,65.17683000,-4.76309970,1.53970850,9.58839500,46.66856800,-45.74066000,34.36771400,-27.63017800,22.08369300,-28.27980200,-8.57333850
8,0.59581089,0.20320234,61.55858406,-16.19986619,-1.26836439,101.39861584,-1.40716660,-30.00006700,29.43509500,12.14977200,0.55838716,-7.55097440,18.73343800,-72.61512000,-42.91268500,4.89632600,5.32761570,15.00003300,1.01526390,24.58203000,6.43417930,4.35633000,18.76158000,-35.13539000,65.06544000,-4.74161000,1.52880700,9.55016700,46.84624500,-45.80795700,34.31534000,-27.69472500,22.34751700,-28.08532000,-8.45795000
9,0.59361488,0.23456837,61.56040898,-16.20030952,-1.24596717,101.46428142,-1.41070430,-30.00006700,29.43917300,12.14583000,0.56163484,-7.54004240,18.82080500,-72.62084000,-43.04129000,4.90172600,5.29726900,15.00003300,0.99320006,24.57406800,6.43432140,4.37427600,18.77252400,-35.13201500,65.03097000,-4.73562240,1.53184590,9.51077650,46.94185600,-45.82582500,34.31671000,-27.67325200,22.61357700,-27.90391000,-8.44412600
