Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
1,0.138370,-0.066456,78.228268,2.518822,-1.481011,101.880942,4.771554,16.870181,18.902476,5.892448,5.400474,-11.195035,16.562065,-25.400083,-37.303191,4.775503,3.828801,15.000033,0.264010,4.790878,6.825006,4.451990,20.389742,-35.318961,65.095265,-4.278283,1.658129,9.557880,44.368263,-43.347508,35.826691,-26.138906,19.836982,-30.068720,-8.902689
2,0.131863,-0.035891,78.232442,2.507864,-1.453850,101.980018,4.744164,16.869727,18.848251,5.884324,5.407402,-11.209970,16.557758,-25.385069,-37.270587,4.820074,3.794347,15.000033,0.245465,4.818215,6.810633,4.499880,20.405532,-35.265541,64.953533,-4.385999,1.645979,9.503838,44.529420,-43.521564,35.877758,-26.204292,20.037307,-29.818320,-8.987727
3,0.125598,-0.004998,78.235273,2.499640,-1.428921,102.073101,4.719668,16.867988,18.795969,5.877405,5.410574,-11.222877,16.559245,-25.372445,-37.249343,4.857755,3.761974,15.000033,0.224104,4.839420,6.797457,4.550323,20.421947,-35.211809,64.820711,-4.481990,1.632572,9.453925,44.689642,-43.684560,35.916675,-26.271151,20.264520,-29.559202,-9.040390
4,0.119737,0.026285,78.236387,2.494847,-1.405843,102.158979,4.698272,16.864891,18.747766,5.871970,5.408830,-11.232579,16.567420,-25.362996,-37.242903,4.886952,3.731396,15.000033,0.199355,4.853101,6.785357,4.603172,20.439299,-35.158925,64.699512,-4.562896,1.618166,9.409668,44.848136,-43.832636,35.940483,-26.339060,20.529377,-29.289996,-9.052240
5,0.114445,0.057864,78.235844,2.493174,-1.383821,102.237976,4.679536,16.860977,18.705752,5.868067,5.401831,-11.238017,16.582047,-25.356808,-37.252761,4.907638,3.701521,15.000033,0.171435,4.859401,6.773970,4.657110,20.457804,-35.108945,64.591206,-4.626486,1.603688,9.371137,45.003695,-43.963545,35.949199,-26.406181,20.835782,-29.014109,-9.022328
6,0.109889,0.089512,78.234089,2.493470,-1.362428,102.311650,4.662869,16.857221,18.671393,5.865596,5.390173,-11.238400,16.602506,-25.353361,-37.279004,4.921008,3.670940,15.000033,0.141554,4.859658,6.763055,4.709858,20.477506,-35.064179,64.495837,-4.671239,1.590510,9.336693,45.154714,-44.076536,35.945802,-26.469383,21.177853,-28.739742,-8.957205
7,0.106235,0.120917,78.231702,2.494415,-1.341853,102.382024,4.647847,16.854570,18.645224,5.864393,5.375116,-11.233356,16.628558,-25.351766,-37.321176,4.928167,3.638837,15.000033,0.111750,4.855638,6.752662,4.758717,20.498237,-35.026325,64.412753,-4.696694,1.580061,9.303760,45.299349,-44.171983,35.935300,-26.525180,21.542220,-28.477016,-8.868512
8,0.103644,0.151749,78.229095,2.495122,-1.322524,102.450737,4.634176,16.853587,18.626887,5.864280,5.357909,-11.223078,16.660208,-25.351168,-37.378643,4.929670,3.605217,15.000033,0.084162,4.848801,6.742985,4.801339,20.519682,-34.995805,64.341115,-4.704278,1.573411,9.270029,45.435998,-44.251001,35.922823,-26.571151,21.915205,-28.233611,-8.767790
9,0.102261,0.181707,78.226370,2.495348,-1.304720,102.518528,4.621589,16.854355,18.615400,5.865089,5.339261,-11.208384,16.697024,-25.351148,-37.450287,4.926186,3.570446,15.000033,0.060356,4.840045,6.734184,4.836405,20.541523,-34.971577,64.280006,-4.697843,1.570946,9.234288,45.563875,-44.315283,35.911895,-26.607067,22.288466,-28.011946,-8.661830
10,0.102182,0.210558,78.223365,2.495414,-1.288469,102.585089,4.609884,16.856568,18.609539,5.866670,5.319399,-11.190582,16.737883,-25.351742,-37.534109,4.918747,3.535068,15.000033,0.041154,4.829896,6.726431,4.863871,20.563523,-34.951354,64.228321,-4.683358,1.572264,9.196599,45.683130,-44.366927,35.903931,-26.634945,22.658605,-27.809633,-8.552152
11,0.103437,0.238156,78.219881,2.495915,-1.273459,102.649053,4.598947,16.859737,18.608217,5.868867,5.298618,-11.171166,16.781032,-25.353174,-37.627089,4.908398,3.499990,15.000033,0.026834,4.818826,6.720071,4.884833,20.585446,-34.932255,64.184754,-4.667331,1.576353,9.157992,45.794335,-44.408062,35.898844,-26.657822,23.021428,-27.622967,-8.438968
12,0.105966,0.264436,78.215911,2.497325,-1.258761,102.708115,4.588625,16.863438,18.610744,5.871479,5.277698,-11.151466,16.823978,-25.355613,-37.725206,4.896145,3.466524,15.000033,0.017318,4.807421,6.715650,4.901190,20.607010,-34.911791,64.147947,-4.654598,1.581944,9.120162,45.897753,-44.440566,35.896128,-26.678116,23.365507,-27.451051,-8.325869
13,0.109610,0.289384,78.211675,2.499766,-1.242786,102.759608,4.578570,16.867463,18.616815,5.874234,5.257715,-11.132483,16.863609,-25.359055,-37.823771,4.883091,3.436212,15.000033,0.012116,4.796326,6.713745,4.915117,20.627979,-34.888718,64.116754,-4.647388,1.587820,9.085483,45.992946,-44.466096,35.895700,-26.696807,23.671818,-27.296774,-8.220184
14,0.114126,0.312991,78.207468,2.503036,-1.223902,102.801634,4.568299,16.871803,18.626134,5.876826,5.239564,-11.114968,16.897061,-25.363232,-37.918110,4.870293,3.410620,15.000033,0.010333,4.786104,6.714673,4.928309,20.648225,-34.863106,64.090459,-4.646086,1.593045,9.056794,46.079028,-44.486157,35.898059,-26.713673,23.921166,-27.164194,-8.128824
15,0.119225,0.335202,78.203544,2.506641,-1.201420,102.834134,4.557447,16.876583,18.637941,5.879005,5.223723,-11.099531,16.922795,-25.367521,-38.004313,4.858600,3.391051,15.000033,0.010974,4.777240,6.718330,4.941418,20.667705,-34.835580,64.068530,-4.650203,1.597114,9.036415,46.155325,-44.502035,35.903938,-26.727874,24.102309,-27.055840,-8.054235
16,0.124621,0.355876,78.200118,2.509798,-1.176122,102.859156,4.545946,16.882037,18.650811,5.880642,5.210320,-11.086644,16.941046,-25.370985,-38.079811,4.848658,3.378197,15.000033,0.013289,4.770195,6.724260,4.954076,20.686470,-34.806339,64.050015,-4.658892,1.600028,9.024943,46.221894,-44.514769,35.913898,-26.738391,24.214361,-26.971805,-7.993364
17,0.130087,0.374782,78.197392,2.511555,-1.149954,102.880141,4.533991,16.888445,18.662901,5.881740,5.199355,-11.076591,16.953455,-25.372571,-38.143598,4.840898,3.371931,15.000033,0.016864,4.765327,6.731868,4.965341,20.704718,-34.774759,64.033191,-4.671318,1.602256,9.020919,46.279468,-44.525195,35.928171,-26.744287,24.264774,-26.909879,-7.939280
18,0.135492,0.391617,78.195514,2.511137,-1.125216,102.900699,4.521899,16.895995,18.672594,5.882395,5.190835,-11.069399,16.962252,-25.371450,-38.195981,4.835455,3.371408,15.000033,0.021520,4.762728,6.740675,4.974108,20.722788,-34.739877,64.015871,-4.686748,1.604570,9.021696,46.328863,-44.533983,35.946812,-26.744933,24.266205,-26.866165,-7.884419
19,0.140827,0.406059,78.194519,2.508296,-1.103801,102.923490,4.509968,16.904629,18.678937,5.882753,5.184831,-11.064824,16.969468,-25.367334,-38.238173,4.832164,3.375307,15.000033,0.027228,4.762112,6.750459,4.979383,20.741109,-34.701227,63.995971,-4.704571,1.607778,9.024717,46.370413,-44.541657,35.969991,-26.740201,24.232932,-26.835747,-7.824122
20,0.146199,0.417817,78.194340,2.503413,-1.086856,102.949713,4.498386,16.913919,18.681455,5.882977,5.181603,-11.062448,16.976557,-25.360597,-38.272135,4.830621,3.381997,15.000033,0.034124,4.762856,6.761171,4.980524,20.760135,-34.659353,63.971850,-4.724632,1.612417,9.028136,46.403923,-44.548609,35.998113,-26.730551,24.177840,-26.813149,-7.758642
21,0.151810,0.426675,78.194850,2.497313,-1.074852,102.979278,4.487261,16.923195,18.680034,5.883236,5.181570,-11.061765,16.984439,-25.352136,-38.300466,4.830308,3.389759,15.000033,0.042478,4.764176,6.772711,4.977319,20.780246,-34.615799,63.942497,-4.747225,1.618434,9.030817,46.429040,-44.555084,36.031559,-26.717040,24.111556,-26.793086,-7.692564
22,0.157909,0.432538,78.195808,2.491032,-1.067881,103.011447,4.476741,16.931810,18.675206,5.883677,5.184922,-11.062214,16.993749,-25.343101,-38.326089,4.830737,3.397095,15.000033,0.052549,4.765321,6.784776,4.969736,20.801598,-34.572657,63.907868,-4.772567,1.625090,9.032191,46.445886,-44.561129,36.070159,-26.701440,24.043193,-26.771269,-7.632215
23,0.164744,0.435464,78.196785,2.485682,-1.065934,103.045624,4.467081,16.939298,18.668222,5.884400,5.191224,-11.063221,17.005144,-25.334641,-38.351837,4.831520,3.402909,15.000033,0.064402,4.765682,6.796912,4.957559,20.824046,-34.531861,63.869046,-4.800547,1.631315,9.032026,46.455661,-44.566570,36.112847,-26.686261,23.981202,-26.744560,-7.582752
24,0.172514,0.435678,78.197215,2.482253,-1.068955,103.081886,4.458518,16.945440,18.660668,5.885445,5.199369,-11.064182,17.019400,-25.327635,-38.380138,4.832353,3.406544,15.000033,0.077726,4.764856,6.808726,4.940320,20.847222,-34.494639,63.827850,-4.830950,1.636232,9.030111,46.460681,-44.571063,36.157769,-26.674235,23.933260,-26.710687,-7.546661
25,0.181336,0.433575,78.196589,2.481298,-1.076648,103.121007,4.451073,16.950319,18.654032,5.886811,5.207879,-11.064412,17.037234,-25.322489,-38.412871,4.832984,3.407763,15.000033,0.091785,4.762703,6.820098,4.917590,20.870705,-34.461310,63.786111,-4.863566,1.639359,9.026047,46.463876,-44.574197,36.202667,-26.667502,23.905089,-26.668169,-7.523994
26,0.191222,0.429700,78.194591,2.482857,-1.088343,103.164094,4.444494,16.954281,18.649447,5.888478,5.215275,-11.063212,17.059087,-25.319136,-38.451296,4.833229,3.406737,15.000033,0.105600,4.759394,6.831279,4.889262,20.894138,-34.431408,63.745205,-4.898084,1.640582,9.019199,46.468326,-44.575559,36.245287,-26.667205,23.899502,-26.616584,-7.513206
27,0.202077,0.424724,78.191102,2.486648,-1.103004,103.212024,4.438363,16.957743,18.647598,5.890398,5.220400,-11.060047,17.084958,-25.317257,-38.495901,4.833020,3.404039,15.000033,0.118316,4.755359,6.842843,4.855644,20.917253,-34.404094,63.706040,-4.934270,1.640127,9.008708,46.476860,-44.574778,36.283803,-26.673571,23.916410,-26.556712,-7.511815
28,0.213716,0.419401,78.186197,2.492276,-1.119173,103.264856,4.432169,16.961033,18.648676,5.892486,5.222629,-11.054673,17.114203,-25.316454,-38.546211,4.832333,3.400474,15.000033,0.129509,4.751139,6.855418,4.817498,20.939864,-34.378595,63.669287,-4.972547,1.638497,8.993650,46.491510,-44.571574,36.317242,-26.686001,23.952854,-26.490066,-7.517047
29,0.225884,0.414511,78.180140,2.499275,-1.134926,103.321545,4.425291,16.964329,18.652326,5.894629,5.221903,-11.047198,17.145411,-25.316276,-38.600743,4.831058,3.396772,15.000033,0.139314,4.747167,6.869360,4.776054,20.961881,-34.354413,63.635539,-5.014470,1.636389,8.973408,46.513092,-44.565779,36.345733,-26.703056,24.002476,-26.418268,-7.526652
30,0.238291,0.410792,78.173335,2.507183,-1.148090,103.380041,4.417087,16.967647,18.657761,5.896706,5.218652,-11.038063,17.176569,-25.316284,-38.657193,4.828977,3.393341,15.000033,0.148407,4.743632,6.884587,4.733006,20.983357,-34.331279,63.605218,-5.062550,1.634541,8.948056,46.541119,-44.557349,36.370527,-26.722561,24.055411,-26.343016,-7.539781
