Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,0.152920,-0.096183,78.279217,2.533548,-1.483595,101.764541,5.032425,16.826286,19.185076,5.908342,5.494765,-11.248899,16.121422,-25.584187,-36.625404,5.017158,3.917192,15.000033,0.375034,4.716017,6.793097,4.325780,20.371809,-35.446095,65.330250,-4.159702,1.670048,9.613406,44.084280,-42.918870,35.838013,-25.848063,19.636970,-30.300844,-8.772711
1.000000,0.145883,-0.062043,78.285870,2.516598,-1.395192,101.929633,4.919762,16.843937,19.181168,5.875980,5.553572,-11.267271,16.189410,-25.420713,-36.509700,4.752852,4.013284,15.000033,0.391076,4.794709,6.750212,4.330384,20.388647,-35.441685,65.116380,-4.403335,1.678153,9.584477,44.247130,-43.114506,35.977318,-25.875128,19.779604,-30.013315,-9.113931
2.000000,0.135311,-0.024164,78.298164,2.448914,-1.381893,102.082108,4.859085,16.869880,18.921917,5.854778,5.554485,-11.327744,16.173610,-25.351500,-36.420807,4.936885,3.911485,15.000033,0.379349,4.857005,6.736048,4.371484,20.408926,-35.385525,64.942640,-4.500279,1.664176,9.427662,44.464360,-43.337715,36.075350,-25.904175,20.059998,-29.799030,-9.220201
3.000000,0.126725,0.017591,78.308818,2.423802,-1.416427,102.202125,4.874080,16.878360,18.793308,5.852593,5.588145,-11.361699,16.348652,-25.263378,-36.471077,4.813728,3.951190,15.000033,0.333264,4.874227,6.748625,4.459461,20.430650,-35.292545,64.774670,-4.557386,1.638783,9.333859,44.660168,-43.535160,36.111313,-25.978567,20.024208,-29.533476,-9.259239
4.000000,0.119594,0.061356,78.299504,2.484003,-1.405636,102.255070,4.867625,16.787241,18.677818,5.850172,5.570311,-11.366957,16.345272,-25.388824,-36.536700,4.989821,3.871832,15.000033,0.336823,4.847575,6.752744,4.541528,20.449448,-35.165028,64.658940,-4.667547,1.599987,9.342852,44.858730,-43.698210,36.135487,-26.120995,20.449333,-29.039944,-9.273027
5.000000,0.112916,0.105340,78.272218,2.483762,-1.311504,102.310415,4.778628,16.782408,18.626703,5.847720,5.429479,-11.403593,16.364937,-25.357191,-36.639545,4.874618,3.826770,15.000033,0.171055,4.806982,6.703423,4.678437,20.480776,-35.083990,64.577126,-4.792342,1.564015,9.371634,45.092426,-43.821503,35.941640,-26.296303,21.679117,-28.330551,-8.650054
6.000000,0.107716,0.147380,78.268111,2.483847,-1.310855,102.404955,4.775230,16.784145,18.602638,5.847515,5.402718,-11.356852,16.410986,-25.366304,-36.679012,4.963275,3.730889,15.000033,0.168813,4.828685,6.703459,4.732505,20.512989,-35.053400,64.451850,-4.778000,1.542549,9.328337,45.294590,-43.949398,35.934270,-26.378376,22.003149,-28.094490,-8.520430
7.000000,0.103518,0.187589,78.267014,2.486009,-1.286685,102.499065,4.748593,16.793170,18.617770,5.849126,5.406519,-11.323158,16.488470,-25.371965,-36.840720,4.962657,3.638927,15.000033,0.108218,4.825596,6.707688,4.805281,20.545662,-35.020370,64.343970,-4.771371,1.549870,9.274078,45.474327,-44.058760,35.911263,-26.442734,22.361887,-27.858915,-8.508994
8.000000,0.101843,0.224573,78.283229,2.459825,-1.248106,102.572000,4.710181,16.831028,18.617992,5.848266,5.455756,-11.221968,16.537125,-25.337616,-36.995903,4.950745,3.575895,15.000033,0.132321,4.827051,6.724659,4.803937,20.555614,-35.043682,64.280950,-4.477936,1.575850,9.163285,45.565388,-44.089146,35.951817,-26.317022,22.180037,-28.055416,-8.870931
9.000000,0.102853,0.257957,78.240249,2.467284,-1.219718,102.701339,4.658269,16.840420,18.629473,5.851638,5.265492,-11.204345,16.638666,-25.360943,-37.269478,4.958731,3.469682,15.000033,0.060872,4.788443,6.681899,4.793950,20.592186,-35.087914,64.294400,-4.593668,1.583290,9.204531,45.721676,-44.165610,35.970398,-26.401176,23.022306,-27.529974,-8.314281
10.000000,0.108896,0.287889,78.233163,2.487306,-1.290202,102.849865,4.682156,16.823814,18.550701,5.869315,5.264693,-11.178654,16.893750,-25.346914,-37.547325,4.855169,3.398530,15.000033,0.076213,4.775944,6.681634,4.798465,20.625183,-34.957714,64.190200,-4.638673,1.607639,9.065791,45.906235,-44.228115,35.939323,-26.499771,24.132890,-27.166746,-7.973547
11.000000,0.116414,0.316705,78.216581,2.478685,-1.281440,102.904311,4.675340,16.862528,18.606268,5.877046,5.188328,-11.122847,16.966875,-25.349476,-37.783340,4.865752,3.328032,15.000033,0.084581,4.771073,6.687690,4.821243,20.646555,-34.898605,64.135720,-4.597884,1.607334,8.971395,46.037155,-44.261665,35.933403,-26.523733,24.247314,-27.084072,-7.888933
12.000000,0.125793,0.345026,78.221226,2.512666,-1.209611,102.881576,4.621209,16.832110,18.589386,5.880144,5.243395,-11.110029,16.945944,-25.404587,-37.994640,4.848459,3.218634,15.000033,0.088752,4.732366,6.695930,4.880344,20.678652,-34.828600,64.087060,-4.723980,1.620433,8.932567,46.132460,-44.303185,35.938488,-26.564087,24.374947,-26.860529,-7.886874
13.000000,0.133388,0.372865,78.194931,2.529967,-1.129461,102.845760,4.599077,16.869000,18.806410,5.878226,5.149324,-11.051981,16.878080,-25.432081,-38.020622,4.849095,3.292747,15.000033,0.056381,4.724924,6.727290,4.907645,20.714262,-34.899780,64.115280,-4.632735,1.597928,9.066003,46.135468,-44.347263,36.006780,-26.599789,24.326920,-26.955952,-8.067921
