Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,-0.000810,-0.030796,79.426024,0.703097,-2.553984,99.684201,7.375381,16.125940,31.169200,6.366871,2.869353,-6.013192,17.135900,-18.938524,-54.450424,5.412434,-0.592697,11.629194,1.364495,-1.792367,6.532748,2.025002,21.558306,-35.161896,63.604828,-10.846285,-0.344862,9.053041,21.956596,-31.291998,36.632214,-32.702072,14.857037,-20.970247,-4.616013
1.000000,-0.014018,0.021412,79.399360,0.635340,-2.502040,99.844286,7.334388,16.187277,31.137096,6.317539,2.721826,-6.135235,17.250751,-18.815817,-54.746696,5.309679,-0.634762,11.607640,1.348820,-1.794619,6.321760,2.041930,21.572945,-35.273453,63.628284,-10.790886,-0.296470,9.045631,22.188503,-31.366266,36.630756,-32.688324,15.054150,-20.567696,-3.976010
2.000000,-0.029765,0.083802,79.394307,0.598715,-2.477023,100.005685,7.297113,16.194805,30.962414,6.295172,2.664967,-6.179175,17.404080,-18.703964,-54.971798,5.155118,-0.628570,11.618776,1.451382,-1.800479,6.180857,2.034906,21.584223,-35.359295,63.564510,-10.735089,-0.287733,8.980474,22.433975,-31.433403,36.735165,-32.627964,15.021100,-20.463568,-3.995205
3.000000,-0.048862,0.150559,79.382014,0.587366,-2.415921,100.179971,7.231177,16.186129,30.854836,6.278871,2.593714,-6.213683,17.529753,-18.637178,-55.242855,5.028763,-0.661754,11.707887,1.507801,-1.813031,6.066454,2.050643,21.586964,-35.400860,63.492863,-10.583324,-0.300048,8.770677,22.661386,-31.456377,36.798412,-32.605923,15.224025,-20.390974,-3.840884
4.000000,-0.071313,0.217656,79.381681,0.570414,-2.345051,100.282502,7.169017,16.178965,30.747482,6.272464,2.544631,-6.190878,17.584614,-18.619453,-55.458160,5.014983,-0.741315,11.710585,1.561218,-1.841727,5.963081,2.118263,21.600426,-35.462906,63.402046,-10.479226,-0.320648,8.681157,22.952877,-31.568504,36.881798,-32.646122,15.272135,-20.321787,-3.898497
5.000000,-0.095023,0.279200,79.384221,0.571176,-2.302120,100.370666,7.132706,16.146370,30.616714,6.269389,2.525749,-6.193627,17.677270,-18.610832,-55.682938,4.960927,-0.758416,11.711977,1.641636,-1.852301,5.899234,2.163764,21.607210,-35.454390,63.311623,-10.415051,-0.308789,8.570889,23.217148,-31.669619,36.932440,-32.702156,15.185016,-20.326980,-4.023669
6.000000,-0.119367,0.332646,79.392357,0.554179,-2.223624,100.411867,7.061240,16.123266,30.459100,6.261973,2.512873,-6.205996,17.749805,-18.541853,-55.950400,4.781862,-0.787385,11.759979,1.719510,-1.883913,5.798377,2.222768,21.611668,-35.440594,63.237270,-10.268793,-0.281841,8.423514,23.405762,-31.759312,36.987514,-32.682230,15.226816,-20.314910,-3.983741
7.000000,-0.141518,0.378335,79.436317,0.553229,-2.336240,100.506505,7.167093,16.093285,30.314287,6.277605,2.661894,-6.050430,17.973442,-18.541517,-56.096718,4.766573,-0.743782,11.657192,1.882794,-1.896746,5.835752,2.212540,21.609428,-35.399950,63.126175,-10.042834,-0.293940,8.193278,23.582354,-31.819149,37.056760,-32.564304,14.953590,-20.984762,-4.274074
8.000000,-0.162184,0.418348,79.431386,0.555427,-2.265229,100.533946,7.124493,16.077236,30.317373,6.267987,2.611389,-6.026432,17.958809,-18.580610,-56.251480,4.809626,-0.788609,11.712605,1.840872,-1.933615,5.755723,2.280055,21.620562,-35.532776,63.073044,-10.045875,-0.328548,8.131412,23.682327,-31.962774,37.179356,-32.582740,15.306217,-21.170480,-4.141020
9.000000,-0.177645,0.456085,79.445431,0.601581,-2.316685,100.608044,7.168397,16.006655,30.219309,6.288151,2.679130,-5.960969,18.123290,-18.577090,-56.317425,4.669414,-0.652566,11.619966,1.888686,-1.930567,5.765622,2.313945,21.621761,-35.504700,62.970190,-10.007685,-0.353023,8.010772,23.878908,-32.045784,37.173160,-32.686348,15.372204,-21.296820,-3.996924
