Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,-0.277168,1.353754,77.613808,0.154846,-2.557441,63.708131,-1.796118,16.925846,5.944677,20.003250,-6.447970,-11.529004,25.874352,-18.853770,-45.014790,-1.864058,0.558122,15.000033,4.475850,2.660569,5.655184,6.132451,17.568024,-38.504253,63.769005,-13.610394,-0.599139,4.678985,36.051170,-43.326572,26.998589,-47.896835,15.882774,-11.007684,4.155393
1.000000,-0.280406,1.363376,77.605567,0.228050,-2.543746,63.707609,-1.793445,16.833117,5.964238,19.992600,-6.448651,-11.512998,25.906855,-18.954370,-45.211285,-1.877321,0.516630,15.000033,4.493172,2.611175,5.612488,6.171638,17.568290,-38.486927,63.731310,-13.745973,-0.786128,4.703986,36.064915,-43.330044,27.012535,-47.967930,16.028788,-10.969091,3.976186
2.000000,-0.291511,1.373587,77.602408,0.233549,-2.589221,63.757880,-1.757662,16.817987,5.968846,19.999357,-6.482585,-11.455626,25.985464,-18.970598,-45.287410,-1.863190,0.526878,15.000033,4.482892,2.586941,5.625331,6.156429,17.569094,-38.491405,63.729595,-13.781377,-0.845135,4.713955,36.042202,-43.337025,27.027824,-47.920155,15.778793,-11.006527,3.989856
3.000000,-0.306720,1.382691,77.590785,0.221739,-2.625678,63.829850,-1.712666,16.801281,5.933909,19.937872,-6.570968,-11.423341,26.051310,-18.957096,-45.312840,-1.856514,0.592731,15.000033,4.444894,2.553112,5.596321,6.167373,17.568200,-38.463710,63.723892,-13.856495,-0.877495,4.730677,36.003430,-43.345490,27.010092,-47.838203,15.327748,-10.867341,4.174987
4.000000,-0.324851,1.391462,77.641110,0.065054,-2.594238,63.763609,-1.793427,16.954979,5.840189,20.059359,-6.511659,-11.325726,25.934633,-18.789083,-45.039745,-1.863179,0.664218,15.000033,4.404499,2.563090,5.630296,6.137810,17.572630,-38.663400,63.767920,-13.672869,-0.851607,4.692903,35.847652,-43.373035,27.056725,-47.571064,14.770143,-11.601323,4.111528
5.000000,-0.337123,1.394315,77.625417,0.144832,-2.688400,63.907533,-1.774453,16.846903,5.804336,20.125664,-6.537712,-11.239464,26.095018,-18.849636,-45.058384,-1.862793,0.628160,15.000033,4.489789,2.529948,5.650168,6.032771,17.573063,-38.694466,63.755707,-13.793135,-0.785961,4.659963,35.850437,-43.382355,27.085910,-47.573364,14.758498,-11.607066,4.084866
6.000000,-0.345899,1.396663,77.642912,0.088546,-2.698857,63.822444,-1.766464,16.924028,5.836636,20.199402,-6.528095,-11.193131,26.033407,-18.800558,-44.814970,-1.859764,0.632865,15.000033,4.487561,2.547604,5.616153,6.005929,17.569590,-38.850372,63.875175,-13.927255,-0.743002,4.739674,35.635690,-43.437800,27.209400,-47.451115,14.166329,-11.759567,4.024485
7.000000,-0.345645,1.392712,77.633368,0.116277,-2.678536,63.843867,-1.799922,16.942528,5.962290,20.233213,-6.534654,-11.154575,26.026293,-18.810450,-44.833664,-1.887412,0.708335,15.000033,4.431904,2.530187,5.552640,6.015792,17.563957,-38.870342,63.953750,-13.875579,-0.854331,4.756166,35.510033,-43.458030,27.200418,-47.503770,14.263750,-11.908472,4.062451
8.000000,-0.338175,1.386534,77.613981,0.240636,-2.662405,63.944697,-1.808322,16.791752,5.965990,20.144484,-6.509794,-11.129353,26.106956,-18.953499,-45.225880,-1.873290,0.668067,15.000033,4.343256,2.475922,5.535795,6.027567,17.552645,-38.835503,64.030630,-14.131128,-1.040657,4.781951,35.571060,-43.457848,27.160973,-47.706383,14.594971,-11.867103,3.578325
9.000000,-0.328010,1.376858,77.616084,0.203019,-2.711159,63.949695,-1.754044,16.881918,6.053569,20.147902,-6.495678,-11.130151,26.141924,-18.896387,-45.184902,-1.862751,0.719017,15.000033,4.170471,2.503791,5.552022,6.080457,17.547066,-38.862366,64.076480,-14.205169,-1.042354,4.866887,35.437958,-43.449875,27.101920,-47.711185,14.729089,-12.022872,3.747314
