Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.374062,1.865319,79.268305,2.976372,-0.132728,101.761156,5.035628,16.829080,19.180998,5.908560,-2.671208,-13.582611,16.184890,-25.541428,-36.654232,4.881702,-4.124011,15.000035,0.352509,4.726421,6.803145,4.347287,20.375760,-35.426580,65.305360,-4.159506,1.670228,9.612072,44.114834,-42.980927,35.823368,-25.903793,19.646380,-30.302010,-8.778873
1,0.318354,1.874057,79.298882,2.928267,-0.051366,101.923500,4.919160,16.843391,19.181816,5.876027,-2.580597,-13.600954,16.181490,-25.426153,-36.506096,4.769379,-4.162280,15.000035,0.355771,4.804778,6.757356,4.368686,20.395180,-35.406986,65.077440,-4.404728,1.678296,9.583492,44.283215,-43.216846,35.969566,-25.956663,19.793450,-30.017372,-9.130746
2,0.298809,1.906080,79.314759,2.856396,-0.042888,102.076528,4.858319,16.870060,18.921820,5.856559,-2.593321,-13.605432,16.172884,-25.352057,-36.420387,4.938770,-4.350005,15.000035,0.350809,4.867708,6.744228,4.402796,20.413462,-35.355396,64.908520,-4.499319,1.664287,9.426118,44.503650,-43.426144,36.058410,-25.980442,20.072935,-29.801085,-9.230085
3,0.288281,1.932222,79.317788,2.831751,-0.086958,102.194700,4.873034,16.876614,18.795520,5.851296,-2.604227,-13.616652,16.319775,-25.283073,-36.457990,4.875139,-4.389547,15.000035,0.326291,4.879117,6.749900,4.468541,20.429530,-35.283936,64.764000,-4.557556,1.638631,9.333255,44.685955,-43.574215,36.095650,-26.017176,20.030506,-29.533610,-9.261318
4,0.294042,1.942064,79.295183,2.895474,-0.103417,102.248298,4.866809,16.787693,18.678745,5.850439,-2.656725,-13.640988,16.343649,-25.388706,-36.535454,4.989815,-4.476408,15.000035,0.334600,4.851495,6.752145,4.541738,20.446655,-35.163500,64.660030,-4.668997,1.598879,9.341604,44.874516,-43.720640,36.125580,-26.141430,20.454548,-29.041395,-9.273818
5,0.300807,1.948285,79.279045,2.903154,-0.033548,102.300817,4.774951,16.779467,18.631979,5.846939,-2.699252,-13.667839,16.288837,-25.407785,-36.605053,5.035729,-4.542456,15.000035,0.172150,4.805903,6.697444,4.677773,20.475647,-35.081993,64.581894,-4.792829,1.563462,9.372558,45.094032,-43.831450,35.943540,-26.301590,21.680208,-28.331318,-8.653173
6,0.289291,1.959168,79.278317,2.891422,-0.063147,102.401977,4.776645,16.786266,18.599630,5.849340,-2.702199,-13.690762,16.453531,-25.337467,-36.698230,4.872251,-4.513412,15.000035,0.166143,4.831644,6.705316,4.728985,20.506620,-35.053493,64.458620,-4.776622,1.542302,9.329605,45.295880,-43.949310,35.933746,-26.378382,22.002160,-28.093916,-8.520674
7,0.288451,1.948553,79.271226,2.891791,-0.073145,102.493984,4.748474,16.793386,18.617567,5.849728,-2.695414,-13.727291,16.490816,-25.370312,-36.841770,4.957529,-4.590249,15.000035,0.108340,4.825781,6.706255,4.798286,20.539210,-35.022648,64.355670,-4.772022,1.548793,9.274896,45.469640,-44.056526,35.915455,-26.436740,22.361757,-27.859816,-8.510549
8,0.295823,1.938802,79.267783,2.866313,-0.068544,102.567432,4.709062,16.830938,18.617636,5.848187,-2.691161,-13.761174,16.535833,-25.338010,-36.996033,4.952251,-4.615129,15.000035,0.128287,4.822637,6.710455,4.809962,20.555061,-35.055622,64.288150,-4.492752,1.577082,9.165163,45.573110,-44.103230,35.982727,-26.328444,22.165482,-28.067984,-8.905984
9,0.308282,1.924513,79.250066,2.875714,-0.080044,102.698583,4.660048,16.841793,18.626760,5.851908,-2.697012,-13.795547,16.682540,-25.331142,-37.289253,4.863884,-4.588821,15.000035,0.051367,4.790641,6.685379,4.801922,20.594547,-35.082320,64.286750,-4.595056,1.583400,9.204605,45.725533,-44.183560,35.972298,-26.413673,23.024555,-27.531525,-8.318742
