Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
1,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
2,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
3,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
4,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
5,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
6,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
7,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
8,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
9,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
10,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
11,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
12,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
13,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
14,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
15,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
16,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
17,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
18,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
19,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
20,0.144972,-0.096885,78.223400,2.531213,-1.509751,101.778389,4.800733,16.869892,18.957224,5.901249,5.391566,-11.179177,16.569769,-25.416277,-37.341809,4.726993,3.864740,15.000033,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
