Frame,left_hand_thumb_0_joint_dof,left_hand_thumb_1_joint_dof,left_hand_thumb_2_joint_dof,left_hand_middle_0_joint_dof,left_hand_middle_1_joint_dof,left_hand_index_0_joint_dof,left_hand_index_1_joint_dof,right_hand_thumb_0_joint_dof,right_hand_thumb_1_joint_dof,right_hand_thumb_2_joint_dof,right_hand_index_0_joint_dof,right_hand_index_1_joint_dof,right_hand_middle_0_joint_dof,right_hand_middle_1_joint_dof,hand_openness
0,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
1,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
2,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
3,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
4,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
5,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
6,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
7,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
8,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
9,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
10,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
11,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
12,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
13,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
14,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
15,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
16,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
