Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.781241,-13.284475,78.931397,1.729902,-11.149151,101.867045,4.800733,16.869892,18.957224,5.901249,1.391566,-11.679177,16.569769,-25.416277,-37.341809,4.726993,-0.135260,15.000035,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
1,1.790919,-13.246783,78.928840,1.722144,-11.121537,101.976541,4.773577,16.872434,18.929503,5.899413,1.372017,-11.668485,16.607993,-25.411911,-37.424998,4.737556,-0.183306,15.000035,0.255670,4.760394,6.830497,4.461057,20.408162,-35.310425,65.122494,-4.214771,1.663116,9.556317,44.413233,-43.300623,35.786207,-26.139683,20.099180,-29.978931,-8.710930
2,1.796399,-13.208789,78.926237,1.714440,-11.093910,102.086022,4.746421,16.874977,18.901783,5.897577,1.352467,-11.657794,16.646217,-25.407545,-37.508186,4.748120,-0.231352,15.000035,0.230405,4.760646,6.820805,4.516415,20.442110,-35.248862,65.003090,-4.265697,1.656799,9.498631,44.619929,-43.433703,35.803537,-26.204989,20.548800,-29.643065,-8.621750
3,1.801392,-13.170742,78.923587,1.706790,-11.066268,102.195490,4.719265,16.877519,18.874063,5.895740,1.332918,-11.647103,16.684442,-25.403180,-37.591375,4.758682,-0.279398,15.000035,0.205141,4.760897,6.811114,4.571772,20.476058,-35.187301,64.883686,-4.316623,1.650482,9.440947,44.826624,-43.566781,35.820865,-26.270296,20.998418,-29.307200,-8.532570
4,1.806305,-13.132670,78.920890,1.699196,-11.038611,102.304943,4.692110,16.880061,18.846343,5.893904,1.313369,-11.636412,16.722666,-25.398814,-37.674563,4.769246,-0.327444,15.000035,0.179876,4.761150,6.801422,4.627131,20.510006,-35.125739,64.764283,-4.367549,1.644165,9.383261,45.033319,-43.699860,35.838195,-26.335601,21.448038,-28.971335,-8.443390
5,1.811129,-13.094569,78.918143,1.691655,-11.010940,102.414383,4.664954,16.882603,18.818622,5.892068,1.293819,-11.625720,16.760891,-25.394449,-37.757752,4.779809,-0.375490,15.000035,0.154611,4.761401,6.791730,4.682488,20.543954,-35.064177,64.644878,-4.418475,1.637847,9.325576,45.240014,-43.832938,35.855524,-26.400907,21.897657,-28.635470,-8.354210
6,1.815871,-13.056445,78.915350,1.684170,-10.983256,102.523808,4.637797,16.885145,18.790901,5.890232,1.274270,-11.615028,16.799115,-25.390083,-37.840941,4.790372,-0.423536,15.000035,0.129347,4.761653,6.782038,4.737846,20.577901,-35.002616,64.525475,-4.469401,1.631531,9.267890,45.446709,-43.966017,35.872853,-26.466213,22.347276,-28.299604,-8.265030
7,1.820532,-13.018295,78.912509,1.676738,-10.955557,102.633220,4.610642,16.887687,18.763182,5.888396,1.254720,-11.604338,16.837339,-25.385717,-37.924129,4.800936,-0.471582,15.000035,0.104083,4.761905,6.772347,4.793204,20.611850,-34.941054,64.406071,-4.520327,1.625214,9.210205,45.653404,-44.099096,35.890182,-26.531519,22.796895,-27.963739,-8.175850
8,1.825112,-12.980119,78.909621,1.669361,-10.927844,102.742618,4.583486,16.890229,18.735461,5.886560,1.235171,-11.593646,16.875564,-25.381351,-38.007318,4.811498,-0.519629,15.000035,0.078818,4.762156,6.762655,4.848562,20.645797,-34.879493,64.286666,-4.571253,1.618896,9.152521,45.860099,-44.232174,35.907511,-26.596826,23.246514,-27.627873,-8.086670
9,1.829603,-12.941918,78.906684,1.662039,-10.900118,102.852001,4.556330,16.892772,18.707741,5.884723,1.215621,-11.582955,16.913788,-25.376985,-38.090506,4.822062,-0.567674,15.000035,0.053553,4.762409,6.752963,4.903919,20.679746,-34.817931,64.167263,-4.622179,1.612580,9.094835,46.066794,-44.365253,35.924841,-26.662132,23.696134,-27.292008,-7.997490
