Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.781241,-13.284475,78.931397,1.729902,-11.149151,101.867045,4.800733,16.869892,18.957224,5.901249,1.391566,-11.679177,16.569769,-25.416277,-37.341809,4.726993,-0.135260,15.000035,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
1,1.789830,-13.251823,78.929183,1.723175,-11.125220,101.961942,4.777197,16.872095,18.933200,5.899658,1.374623,-11.669911,16.602897,-25.412493,-37.413906,4.736148,-0.176900,15.000035,0.259039,4.760361,6.831789,4.453676,20.403635,-35.318633,65.138415,-4.207980,1.663959,9.564007,44.385674,-43.282879,35.783896,-26.130976,20.039230,-30.023713,-8.722820
2,1.795057,-13.218931,78.926937,1.716488,-11.101279,102.056828,4.753663,16.874299,18.909176,5.898066,1.357681,-11.660645,16.636025,-25.408710,-37.486002,4.745302,-0.218539,15.000035,0.237143,4.760578,6.823389,4.501653,20.433058,-35.265278,65.034931,-4.252117,1.658484,9.514014,44.564809,-43.398215,35.798915,-26.187574,20.428902,-29.732629,-8.645532
3,1.799403,-13.185964,78.924652,1.709843,-11.077326,102.151705,4.730127,16.876502,18.885151,5.896475,1.340737,-11.651380,16.669152,-25.404926,-37.558099,4.754457,-0.260180,15.000035,0.215247,4.760797,6.814990,4.549629,20.462479,-35.211925,64.931448,-4.296253,1.653009,9.464020,44.743946,-43.513550,35.813934,-26.244173,20.818571,-29.441546,-8.568242
4,1.803696,-13.152978,78.922335,1.703239,-11.053363,102.246569,4.706592,16.878705,18.861126,5.894883,1.323795,-11.642113,16.702281,-25.401142,-37.630196,4.763612,-0.301820,15.000035,0.193350,4.761015,6.806591,4.597606,20.491900,-35.158572,64.827964,-4.340389,1.647534,9.414027,44.923082,-43.628884,35.828952,-26.300772,21.208240,-29.150463,-8.490953
5,1.807918,-13.119971,78.919977,1.696676,-11.029389,102.341424,4.683057,16.880908,18.837103,5.893292,1.306852,-11.632848,16.735407,-25.397359,-37.702293,4.772767,-0.343460,15.000035,0.171455,4.761233,6.798191,4.645583,20.521322,-35.105219,64.724481,-4.384524,1.642059,9.364032,45.102217,-43.744219,35.843971,-26.357370,21.597911,-28.859379,-8.413664
6,1.812085,-13.086947,78.917588,1.690154,-11.005405,102.436269,4.659522,16.883111,18.813078,5.891701,1.289909,-11.623582,16.768535,-25.393576,-37.774390,4.781921,-0.385099,15.000035,0.149558,4.761452,6.789792,4.693559,20.550744,-35.051864,64.620997,-4.428660,1.636584,9.314039,45.281352,-43.859554,35.858989,-26.413969,21.987581,-28.568297,-8.336375
7,1.816182,-13.053901,78.915160,1.683672,-10.981410,102.531103,4.635987,16.885315,18.789054,5.890110,1.272966,-11.614316,16.801663,-25.389792,-37.846487,4.791076,-0.426739,15.000035,0.127663,4.761670,6.781392,4.741537,20.580165,-34.998511,64.517514,-4.472796,1.631110,9.264044,45.460489,-43.974888,35.874008,-26.470566,22.377251,-28.277213,-8.259084
8,1.820223,-13.020838,78.912700,1.677232,-10.957404,102.625927,4.612453,16.887518,18.765029,5.888518,1.256024,-11.605051,16.834790,-25.386008,-37.918583,4.800231,-0.468379,15.000035,0.105767,4.761888,6.772993,4.789513,20.609587,-34.945159,64.414031,-4.516932,1.625635,9.214051,45.639624,-44.090224,35.889028,-26.527165,22.766921,-27.986130,-8.181795
9,1.824197,-12.987755,78.910200,1.670832,-10.933387,102.720740,4.588917,16.889721,18.741005,5.886926,1.239081,-11.595784,16.867919,-25.382225,-37.990680,4.809386,-0.510019,15.000035,0.083871,4.762107,6.764593,4.837490,20.639008,-34.891805,64.310547,-4.561068,1.620160,9.164057,45.818760,-44.205559,35.904046,-26.583765,23.156590,-27.695046,-8.104506
10,1.828155,-12.954653,78.907668,1.664475,-10.909362,102.815542,4.565382,16.891925,18.716981,5.885335,1.222138,-11.586518,16.901046,-25.378440,-38.062777,4.818541,-0.551659,15.000035,0.061975,4.762325,6.756194,4.885467,20.668429,-34.838451,64.207065,-4.605204,1.614686,9.114064,45.997896,-44.320893,35.919064,-26.640363,23.546261,-27.403964,-8.027217
11,1.832525,-12.921551,78.905098,1.658153,-10.885342,102.910303,4.541855,16.894132,18.692980,5.883747,1.205210,-11.577255,16.934167,-25.374656,-38.134862,4.827684,-0.593259,15.000035,0.040116,4.762540,6.747820,4.933369,20.697854,-34.785104,64.103636,-4.649358,1.609220,9.064095,46.176899,-44.436115,35.934117,-26.696910,23.935540,-27.113083,-7.949999
12,1.836846,-12.892243,78.902730,1.651333,-10.864059,103.000126,4.519509,16.896976,18.672660,5.882668,1.190682,-11.568359,16.966184,-25.370747,-38.205120,4.834866,-0.628351,15.000035,0.024358,4.762262,6.743586,4.968965,20.727673,-34.732771,64.009124,-4.696417,1.605265,9.018319,46.334322,-44.532936,35.954762,-26.745044,24.261128,-26.855263,-7.884438
13,1.834714,-12.884454,78.901648,1.641477,-10.858248,103.062164,4.503827,16.903415,18.673094,5.884463,1.189676,-11.561537,16.991976,-25.366134,-38.265077,4.831001,-0.626774,15.000035,0.042979,4.759204,6.762678,4.935222,20.759721,-34.686147,63.964861,-4.759851,1.609830,8.996168,46.370139,-44.526070,36.006920,-26.745775,24.227816,-26.783740,-7.884564
14,1.833760,-12.876645,78.900557,1.631629,-10.852427,103.124200,4.488145,16.909853,18.673528,5.886258,1.188670,-11.554715,17.017769,-25.361522,-38.325034,4.827137,-0.625197,15.000035,0.061600,4.756147,6.781770,4.901480,20.791770,-34.639524,63.920597,-4.823286,1.614394,8.974016,46.405954,-44.519203,36.059078,-26.746507,24.194505,-26.712217,-7.884689
15,1.833065,-12.868826,78.899452,1.621787,-10.846595,103.186234,4.472463,16.916292,18.673962,5.888054,1.187664,-11.547892,17.043560,-25.356910,-38.384991,4.823272,-0.623622,15.000035,0.080221,4.753089,6.800862,4.867738,20.823818,-34.592901,63.876333,-4.886721,1.618959,8.951864,46.441771,-44.512336,36.111236,-26.747239,24.161195,-26.640694,-7.884815
