Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.786196,-13.284814,79.778376,1.729902,-11.149151,101.867045,-1.944425,16.869892,18.957224,5.901249,5.391566,-8.887346,15.743133,-25.416277,-37.341809,4.726993,3.864740,15.000035,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
1,1.797398,-13.263706,79.775790,1.725470,-11.133401,101.929507,-1.951396,16.871342,18.941411,5.900202,5.380414,-8.881247,15.752945,-25.413787,-37.389263,4.733019,3.837333,15.000035,0.266523,4.760286,6.834660,4.437277,20.393579,-35.336869,65.173785,-4.192895,1.665830,9.581096,44.324445,-43.243458,35.778763,-26.111630,19.906041,-30.123205,-8.749238
2,1.808600,-13.242597,79.773201,1.721055,-11.117646,101.991965,-1.958367,16.872792,18.925598,5.899154,5.369263,-8.875148,15.762757,-25.411296,-37.436717,4.739044,3.809925,15.000035,0.252111,4.760429,6.829132,4.468856,20.412944,-35.301752,65.105673,-4.221945,1.662226,9.548190,44.442352,-43.319371,35.788648,-26.148883,20.162521,-29.931615,-8.698367
3,1.819802,-13.221489,79.770611,1.716658,-11.101887,102.054418,-1.965338,16.874243,18.909786,5.898107,5.358111,-8.869050,15.772569,-25.408806,-37.484171,4.745070,3.782518,15.000035,0.237699,4.760573,6.823603,4.500434,20.432310,-35.266634,65.037560,-4.250996,1.658623,9.515284,44.560259,-43.395285,35.798534,-26.186136,20.419002,-29.740024,-8.647495
4,1.831004,-13.200381,79.768019,1.712279,-11.086123,102.116867,-1.972309,16.875693,18.893973,5.897059,5.346959,-8.862951,15.782381,-25.406315,-37.531625,4.751096,3.755111,15.000035,0.223287,4.760717,6.818075,4.532012,20.451675,-35.231517,64.969448,-4.280046,1.655019,9.482378,44.678166,-43.471198,35.808419,-26.223389,20.675482,-29.548434,-8.596623
5,1.842206,-13.179272,79.765424,1.707917,-11.070354,102.179311,-1.979280,16.877143,18.878160,5.896012,5.335807,-8.856852,15.792193,-25.403825,-37.579079,4.757121,3.727703,15.000035,0.208875,4.760860,6.812546,4.563590,20.471040,-35.196400,64.901335,-4.309096,1.651416,9.449473,44.796073,-43.547111,35.818304,-26.260643,20.931962,-29.356843,-8.545751
6,1.853409,-13.158164,79.762828,1.703574,-11.054581,102.241750,-1.986250,16.878593,18.862347,5.894964,5.324656,-8.850753,15.802005,-25.401335,-37.626533,4.763147,3.700296,15.000035,0.194463,4.761004,6.807018,4.595169,20.490405,-35.161283,64.833222,-4.338146,1.647812,9.416567,44.913980,-43.623024,35.828189,-26.297896,21.188442,-29.165252,-8.494880
7,1.864611,-13.137056,79.760229,1.699248,-11.038803,102.304185,-1.993221,16.880043,18.846535,5.893917,5.313504,-8.844655,15.811817,-25.398844,-37.673987,4.769173,3.672889,15.000035,0.180051,4.761148,6.801489,4.626747,20.509771,-35.126166,64.765110,-4.367196,1.644209,9.383661,45.031887,-43.698938,35.838075,-26.335149,21.444923,-28.973662,-8.444008
8,1.875813,-13.115947,79.757628,1.694940,-11.023020,102.366615,-2.000192,16.881493,18.830722,5.892869,5.302352,-8.838556,15.821629,-25.396354,-37.721441,4.775198,3.645481,15.000035,0.165639,4.761291,6.795961,4.658325,20.529136,-35.091049,64.696997,-4.396246,1.640605,9.350755,45.149794,-43.774851,35.847960,-26.372402,21.701403,-28.782071,-8.393136
9,1.887015,-13.094839,79.755026,1.690649,-11.007233,102.429041,-2.007163,16.882943,18.814909,5.891822,5.291200,-8.832457,15.831442,-25.393864,-37.768895,4.781224,3.618074,15.000035,0.151227,4.761435,6.790432,4.689903,20.548501,-35.055931,64.628884,-4.425296,1.637001,9.317849,45.267700,-43.850764,35.857845,-26.409655,21.957883,-28.590481,-8.342265
