Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.786196,-13.284814,76.824981,1.729902,-11.149151,101.867045,19.074737,16.869892,18.957224,47.939574,26.410729,-4.303683,36.762295,-25.416277,-37.341809,46.765318,24.883903,8.124539,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
1,1.797398,-13.263706,76.821814,1.725470,-11.133401,101.929507,19.066498,16.871342,18.941411,47.935989,26.398308,-4.297584,36.770839,-25.413787,-37.389263,46.768806,24.855227,8.124539,0.266523,4.760286,6.834660,4.437277,20.393579,-35.336869,65.173785,-4.192895,1.665830,9.581096,44.324445,-43.243458,35.778763,-26.111630,19.906041,-30.123205,-8.749238
2,1.808600,-13.242597,76.818880,1.721055,-11.117646,101.991965,19.058100,16.872792,18.925598,47.932088,26.385730,-4.291485,36.779224,-25.411296,-37.436717,46.771978,24.826392,8.124539,0.252111,4.760429,6.829132,4.468856,20.412944,-35.301752,65.105673,-4.221945,1.662226,9.548190,44.442352,-43.319371,35.788648,-26.148883,20.162521,-29.931615,-8.698367
3,1.819802,-13.221489,76.816176,1.716658,-11.101887,102.054418,19.049546,16.874243,18.909786,47.927873,26.372994,-4.285387,36.787452,-25.408806,-37.484171,46.774836,24.797401,8.124539,0.237699,4.760573,6.823603,4.500434,20.432310,-35.266634,65.037560,-4.250996,1.658623,9.515284,44.560259,-43.395285,35.798534,-26.186136,20.419002,-29.740024,-8.647495
4,1.831004,-13.200381,76.813700,1.712279,-11.086123,102.116867,19.040835,16.875693,18.893973,47.923345,26.360102,-4.279288,36.795524,-25.406315,-37.531625,46.777382,24.768254,8.124539,0.223287,4.760717,6.818075,4.532012,20.451675,-35.231517,64.969448,-4.280046,1.655019,9.482378,44.678166,-43.471198,35.808419,-26.223389,20.675482,-29.548434,-8.596623
5,1.842206,-13.179272,76.811456,1.707917,-11.070354,102.179311,19.031967,16.877143,18.878160,47.918504,26.347053,-4.273189,36.803439,-25.403825,-37.579079,46.779613,24.738949,8.124539,0.208875,4.760860,6.812546,4.563590,20.471040,-35.196400,64.901335,-4.309096,1.651416,9.449473,44.796073,-43.547111,35.818304,-26.260643,20.931962,-29.356843,-8.545751
6,1.853409,-13.158164,76.809438,1.703574,-11.054581,102.241750,19.022944,16.878593,18.862347,47.913353,26.333851,-4.267090,36.811200,-25.401335,-37.626533,46.781536,24.709491,8.124539,0.194463,4.761004,6.807018,4.595169,20.490405,-35.161283,64.833222,-4.338146,1.647812,9.416567,44.913980,-43.623024,35.828189,-26.297896,21.188442,-29.165252,-8.494880
7,1.864611,-13.137056,76.807649,1.699248,-11.038803,102.304185,19.013766,16.880043,18.846535,47.907890,26.320491,-4.260992,36.818804,-25.398844,-37.673987,46.783146,24.679876,8.124539,0.180051,4.761148,6.801489,4.626747,20.509771,-35.126166,64.765110,-4.367196,1.644209,9.383661,45.031887,-43.698938,35.838075,-26.335149,21.444923,-28.973662,-8.444008
8,1.875813,-13.115947,76.806087,1.694940,-11.023020,102.366615,19.004432,16.881493,18.830722,47.902117,26.306976,-4.254893,36.826254,-25.396354,-37.721441,46.784446,24.650105,8.124539,0.165639,4.761291,6.795961,4.658325,20.529136,-35.091049,64.696997,-4.396246,1.640605,9.350755,45.149794,-43.774851,35.847960,-26.372402,21.701403,-28.782071,-8.393136
9,1.887015,-13.094839,76.804510,1.690649,-11.007233,102.429041,18.995104,16.882943,18.814909,47.896355,26.293467,-4.248794,36.833708,-25.393864,-37.768895,46.785757,24.620341,8.124539,0.151227,4.761435,6.790432,4.689903,20.548501,-35.055931,64.628884,-4.425296,1.637001,9.317849,45.267700,-43.850764,35.857845,-26.409655,21.957883,-28.590481,-8.342265
