Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.786196,-13.284814,83.269658,1.729902,-11.149151,101.867045,0.508360,6.508926,18.957224,5.901249,5.391566,-4.303683,16.043728,-15.055311,-37.341809,4.726993,3.864740,8.124539,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
1,1.797398,-13.263706,83.265988,1.725470,-11.133401,101.929507,0.498290,6.511805,18.941411,5.900202,5.380414,-4.297584,16.057901,-15.054250,-37.389263,4.733019,3.837333,8.124539,0.266523,4.760286,6.834660,4.437277,20.393579,-35.336869,65.173785,-4.192895,1.665830,9.581096,44.324445,-43.243458,35.778763,-26.111630,19.906041,-30.123205,-8.749238
2,1.808600,-13.242597,83.262253,1.721055,-11.117646,101.991965,0.488221,6.514863,18.925598,5.899154,5.369263,-4.291485,16.072074,-15.053367,-37.436717,4.739044,3.809925,8.124539,0.252111,4.760429,6.829132,4.468856,20.412944,-35.301752,65.105673,-4.221945,1.662226,9.548190,44.442352,-43.319371,35.788648,-26.148883,20.162521,-29.931615,-8.698367
3,1.819802,-13.221489,83.258457,1.716658,-11.101887,102.054418,0.478153,6.518099,18.909786,5.898107,5.358111,-4.285387,16.086247,-15.052662,-37.484171,4.745070,3.782518,8.124539,0.237699,4.760573,6.823603,4.500434,20.432310,-35.266634,65.037560,-4.250996,1.658623,9.515284,44.560259,-43.395285,35.798534,-26.186136,20.419002,-29.740024,-8.647495
4,1.831004,-13.200381,83.254598,1.712279,-11.086123,102.116867,0.468084,6.521514,18.893973,5.897059,5.346959,-4.279288,16.100419,-15.052136,-37.531625,4.751096,3.755111,8.124539,0.223287,4.760717,6.818075,4.532012,20.451675,-35.231517,64.969448,-4.280046,1.655019,9.482378,44.678166,-43.471198,35.808419,-26.223389,20.675482,-29.548434,-8.596623
5,1.842206,-13.179272,83.250677,1.707917,-11.070354,102.179311,0.458015,6.525106,18.878160,5.896012,5.335807,-4.273189,16.114593,-15.051788,-37.579079,4.757121,3.727703,8.124539,0.208875,4.760860,6.812546,4.563590,20.471040,-35.196400,64.901335,-4.309096,1.651416,9.449473,44.796073,-43.547111,35.818304,-26.260643,20.931962,-29.356843,-8.545751
6,1.853409,-13.158164,83.246693,1.703574,-11.054581,102.241750,0.447945,6.528875,18.862347,5.894964,5.324656,-4.267090,16.128766,-15.051617,-37.626533,4.763147,3.700296,8.124539,0.194463,4.761004,6.807018,4.595169,20.490405,-35.161283,64.833222,-4.338146,1.647812,9.416567,44.913980,-43.623024,35.828189,-26.297896,21.188442,-29.165252,-8.494880
7,1.864611,-13.137056,83.242646,1.699248,-11.038803,102.304185,0.437877,6.532824,18.846535,5.893917,5.313504,-4.260992,16.142939,-15.051625,-37.673987,4.769173,3.672889,8.124539,0.180051,4.761148,6.801489,4.626747,20.509771,-35.126166,64.765110,-4.367196,1.644209,9.383661,45.031887,-43.698938,35.838075,-26.335149,21.444923,-28.973662,-8.444008
8,1.875813,-13.115947,83.238536,1.694940,-11.023020,102.366615,0.427808,6.536950,18.830722,5.892869,5.302352,-4.254893,16.157112,-15.051811,-37.721441,4.775198,3.645481,8.124539,0.165639,4.761291,6.795961,4.658325,20.529136,-35.091049,64.696997,-4.396246,1.640605,9.350755,45.149794,-43.774851,35.847960,-26.372402,21.701403,-28.782071,-8.393136
9,1.887015,-13.094839,83.234415,1.690649,-11.007233,102.429041,0.417739,6.541074,18.814909,5.891822,5.291200,-4.248794,16.171285,-15.051995,-37.768895,4.781224,3.618074,8.124539,0.151227,4.761435,6.790432,4.689903,20.548501,-35.055931,64.628884,-4.425296,1.637001,9.317849,45.267700,-43.850764,35.857845,-26.409655,21.957883,-28.590481,-8.342265
