Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,5.602320,-3.465625,84.388167,4.722386,14.307802,104.127923,-16.187948,-5.441271,18.824924,6.205364,-1.959113,-12.635935,-3.848629,-6.807252,-45.972324,9.060742,-3.720244,12.361475,0.344325,4.409226,11.601377,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
1,5.608038,-3.441081,84.379148,4.721776,14.322534,104.191028,-16.203439,-5.439821,18.809111,6.204317,-1.970265,-12.629836,-3.826825,-6.804762,-46.019778,9.066767,-3.747651,12.361475,0.332947,4.409205,11.598826,4.437277,20.393579,-35.336869,65.173785,-4.192895,1.665830,9.581096,44.324445,-43.243458,35.778763,-26.111630,19.906041,-30.123205,-8.749238
2,5.613755,-3.416536,84.370103,4.721182,14.337267,104.254137,-16.218929,-5.438371,18.793298,6.203269,-1.981417,-12.623737,-3.805020,-6.802271,-46.067232,9.072793,-3.775059,12.361475,0.321569,4.409184,11.596274,4.468856,20.412944,-35.301752,65.105673,-4.221945,1.662226,9.548190,44.442352,-43.319371,35.788648,-26.148883,20.162521,-29.931615,-8.698367
3,5.619473,-3.391991,84.361032,4.720605,14.352001,104.317251,-16.234420,-5.436921,18.777486,6.202222,-1.992568,-12.617638,-3.783216,-6.799781,-46.114686,9.078819,-3.802466,12.361475,0.310192,4.409164,11.593723,4.500434,20.432310,-35.266634,65.037560,-4.250996,1.658623,9.515284,44.560259,-43.395285,35.798534,-26.186136,20.419002,-29.740024,-8.647495
4,5.625191,-3.367447,84.351936,4.720045,14.366736,104.380368,-16.249911,-5.435471,18.761673,6.201174,-2.003720,-12.611539,-3.761411,-6.797291,-46.162140,9.084844,-3.829873,12.361475,0.298814,4.409143,11.591171,4.532012,20.451675,-35.231517,64.969448,-4.280046,1.655019,9.482378,44.678166,-43.471198,35.808419,-26.223389,20.675482,-29.548434,-8.596623
5,5.630909,-3.342902,84.342814,4.719502,14.381470,104.443489,-16.265402,-5.434020,18.745860,6.200127,-2.014872,-12.605441,-3.739606,-6.794800,-46.209594,9.090870,-3.857281,12.361475,0.287436,4.409122,11.588620,4.563590,20.471040,-35.196400,64.901335,-4.309096,1.651416,9.449473,44.796073,-43.547111,35.818304,-26.260643,20.931962,-29.356843,-8.545751
6,5.636626,-3.318358,84.333666,4.718975,14.396206,104.506614,-16.280892,-5.432570,18.730047,6.199080,-2.026024,-12.599342,-3.717802,-6.792310,-46.257048,9.096896,-3.884688,12.361475,0.276059,4.409102,11.586068,4.595169,20.490405,-35.161283,64.833222,-4.338146,1.647812,9.416567,44.913980,-43.623024,35.828189,-26.297896,21.188442,-29.165252,-8.494880
7,5.642344,-3.293813,84.324493,4.718465,14.410942,104.569744,-16.296383,-5.431120,18.714235,6.198032,-2.037175,-12.593243,-3.695997,-6.789819,-46.304502,9.102921,-3.912095,12.361475,0.264681,4.409081,11.583517,4.626747,20.509771,-35.126166,64.765110,-4.367196,1.644209,9.383661,45.031887,-43.698938,35.838075,-26.335149,21.444923,-28.973662,-8.444008
8,5.648062,-3.269268,84.315294,4.717972,14.425679,104.632877,-16.311874,-5.429670,18.698422,6.196985,-2.048327,-12.587144,-3.674193,-6.787329,-46.351956,9.108947,-3.939503,12.361475,0.253303,4.409060,11.580965,4.658325,20.529136,-35.091049,64.696997,-4.396246,1.640605,9.350755,45.149794,-43.774851,35.847960,-26.372402,21.701403,-28.782071,-8.393136
9,5.653780,-3.244724,84.306070,4.717495,14.440416,104.696015,-16.327365,-5.428220,18.682609,6.195937,-2.059479,-12.581046,-3.652388,-6.784839,-46.399410,9.114973,-3.966910,12.361475,0.241926,4.409040,11.578414,4.689903,20.548501,-35.055931,64.628884,-4.425296,1.637001,9.317849,45.267700,-43.850764,35.857845,-26.409655,21.957883,-28.590481,-8.342265
