Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.781241,-13.284475,78.931397,1.729902,-11.149151,101.867045,4.800733,16.869892,18.957224,5.901249,1.391566,-11.679177,16.569769,-25.416277,-37.341809,4.726993,-0.135260,15.000035,0.280935,4.760142,6.840189,4.405699,20.374214,-35.371986,65.241898,-4.163845,1.669433,9.614002,44.206538,-43.167545,35.768878,-26.074377,19.649561,-30.314796,-8.800110
1,1.787477,-13.263025,78.929945,1.725470,-11.133401,101.929507,4.785242,16.871342,18.941411,5.900202,1.380414,-11.673078,16.591574,-25.413787,-37.389263,4.733019,-0.162667,15.000035,0.266523,4.760286,6.834660,4.437277,20.393579,-35.336869,65.173785,-4.192895,1.665830,9.581096,44.324445,-43.243458,35.778763,-26.111630,19.906041,-30.123205,-8.749238
2,1.792048,-13.241456,78.928478,1.721055,-11.117646,101.991965,4.769751,16.872792,18.925598,5.899154,1.369263,-11.666979,16.613378,-25.411296,-37.436717,4.739044,-0.190075,15.000035,0.252111,4.760429,6.829132,4.468856,20.412944,-35.301752,65.105673,-4.221945,1.662226,9.548190,44.442352,-43.319371,35.788648,-26.148883,20.162521,-29.931615,-8.698367
3,1.794946,-13.219769,78.926995,1.716658,-11.101887,102.054418,4.754261,16.874243,18.909786,5.898107,1.358111,-11.660881,16.635183,-25.408806,-37.484171,4.745070,-0.217482,15.000035,0.237699,4.760573,6.823603,4.500434,20.432310,-35.266634,65.037560,-4.250996,1.658623,9.515284,44.560259,-43.395285,35.798534,-26.186136,20.419002,-29.740024,-8.647495
4,1.797818,-13.198073,78.925497,1.712279,-11.086123,102.116867,4.738770,16.875693,18.893973,5.897059,1.346959,-11.654782,16.656987,-25.406315,-37.531625,4.751096,-0.244889,15.000035,0.223287,4.760717,6.818075,4.532012,20.451675,-35.231517,64.969448,-4.280046,1.655019,9.482378,44.678166,-43.471198,35.808419,-26.223389,20.675482,-29.548434,-8.596623
5,1.800662,-13.176368,78.923983,1.707917,-11.070354,102.179311,4.723279,16.877143,18.878160,5.896012,1.335807,-11.648683,16.678792,-25.403825,-37.579079,4.757121,-0.272297,15.000035,0.208875,4.760860,6.812546,4.563590,20.471040,-35.196400,64.901335,-4.309096,1.651416,9.449473,44.796073,-43.547111,35.818304,-26.260643,20.931962,-29.356843,-8.545751
6,1.803481,-13.154655,78.922454,1.703574,-11.054581,102.241750,4.707788,16.878593,18.862347,5.894964,1.324656,-11.642584,16.700597,-25.401335,-37.626533,4.763147,-0.299704,15.000035,0.194463,4.761004,6.807018,4.595169,20.490405,-35.161283,64.833222,-4.338146,1.647812,9.416567,44.913980,-43.623024,35.828189,-26.297896,21.188442,-29.165252,-8.494880
7,1.806271,-13.132934,78.920909,1.699248,-11.038803,102.304185,4.692298,16.880043,18.846535,5.893917,1.313504,-11.636486,16.722401,-25.398844,-37.673987,4.769173,-0.327111,15.000035,0.180051,4.761148,6.801489,4.626747,20.509771,-35.126166,64.765110,-4.367196,1.644209,9.383661,45.031887,-43.698938,35.838075,-26.335149,21.444923,-28.973662,-8.444008
8,1.809035,-13.111203,78.919349,1.694940,-11.023020,102.366615,4.676807,16.881493,18.830722,5.892869,1.302352,-11.630387,16.744206,-25.396354,-37.721441,4.775198,-0.354519,15.000035,0.165639,4.761291,6.795961,4.658325,20.529136,-35.091049,64.696997,-4.396246,1.640605,9.350755,45.149794,-43.774851,35.847960,-26.372402,21.701403,-28.782071,-8.393136
9,1.811772,-13.089465,78.917773,1.690649,-11.007233,102.429041,4.661316,16.882943,18.814909,5.891822,1.291200,-11.624288,16.766011,-25.393864,-37.768895,4.781224,-0.381926,15.000035,0.151227,4.761435,6.790432,4.689903,20.548501,-35.055931,64.628884,-4.425296,1.637001,9.317849,45.267700,-43.850764,35.857845,-26.409655,21.957883,-28.590481,-8.342265
