Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.1529199630022049,-0.09618335962295532,84.93094635009766,2.533548468487439,-1.4835953915842701,101.76454147321645,5.032425,16.826286,19.185076,5.908342,5.4947653,-11.248899,16.121422,-25.584187,-36.625404,5.017158,3.9171917,15.000033,0.37503365,4.716017,6.793097,4.32578,20.371809,-35.446095,65.33025,-4.1597023,1.6700481,9.613406,44.08428,-42.91887,35.838013,-25.848063,19.63697,-30.300844,-8.772711
1,0.14588338136672974,-0.06204308569431305,84.94603729248047,2.516598350844218,-1.3951917686294155,101.9296330925277,4.9197617,16.843937,19.181168,5.8759804,5.5535717,-11.267271,16.18941,-25.420713,-36.5097,4.7528515,4.0132837,15.000033,0.39107582,4.7947087,6.7502117,4.3303843,20.388647,-35.441685,65.11638,-4.4033346,1.6781529,9.584477,44.24713,-43.114506,35.977318,-25.875128,19.779604,-30.013315,-9.113931
2,0.1353107988834381,-0.024163711816072464,84.96286010742188,2.4489142238095325,-1.3818929933195705,102.08210780255101,4.8590846,16.86988,18.921917,5.8547783,5.554485,-11.3277445,16.17361,-25.3515,-36.420807,4.9368854,3.9114847,15.000033,0.3793493,4.857005,6.736048,4.371484,20.408926,-35.385525,64.94264,-4.5002794,1.6641756,9.427662,44.46436,-43.337715,36.07535,-25.904175,20.059998,-29.79903,-9.2202015
3,0.12672483921051025,0.017591390758752823,84.97085571289062,2.4238015224535796,-1.4164274083549726,102.20212456791309,4.87408,16.87836,18.793308,5.8525925,5.5881453,-11.361699,16.348652,-25.263378,-36.471077,4.813728,3.95119,15.000033,0.3332642,4.8742266,6.748625,4.459461,20.43065,-35.292545,64.77467,-4.5573864,1.6387825,9.333859,44.660168,-43.53516,36.111313,-25.978567,20.024208,-29.533476,-9.259239
4,0.11959367245435715,0.06135549768805504,84.96619415283203,2.484002603230994,-1.405636136897292,102.25507008165796,4.8676248,16.787241,18.677818,5.850172,5.5703106,-11.366957,16.345272,-25.388824,-36.5367,4.989821,3.8718317,15.000033,0.33682334,4.847575,6.7527437,4.541528,20.449448,-35.165028,64.65894,-4.6675467,1.599987,9.342852,44.85873,-43.69821,36.135487,-26.120995,20.449333,-29.039944,-9.273027
5,0.1129162386059761,0.10534007847309113,84.95494079589844,2.483762027745697,-1.3115038700047001,102.31041451280221,4.7786283,16.782408,18.626703,5.8477197,5.429479,-11.403593,16.364937,-25.357191,-36.639545,4.8746176,3.8267703,15.000033,0.17105503,4.806982,6.7034225,4.678437,20.480776,-35.08399,64.577126,-4.792342,1.5640149,9.371634,45.092426,-43.821503,35.94164,-26.296303,21.679117,-28.330551,-8.650054
6,0.10771573334932327,0.147379532456398,84.96267700195312,2.4838465922186606,-1.3108552202526143,102.40495492174566,4.77523,16.784145,18.602638,5.847515,5.4027185,-11.356852,16.410986,-25.366304,-36.679012,4.9632754,3.730889,15.000033,0.16881303,4.8286853,6.703459,4.732505,20.512989,-35.0534,64.45185,-4.778,1.5425489,9.328337,45.29459,-43.949398,35.93427,-26.378376,22.003149,-28.09449,-8.52043
7,0.10351758450269699,0.1875889152288437,84.9661636352539,2.4860090293271244,-1.2866845727361718,102.49906453943399,4.7485933,16.79317,18.61777,5.849126,5.4065194,-11.323158,16.48847,-25.371965,-36.84072,4.9626575,3.6389275,15.000033,0.1082184,4.825596,6.707688,4.805281,20.545662,-35.02037,64.34397,-4.7713714,1.5498701,9.274078,45.474327,-44.05876,35.911263,-26.442734,22.361887,-27.858915,-8.508994
8,0.10184279829263687,0.22457300126552582,84.98558044433594,2.459824675718629,-1.2481062536619356,102.57200000954019,4.710181,16.831028,18.617992,5.848266,5.4557557,-11.221968,16.537125,-25.337616,-36.995903,4.950745,3.575895,15.000033,0.13232087,4.827051,6.7246585,4.8039374,20.555614,-35.043682,64.28095,-4.4779363,1.5758502,9.163285,45.565388,-44.089146,35.951817,-26.317022,22.180037,-28.055416,-8.870931
9,0.10285282880067825,0.2579572796821594,84.9760971069336,2.4672838487958426,-1.2197177456564667,102.70133896050937,4.6582694,16.84042,18.629473,5.8516383,5.265492,-11.204345,16.638666,-25.360943,-37.269478,4.9587307,3.4696815,15.000033,0.06087218,4.788443,6.6818986,4.79395,20.592186,-35.087914,64.2944,-4.5936685,1.5832897,9.204531,45.721676,-44.16561,35.970398,-26.401176,23.022306,-27.529974,-8.3142805
