Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.0008100997656583786,-0.030795907601714134,87.29621887207031,0.7030967021110183,-2.5539840701499417,99.68420124606003,7.3753805,16.12594,31.1692,6.3668714,2.8693535,-6.0131917,17.1359,-18.938524,-54.450424,5.412434,-0.59269685,11.629194,1.3644946,-1.7923672,6.532748,2.0250022,21.558306,-35.161896,63.604828,-10.846285,-0.34486246,9.053041,21.956596,-31.291998,36.632214,-32.702072,14.857037,-20.970247,-4.6160126
1,-0.014018011279404163,0.021412396803498268,87.29959869384766,0.6353400736960036,-2.5020396784984746,99.8442855786075,7.3343883,16.187277,31.137096,6.317539,2.721826,-6.135235,17.250751,-18.815817,-54.746696,5.3096786,-0.63476175,11.60764,1.3488202,-1.7946186,6.32176,2.0419297,21.572945,-35.273453,63.628284,-10.790886,-0.29647005,9.045631,22.188503,-31.366266,36.630756,-32.688324,15.05415,-20.567696,-3.9760096
2,-0.029764892533421516,0.08380202949047089,87.30503845214844,0.5987150922219857,-2.477022946383731,100.00568531987433,7.2971134,16.194805,30.962414,6.2951717,2.6649673,-6.179175,17.40408,-18.703964,-54.971798,5.1551175,-0.6285704,11.618776,1.4513817,-1.8004787,6.1808567,2.034906,21.584223,-35.359295,63.56451,-10.735089,-0.28773344,8.9804735,22.433975,-31.433403,36.735165,-32.627964,15.0211,-20.463568,-3.995205
3,-0.04886199161410332,0.1505589783191681,87.29804992675781,0.5873657931852013,-2.4159210944159546,100.17997135482608,7.2311773,16.186129,30.854836,6.2788706,2.5937142,-6.213683,17.529753,-18.637178,-55.242855,5.0287633,-0.661754,11.707887,1.5078009,-1.813031,6.0664544,2.050643,21.586964,-35.40086,63.492863,-10.583324,-0.3000477,8.770677,22.661386,-31.456377,36.798412,-32.605923,15.224025,-20.390974,-3.8408837
4,-0.0713130310177803,0.21765616536140442,87.30213928222656,0.5704136796942497,-2.3450512221961377,100.28250163951323,7.1690173,16.178965,30.747482,6.2724643,2.544631,-6.190878,17.584614,-18.619453,-55.45816,5.0149827,-0.74131495,11.710585,1.5612179,-1.8417275,5.963081,2.118263,21.600426,-35.462906,63.402046,-10.479226,-0.32064846,8.681157,22.952877,-31.568504,36.881798,-32.646122,15.272135,-20.321787,-3.898497
5,-0.09502275288105011,0.2792004644870758,87.30194854736328,0.5711757660591185,-2.302119945716591,100.37066627912502,7.1327057,16.14637,30.616714,6.2693887,2.5257487,-6.1936274,17.67727,-18.610832,-55.682938,4.960927,-0.75841624,11.711977,1.6416357,-1.8523014,5.899234,2.1637638,21.60721,-35.45439,63.311623,-10.415051,-0.30878872,8.5708885,23.217148,-31.669619,36.93244,-32.702156,15.185016,-20.32698,-4.0236692
6,-0.11936651170253754,0.3326457142829895,87.3029556274414,0.5541787915130392,-2.2236236830953007,100.41186748519961,7.06124,16.123266,30.4591,6.2619734,2.5128734,-6.205996,17.749805,-18.541853,-55.9504,4.781862,-0.78738546,11.759979,1.7195097,-1.8839129,5.7983766,2.2227683,21.611668,-35.440594,63.23727,-10.268793,-0.28184146,8.423514,23.405762,-31.759312,36.987514,-32.68223,15.226816,-20.31491,-3.9837406
7,-0.14151786267757416,0.3783348798751831,87.33219146728516,0.5532291206684491,-2.336240482906276,100.50650480758657,7.167093,16.093285,30.314287,6.277605,2.6618936,-6.05043,17.973442,-18.541517,-56.096718,4.7665734,-0.74378186,11.657192,1.8827943,-1.8967462,5.8357525,2.21254,21.609428,-35.39995,63.126175,-10.042834,-0.2939396,8.193278,23.582354,-31.819149,37.05676,-32.564304,14.95359,-20.984762,-4.274074
8,-0.16218431293964386,0.4183480143547058,87.32925415039062,0.5554265869096852,-2.265228577406889,100.53394635866925,7.1244926,16.077236,30.317373,6.267987,2.611389,-6.0264316,17.958809,-18.58061,-56.25148,4.809626,-0.7886086,11.712605,1.8408718,-1.933615,5.755723,2.280055,21.620562,-35.532776,63.073044,-10.045875,-0.3285483,8.1314125,23.682327,-31.962774,37.179356,-32.58274,15.306217,-21.17048,-4.1410203
9,-0.17764458060264587,0.4560849070549011,87.3358383178711,0.6015808163103014,-2.3166848683435646,100.60804359283425,7.1683974,16.006655,30.219309,6.288151,2.6791298,-5.960969,18.12329,-18.57709,-56.317425,4.669414,-0.6525664,11.619966,1.888686,-1.9305669,5.7656217,2.3139448,21.621761,-35.5047,62.97019,-10.007685,-0.35302275,8.010772,23.878908,-32.045784,37.17316,-32.686348,15.372204,-21.29682,-3.9969237
10,-0.19066128134727478,0.492936372756958,87.3411865234375,0.5748055315953979,-2.2467625321007505,100.64462218036499,7.115647,16.01897,30.17554,6.266421,2.6840925,-5.967131,18.095964,-18.545412,-56.36058,4.663092,-0.68134737,11.636865,1.8928069,-1.9668088,5.7548404,2.2991445,21.630306,-35.597458,63.015453,-10.129839,-0.4164437,8.064713,24.058125,-32.15071,37.210293,-32.71576,15.282817,-21.264349,-3.9589713
11,-0.19798660278320312,0.5300201177597046,87.3345947265625,0.5937977319877802,-2.269155192268987,100.72954610575907,7.1468673,16.004768,30.178083,6.279718,2.6544588,-5.941567,18.20045,-18.549505,-56.435966,4.6345706,-0.65219176,11.675652,1.8677378,-1.9833512,5.708339,2.3141224,21.631277,-35.58547,63.042507,-10.203154,-0.33575577,7.9604664,24.239382,-32.183823,37.1703,-32.79542,15.700176,-20.977676,-3.6612172
12,-0.20104345679283142,0.5681182146072388,87.32646942138672,0.5962206100040054,-2.236007067668146,100.7897325378867,7.131298,16.002426,30.16533,6.266527,2.6489654,-5.9831114,18.230995,-18.54627,-56.53367,4.6356874,-0.6865038,11.781576,1.8640567,-2.0430367,5.6937327,2.2903988,21.636278,-35.722836,63.11951,-10.253821,-0.35790876,7.93129,24.331469,-32.212364,37.245766,-32.795574,15.79864,-20.897015,-3.58734
13,-0.1993684619665146,0.6078989505767822,87.32085418701172,0.6219190492484133,-2.2521874759183014,100.86067640674939,7.140117,15.963268,30.037971,6.270584,2.674474,-5.993434,18.292002,-18.570265,-56.52159,4.669285,-0.7060328,11.806958,1.9037197,-2.0488079,5.669613,2.2768726,21.641396,-35.79364,63.149124,-10.382377,-0.35832497,7.889482,24.517519,-32.25509,37.27675,-32.883236,15.718881,-20.79645,-3.6041212
14,-0.19458439946174622,0.6484537720680237,87.31287384033203,0.6393032895643169,-2.2586119187786404,100.92216267745782,7.1498604,15.945135,29.96219,6.2746887,2.6368108,-6.003609,18.34894,-18.569773,-56.515476,4.6682353,-0.70763224,11.847565,1.8909158,-2.0698812,5.6438212,2.2902515,21.643677,-35.80362,63.19198,-10.476345,-0.36423433,7.871593,24.642212,-32.268047,37.280037,-32.936428,15.689948,-20.714533,-3.5526745
15,-0.18783394992351532,0.6905431151390076,87.3107681274414,0.6506822488328173,-2.2678107397281058,100.9781732346169,7.164762,15.939982,29.906504,6.2848763,2.6282122,-5.9920115,18.408827,-18.56899,-56.53674,4.682178,-0.73201776,11.8735485,1.9173491,-2.0946882,5.617248,2.2889426,21.648922,-35.857273,63.258232,-10.505007,-0.36939588,7.862673,24.812996,-32.2914,37.30958,-32.99827,15.671512,-20.728321,-3.5681727
16,-0.18032614886760712,0.7338669896125793,87.299072265625,0.6688549676995444,-2.255538443704708,101.05632360533056,7.155743,15.928378,29.85301,6.2854943,2.5475001,-6.0264034,18.443853,-18.572803,-56.520992,4.70466,-0.7358953,11.873135,1.9142537,-2.0998292,5.5833945,2.3008475,21.652412,-35.824425,63.300156,-10.682635,-0.40469953,7.8659534,24.972734,-32.30856,37.29469,-33.106274,15.5000515,-20.581444,-3.4471772
17,-0.17305941879749298,0.7785327434539795,87.28902435302734,0.6943990164624978,-2.2271277618254413,101.10334759485731,7.1510797,15.915856,29.855278,6.27834,2.5249848,-6.0441346,18.45482,-18.57561,-56.468155,4.701135,-0.68495244,11.8404665,1.9289834,-2.0877347,5.579966,2.3062582,21.654926,-35.790787,63.33438,-10.646775,-0.44589925,7.7885137,25.159176,-32.319534,37.2957,-33.24928,15.332425,-20.854929,-3.433063
18,-0.1674087643623352,0.8223313093185425,87.28152465820312,0.6798915301143308,-2.177043433033618,101.1478217821567,7.120839,15.94429,29.842392,6.2720237,2.433637,-6.0622487,18.425568,-18.535114,-56.37079,4.705733,-0.6742736,11.839978,1.8862228,-2.0879686,5.557683,2.3281436,21.656965,-35.75202,63.38525,-10.690391,-0.48439828,7.8743486,25.356394,-32.32019,37.26565,-33.340496,15.210148,-20.871143,-3.4396222
19,-0.1618538349866867,0.8633148670196533,87.27832794189453,0.6724965946316239,-2.151916695250373,101.13704562229574,7.120662,15.951245,29.770863,6.26664,2.3956585,-6.061848,18.41159,-18.511515,-56.29123,4.7087245,-0.6558698,11.851306,1.9089131,-2.084779,5.5417595,2.3593156,21.661026,-35.684933,63.439735,-10.616683,-0.5176909,7.9232078,25.529465,-32.320538,37.2276,-33.438442,14.964065,-20.90824,-3.3923876
20,-0.1560649424791336,0.8996477127075195,87.27791595458984,0.6557495872120146,-2.0984806251999584,101.1279016143768,7.082798,15.967189,29.692179,6.2639017,2.3855836,-6.0588064,18.372358,-18.485752,-56.278202,4.719364,-0.6975238,11.862342,1.8849212,-2.0945163,5.5388756,2.4004867,21.664919,-35.69068,63.49466,-10.575025,-0.5487396,8.024279,25.626503,-32.320454,37.232212,-33.47475,14.851655,-20.95309,-3.5788634
21,-0.14766047894954681,0.9290766716003418,87.2690200805664,0.6930764920240567,-2.0649112512371826,101.13282847244413,7.0640492,15.926829,29.645563,6.2550416,2.3697677,-6.057424,18.366371,-18.513613,-56.284187,4.7125325,-0.67932165,11.868055,1.8575689,-2.1140556,5.542184,2.4308786,21.666924,-35.68806,63.53359,-10.534257,-0.6063603,8.10934,25.704016,-32.31865,37.235077,-33.577057,14.766293,-20.943806,-3.739083
22,-0.13727590441703796,0.9510805606842041,87.2655258178711,0.7053730807893519,-2.0322472560926452,101.11727196765764,7.048016,15.920738,29.625772,6.2504535,2.346465,-6.025707,18.329418,-18.514133,-56.2216,4.7153754,-0.7186437,11.882636,1.852502,-2.1122248,5.5249844,2.4465683,21.671732,-35.630417,63.61352,-10.606415,-0.5830882,8.17959,25.820967,-32.30689,37.215267,-33.695854,14.612802,-20.862974,-3.7482867
23,-0.12434925884008408,0.9662048816680908,87.27332305908203,0.7137416580825797,-2.0949798894785814,101.09517633522032,7.1412,15.943757,29.714016,6.2632747,2.3004892,-5.938781,18.387297,-18.513832,-56.150124,4.7310014,-0.63009006,11.767276,1.8233616,-2.0814,5.5656643,2.4758537,21.672853,-35.513554,63.65285,-10.5211935,-0.5930801,8.2373905,25.89555,-32.286407,37.131935,-33.8119,14.417946,-20.961802,-3.727112
24,-0.10895600914955139,0.9756030440330505,87.26677703857422,0.7368062582795599,-2.067006431187408,101.04921122292714,7.143477,15.940065,29.784151,6.255439,2.2291946,-5.919805,18.3386,-18.523136,-56.07102,4.7227697,-0.62669235,11.769158,1.7510498,-2.081939,5.5689144,2.5254722,21.677797,-35.39129,63.715923,-10.420307,-0.58168846,8.329358,25.96126,-32.23601,37.001713,-33.962395,14.32713,-20.806843,-3.6581137
25,-0.09216582030057907,0.9824183583259583,87.27530670166016,0.7265260699768686,-2.0130320480038,100.95789579596111,7.1302996,15.9715805,29.858545,6.2388363,2.2672896,-5.859711,18.258516,-18.509476,-56.085518,4.719606,-0.6215568,11.781198,1.742149,-2.1098306,5.5663347,2.532781,21.691206,-35.38857,63.815697,-10.404906,-0.6986635,8.427939,25.90739,-32.175266,37.010777,-33.920147,13.923234,-21.04058,-4.007575
26,-0.07377643138170242,0.986952543258667,87.27864074707031,0.7192636739360699,-2.0131767637338385,100.96616984733801,7.129992,15.994573,29.85292,6.228383,2.2875571,-5.869792,18.259003,-18.490767,-56.10212,4.740616,-0.6265397,11.7495775,1.7011182,-2.1201212,5.541539,2.5220108,21.704538,-35.41052,63.897186,-10.358197,-0.71911335,8.412005,25.887966,-32.118027,36.986973,-33.920574,13.787125,-21.130442,-4.028477
27,-0.05419054627418518,0.9913004636764526,87.27332305908203,0.7337351787588935,-2.0177083075061124,101.03701840886524,7.1155586,15.998749,29.847427,6.2219973,2.3122966,-5.9007907,18.29123,-18.464622,-56.09354,4.7109113,-0.6120799,11.714277,1.630379,-2.110454,5.523213,2.505207,21.706636,-35.38962,63.94603,-10.435012,-0.65655476,8.343036,25.920378,-32.105347,36.953884,-34.009224,13.964254,-21.085196,-4.0130725
28,-0.03469390049576759,0.9959292411804199,87.27246856689453,0.7338324176941982,-2.0070627131517575,101.03728932012518,7.094861,16.004498,29.783333,6.2169566,2.317318,-5.914316,18.28243,-18.449558,-56.11196,4.714714,-0.61379814,11.726314,1.6487161,-2.1204033,5.5266423,2.4619813,21.728745,-35.38036,64.01014,-10.410995,-0.64603966,8.307451,25.96792,-31.995653,36.826023,-34.046417,13.914082,-21.053633,-3.9517603
29,-0.01563594490289688,1.0006541013717651,87.27311706542969,0.7349927933137943,-1.9773347852086574,101.00524067788336,7.074128,16.01057,29.763344,6.201884,2.30322,-5.9132876,18.238514,-18.449026,-56.129257,4.7364464,-0.66426843,11.737896,1.6466738,-2.1388578,5.507409,2.4447792,21.74674,-35.39076,64.088745,-10.469352,-0.67849445,8.456577,25.976698,-31.925467,36.79583,-34.052986,13.835232,-20.969887,-4.0509753
30,0.002595418831333518,1.0041788816452026,87.26593017578125,0.7311457206023751,-1.9636199060819541,101.03735560655103,7.0424013,16.026957,29.714699,6.2008348,2.2787051,-5.952059,18.216995,-18.413046,-56.044506,4.7299404,-0.6356857,11.732609,1.6317722,-2.1156456,5.507732,2.434819,21.761871,-35.305115,64.11323,-10.519275,-0.6189718,8.414381,26.011675,-31.8384,36.711575,-34.110516,13.852054,-20.881334,-3.9630194
31,0.02031128853559494,1.005805492401123,87.26333618164062,0.7329823053500328,-1.9547811391898815,101.07624525675617,7.014854,16.031569,29.664326,6.18925,2.2651584,-5.965769,18.216784,-18.396809,-56.05299,4.7365746,-0.66779745,11.709043,1.5924863,-2.1149065,5.489893,2.4243343,21.778591,-35.2771,64.127464,-10.521148,-0.60318524,8.442586,26.078678,-31.7589,36.622852,-34.15878,13.89575,-20.782412,-3.8903077
32,0.03763372823596001,1.0043240785598755,87.24880981445312,0.7330786782569887,-1.9298469452458988,101.07341092281537,6.9783745,16.036247,29.611536,6.1802454,2.1452448,-6.0626397,18.1897,-18.386538,-56.077457,4.7440467,-0.6980631,11.700876,1.5196445,-2.1148627,5.4305296,2.4732864,21.80945,-35.2821,64.12098,-10.599623,-0.5850244,8.484067,26.100584,-31.645304,36.435017,-34.25412,14.184295,-20.274258,-3.3402092
33,0.05592576786875725,0.9996289610862732,87.25481414794922,0.7005584447052828,-1.9920224664067252,101.13003397130952,7.007012,16.076086,29.514902,6.1793976,2.1268363,-6.075094,18.260199,-18.339334,-56.103203,4.7763247,-0.70665735,11.667623,1.5219449,-2.1027882,5.4419026,2.4361398,21.830975,-35.247738,64.126465,-10.755992,-0.5805592,8.488984,26.126598,-31.56776,36.343494,-34.23324,14.331174,-20.24639,-3.1738336
34,0.07630279660224915,0.9922856688499451,87.25408172607422,0.6605375451495363,-1.9634673536457852,101.17747410698924,6.944073,16.118162,29.410315,6.156914,2.1845653,-6.172746,18.23263,-18.27894,-56.151638,4.7939816,-0.7610978,11.723476,1.511935,-2.1390674,5.427172,2.368635,21.86389,-35.397324,64.156075,-10.75943,-0.6005119,8.51466,26.083572,-31.504414,36.377823,-34.119907,14.625026,-20.287619,-3.4043067
35,0.09998685866594315,0.9822842478752136,87.26527404785156,0.5931849157819272,-1.9636127393876561,101.19948264655608,6.9147863,16.190863,29.308414,6.132348,2.232023,-6.289422,18.19696,-18.175037,-56.05893,4.810745,-0.82327527,11.698456,1.5438591,-2.1178114,5.4226327,2.313704,21.888777,-35.411163,64.200005,-10.640835,-0.66253144,8.537224,26.082056,-31.452122,36.3519,-34.053753,14.037719,-20.335747,-3.558031
36,0.1299065500497818,0.9713249206542969,87.25518798828125,0.6458741966505215,-1.9755917370763092,101.24929190677145,6.8786197,16.131441,29.172535,6.124087,2.2755268,-6.341722,18.220175,-18.211477,-56.101967,4.819816,-0.81559354,11.670792,1.5657685,-2.13643,5.4413915,2.238208,21.913479,-35.421955,64.204666,-10.790276,-0.6759076,8.556524,26.04906,-31.405075,36.352985,-34.108578,14.12259,-20.421438,-3.7185273
37,0.1621321588754654,0.9602614641189575,87.25347900390625,0.6461966156159579,-1.907119776858601,101.33325500445942,6.736787,16.125406,28.98936,6.111074,2.3714871,-6.4209867,18.15439,-18.14733,-56.055656,4.769034,-0.84581685,11.673968,1.5099891,-2.123374,5.4318004,2.2063458,21.951958,-35.41896,64.16261,-10.633982,-0.71701616,8.504815,26.10679,-31.324179,36.255898,-34.18382,14.469135,-20.574448,-3.5474768
38,0.19730301201343536,0.9502507448196411,87.24714660644531,0.6608296031652551,-1.9439955052356803,101.3776349810189,6.746026,16.126898,28.940346,6.092483,2.38271,-6.513192,18.178968,-18.149315,-56.04976,4.822942,-0.84455264,11.655326,1.5254496,-2.1163385,5.437937,2.1462069,21.988049,-35.406834,64.18067,-10.688078,-0.7376386,8.52567,26.096577,-31.248558,36.22245,-34.228848,14.347457,-20.69007,-3.68838
39,0.23220649361610413,0.9466419219970703,87.25483703613281,0.6420902960855759,-2.0041186039818264,101.43695930677342,6.760168,16.156673,28.803925,6.089595,2.48131,-6.59462,18.26529,-18.097574,-56.13537,4.8341556,-0.84040225,11.585957,1.5124773,-2.1177993,5.4608693,2.1083384,22.033508,-35.388233,64.204575,-10.63425,-0.80811214,8.507886,26.079048,-31.149652,36.160023,-34.209236,14.60585,-20.892487,-3.6102095
40,0.2651608884334564,0.9549382925033569,87.24655151367188,0.6122222964954752,-1.9404954560602619,101.49016479989666,6.6860266,16.223082,28.822083,6.066458,2.5356205,-6.731697,18.200487,-18.027294,-56.10869,4.846934,-0.87034166,11.595906,1.4622269,-2.161841,5.4178076,2.0743322,22.117186,-35.43184,64.24195,-10.6823015,-0.8458441,8.537423,26.152596,-30.991446,36.02838,-34.219227,15.00018,-20.812372,-3.5237873
41,0.29644352197647095,0.9786244630813599,87.25984191894531,0.5897180798333915,-2.0569864677927154,101.63027614321066,6.758655,16.272427,28.717236,6.081797,2.6103663,-6.759768,18.325264,-17.981379,-55.991646,4.9529185,-0.90418005,11.481985,1.488372,-2.1533947,5.4498425,2.0132813,22.154556,-35.2508,64.24738,-10.777726,-0.7998187,8.522479,26.30933,-30.900562,35.925644,-34.248913,14.984493,-20.908607,-3.3769002
42,0.32312074303627014,1.0234737396240234,87.2606201171875,0.5346732757461491,-1.9802127624569088,101.68572329832895,6.680797,16.353987,28.641874,6.066442,2.669811,-6.9259167,18.335257,-17.793966,-55.9801,4.7574835,-0.785274,11.331749,1.4029357,-2.158307,5.4432077,2.0437539,22.21458,-35.194916,64.358025,-10.728052,-0.87952036,8.503762,26.46274,-30.740032,35.817608,-34.27669,15.201149,-21.31633,-3.2390323
43,0.3463783860206604,1.088970422744751,87.241455078125,0.5317491410185046,-1.7895453930401597,101.70550765882447,6.517434,16.375471,28.585253,6.0384245,2.7176971,-7.0887175,18.193563,-17.755316,-56.02227,4.7524323,-0.84926444,11.298268,1.2844568,-2.1798751,5.37186,2.1481535,22.262053,-35.11609,64.42575,-10.8827505,-0.95778775,8.682806,26.709976,-30.607132,35.58178,-34.457386,15.524162,-21.262384,-3.5989344
44,0.36601078510284424,1.1714401245117188,87.24816131591797,0.47548822995852247,-1.7517375320564728,101.75628759101609,6.531292,16.47926,28.615196,6.030379,2.8199232,-7.175735,18.225105,-17.650326,-56.018803,4.757245,-0.84788126,11.187925,1.2521412,-2.1958408,5.3626065,2.239407,22.305046,-34.94346,64.44335,-10.9852085,-1.0076889,8.567795,26.960693,-30.489286,35.452457,-34.495567,15.814614,-21.450428,-3.9718428
45,0.3809221684932709,1.2677948474884033,87.22881317138672,0.45878056825620134,-1.618262974956608,101.78609491085147,6.4802523,16.553328,28.75627,6.017412,2.8159797,-7.3460507,18.079937,-17.674568,-55.8937,4.9730206,-1.034923,11.221081,1.0780724,-2.219217,5.263305,2.432704,22.351313,-34.8227,64.5225,-11.175518,-1.0663667,8.706458,27.363182,-30.343878,35.191757,-34.709343,16.315067,-21.320326,-4.1221004
46,0.39062565565109253,1.3742659091949463,87.21345520019531,0.471760764550318,-1.4670904785534886,101.77468956546957,6.4228296,16.581434,28.855776,6.0069137,2.8288436,-7.477537,17.971937,-17.69867,-55.87052,5.060744,-1.1734626,11.101532,0.9528138,-2.281897,5.2088623,2.644855,22.43403,-34.78222,64.55775,-11.516664,-1.2503536,8.885216,27.811998,-30.065443,34.754795,-34.93603,17.110376,-21.349165,-4.165544
47,0.39372560381889343,1.4841195344924927,87.21846771240234,0.4993010519852033,-1.4269141921035804,101.73162029276378,6.5081644,16.601313,29.042458,6.0087714,2.7424707,-7.431481,17.972822,-17.685982,-55.663742,5.031727,-1.1065023,10.967636,0.85253286,-2.3535519,5.1481056,2.8759506,22.499878,-34.49796,64.655106,-11.721483,-1.2244977,8.897655,28.168938,-29.74011,34.307426,-35.026188,17.558983,-21.458645,-4.1627636
