Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.0007897696341387928,-0.03080739453434944,87.29622650146484,0.7032297802205221,-2.5539252293307073,99.68405781907587,7.375158,16.12593,31.169304,6.367241,2.8692148,-6.0131783,17.135733,-18.938658,-54.45029,5.4129505,-0.59320015,11.62914,1.3662394,-1.7938697,6.5300436,2.0207777,21.557682,-35.16509,63.61244,-10.847227,-0.34563875,9.052034,21.946348,-31.281069,36.634647,-32.68414,14.857199,-20.971622,-4.6142883
1,-0.013972211629152298,0.021484557539224625,87.29955291748047,0.6350418538814752,-2.5028855102867738,99.84523905791875,7.334349,16.187923,31.135891,6.3188114,2.7212412,-6.1353245,17.265366,-18.796955,-54.75209,5.2639337,-0.6115155,11.6073675,1.3518124,-1.793586,6.3235106,2.0403974,21.575022,-35.27948,63.626144,-10.793732,-0.29622304,9.045468,22.197851,-31.372139,36.624096,-32.698368,15.055368,-20.56789,-3.9760911
2,-0.029720589518547058,0.08389630168676376,87.30500793457031,0.5981636152679999,-2.4774895643166506,100.00631146645713,7.2972064,16.195566,30.961624,6.2957344,2.664685,-6.1793337,17.420376,-18.68147,-54.97755,5.101006,-0.60091394,11.618322,1.4484096,-1.795603,6.184351,2.042992,21.590216,-35.361893,63.5492,-10.74209,-0.28712964,8.980899,22.455875,-31.468603,36.732525,-32.66537,15.023306,-20.46593,-4.005437
3,-0.04898357391357422,0.15067748725414276,87.29800415039062,0.5871604125339016,-2.415020597352537,100.17991474574414,7.229555,16.186766,30.854706,6.279844,2.5935714,-6.21368,17.52318,-18.64496,-55.240902,5.0488834,-0.67225194,11.708055,1.5021596,-1.8069764,6.057691,2.0676026,21.596235,-35.419487,63.47643,-10.606506,-0.29995334,8.773072,22.708675,-31.524221,36.81277,-32.670734,15.221113,-20.401133,-3.8712468
4,-0.0712854415178299,0.21775320172309875,87.30207824707031,0.5701563661966198,-2.3454595118337034,100.28318889617951,7.168557,16.17965,30.746538,6.274146,2.5437393,-6.1909738,17.605288,-18.59068,-55.465427,4.9443297,-0.7049309,11.710062,1.5553443,-1.8348011,5.9704766,2.1284466,21.605654,-35.454815,63.382294,-10.479328,-0.32030848,8.679649,22.97757,-31.612247,36.87201,-32.691444,15.2789545,-20.323837,-3.903356
5,-0.09499295055866241,0.2792797088623047,87.30189514160156,0.5708364323898066,-2.3026051491818613,100.37120074879415,7.132966,16.146835,30.616083,6.269603,2.5256727,-6.193757,17.695932,-18.584593,-55.689377,4.8978705,-0.72635114,11.711482,1.6350439,-1.8451984,5.906428,2.174055,21.611425,-35.44584,63.292614,-10.415274,-0.30845124,8.569794,23.241245,-31.713858,36.92427,-32.747574,15.19128,-20.328886,-4.0295124
6,-0.11932322382926941,0.33274582028388977,87.30287170410156,0.5537010178152736,-2.224569035755925,100.41272851911233,7.061621,16.124023,30.458029,6.2629085,2.5123446,-6.2061725,17.77468,-18.507084,-55.959007,4.69828,-0.74473375,11.759372,1.709723,-1.8752253,5.80697,2.2363806,21.61563,-35.42853,63.214455,-10.268432,-0.28134504,8.42288,23.433807,-31.812885,36.980244,-32.736916,15.233335,-20.316795,-3.9918928
7,-0.14169572293758392,0.3783572316169739,87.33216857910156,0.5530476960857184,-2.3351365802062993,100.50725906599247,7.1654434,16.093342,30.31351,6.2774434,2.6623247,-6.0501957,17.963491,-18.554745,-56.09443,4.799157,-0.7603351,11.657611,1.8457454,-1.8842996,5.844233,2.252399,21.61205,-35.35561,63.08426,-10.036773,-0.2943009,8.19481,23.603848,-31.90707,37.078007,-32.640503,14.956684,-20.988466,-4.3005548
8,-0.16208204627037048,0.4184316396713257,87.3291015625,0.5552638971939812,-2.2660567025329423,100.53476692469907,7.125496,16.077206,30.316603,6.2674026,2.6115687,-6.0265584,17.989359,-18.537249,-56.262,4.7036805,-0.73402464,11.711828,1.826446,-1.9274042,5.7629323,2.292887,21.619936,-35.509373,63.057674,-10.03762,-0.32874492,8.129891,23.688599,-31.996012,37.17983,-32.60938,15.311989,-21.171497,-4.1433086
9,-0.17763499915599823,0.4560717046260834,87.33584594726562,0.6018039179605402,-2.3165331630173216,100.60779759069258,7.1684027,16.00639,30.21959,6.2875953,2.679615,-5.9609556,18.120865,-18.580536,-56.316486,4.6771393,-0.65643597,11.620017,1.884848,-1.9318683,5.763374,2.314974,21.62048,-35.50045,62.97378,-10.006259,-0.3532662,8.011068,23.863935,-32.040432,37.182747,-32.668633,15.370551,-21.297157,-3.9976826
