Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.04718223586678505,0.05062990263104439,89.88044738769531,0.4439099302354625,-2.6795402060518905,61.014394870513264,-1.6412956,17.287796,6.2589765,20.020763,-4.9153285,-12.796979,23.596045,-19.232729,-41.85691,-1.2889893,0.6465656,15.000033,3.8760412,3.0537705,6.702816,5.5336337,17.992155,-37.458935,65.241325,-15.487869,-0.12519804,5.6026707,30.269344,-41.14893,28.411913,-46.700573,19.509605,-12.05712,4.549113
1,-0.08865279704332352,0.11919280886650085,89.91605377197266,0.379473066030139,-2.6740778795266746,61.396531441423846,-1.657158,17.311056,6.306846,19.83166,-4.8799186,-12.702176,23.789244,-19.092842,-42.016632,-1.3786988,0.6931993,15.000033,3.8730128,2.9492457,6.6086493,5.4471793,17.99133,-37.56618,65.16274,-15.092607,-0.05401897,5.3121424,30.582317,-41.24616,28.342834,-46.46443,19.230003,-11.939746,4.6813216
2,-0.13700678944587708,0.20086993277072906,89.92788696289062,0.26289290460565345,-2.7096522997639405,61.91090134546288,-1.7166866,17.373302,6.2513814,19.726414,-5.137166,-12.587874,24.100378,-18.899212,-42.37873,-1.4421538,0.6682455,15.000033,3.9025104,2.9095156,6.5077186,5.336466,17.980532,-37.626934,64.99479,-14.791084,0.06122243,5.10519,31.128609,-41.46076,28.066257,-46.4401,18.901789,-11.355126,5.2948947
3,-0.18774130940437317,0.2936568260192871,89.9494857788086,0.13878056722911836,-2.724176445649953,62.07195755103332,-1.7593943,17.479185,6.290515,19.843409,-5.151944,-12.45441,24.214437,-18.768782,-42.400524,-1.4781066,0.740704,15.000033,4.033781,2.8985326,6.493343,5.331935,17.953056,-37.726818,64.83889,-14.518746,0.11372383,4.919442,31.520359,-41.698456,28.035097,-46.311234,18.631996,-11.809261,4.9369864
4,-0.23595550656318665,0.3932672142982483,89.95036315917969,0.12167078171666525,-2.6721351641776945,62.19853047320775,-1.7759259,17.440054,6.355963,19.806328,-5.1966195,-12.375169,24.290571,-18.790932,-42.58197,-1.5226542,0.63167447,15.000033,4.1033015,2.831021,6.393448,5.4089847,17.932505,-37.835228,64.6477,-14.499092,0.061439704,4.9868917,31.846083,-41.86782,28.058962,-46.284634,18.17611,-11.632857,4.6596165
5,-0.28001224994659424,0.4946858584880829,89.9503402709961,0.09618295018348354,-2.6021245098780597,62.32462406817485,-1.8220884,17.41735,6.417258,19.795101,-5.257757,-12.265743,24.345667,-18.780958,-42.694485,-1.5888941,0.5855438,15.000033,4.2152762,2.7626379,6.2793527,5.469199,17.910307,-37.919647,64.50301,-14.565705,-0.0051582856,5.0149813,32.15546,-42.0236,28.077736,-46.2259,17.955225,-11.509918,4.393515
6,-0.3203272521495819,0.5966761708259583,89.95562744140625,0.03578332073529769,-2.634441791744171,62.48144306834683,-1.7956252,17.439177,6.444343,19.839281,-5.438896,-12.104812,24.503832,-18.732487,-42.75501,-1.6100687,0.61254144,15.000033,4.285974,2.7474132,6.2248263,5.534133,17.86478,-37.89342,64.340065,-14.670774,0.029009566,4.9496465,32.539066,-42.294323,28.002172,-46.238647,17.472193,-11.406209,4.4247756
7,-0.3522256910800934,0.693121612071991,89.94386291503906,0.033699171296189226,-2.537930404134894,62.70008478324642,-1.912796,17.377602,6.429159,19.836674,-5.5448136,-11.9903755,24.618982,-18.730238,-43.174393,-1.7079997,0.51033485,15.000033,4.363355,2.6752977,6.099444,5.54844,17.827347,-38.051918,64.21377,-14.429358,-0.14196128,4.9435606,33.034435,-42.559956,27.947083,-46.32867,17.226263,-11.278886,4.0878854
8,-0.3796682059764862,0.7866485714912415,89.94277954101562,0.02501410822166464,-2.5846428059520106,62.908659688278696,-1.910733,17.33132,6.390295,19.911747,-5.6517887,-11.895192,24.862038,-18.74659,-43.573177,-1.7143264,0.5650423,15.000033,4.41259,2.6400933,6.07269,5.6175756,17.801416,-38.044464,64.09348,-14.269519,-0.18866475,4.802737,33.381874,-42.664818,27.866,-46.33249,16.974522,-11.135952,3.8500204
9,-0.40029463171958923,0.8751632571220398,89.93138122558594,0.025337116369010242,-2.542318752026964,63.103736085355244,-1.9904357,17.265871,6.3169184,19.95391,-5.783593,-11.813196,24.985968,-18.760494,-43.832882,-1.7287933,0.54821914,15.000033,4.444606,2.603888,6.0025954,5.635755,17.76073,-38.124195,64.00315,-14.178971,-0.12971811,4.7063994,33.839024,-42.835487,27.734268,-46.467922,16.934252,-11.035842,3.9590998
