Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.04696409031748772,0.05040525645017624,89.8807144165039,0.44543226723023727,-2.6801314980869826,61.014327536404245,-1.6380267,17.2859,6.2601814,20.015446,-4.912492,-12.796804,23.598333,-19.232912,-41.857746,-1.2931541,0.6487826,15.000033,3.9152007,3.0171416,6.6754575,5.4810824,17.978266,-37.500675,65.32941,-15.488478,-0.12721309,5.6078157,30.154366,-40.967808,28.474113,-46.523655,19.479612,-12.041097,4.582692
1,-0.08850007504224777,0.11902815848588943,89.91622161865234,0.380629629685346,-2.6744286420825314,61.39642470918608,-1.6548102,17.30963,6.307811,19.827684,-4.8777795,-12.702035,23.789614,-19.094065,-42.016785,-1.3783449,0.69293594,15.000033,3.9052334,2.9230492,6.588521,5.4065323,17.98138,-37.602253,65.22775,-15.095229,-0.05538891,5.315975,30.505215,-41.115128,28.382994,-46.340042,19.208368,-11.928389,4.705882
2,-0.13690045475959778,0.2007594108581543,89.92801666259766,0.2636133135822105,-2.7099657453352153,61.910858980245145,-1.7149708,17.372387,6.252,19.72364,-5.1356754,-12.587795,24.100748,-18.899933,-42.378872,-1.4421198,0.66819906,15.000033,3.9250836,2.8915415,6.494872,5.308967,17.974743,-37.650993,65.03756,-14.792019,0.060447358,5.10755,31.077223,-41.371212,28.09231,-46.3569,18.886858,-11.347256,5.312559
3,-0.18761609494686127,0.2935413718223572,89.94965362548828,0.13957062959661545,-2.724509294171348,62.071967680914724,-1.7577322,17.478184,6.2911105,19.840807,-5.1505823,-12.454311,24.213684,-18.77055,-42.400337,-1.4748367,0.73878,15.000033,4.0541124,2.878007,6.4808936,5.3098793,17.95335,-37.747166,64.87461,-14.518993,0.113687105,4.9213014,31.459013,-41.60358,28.068937,-46.220203,18.616072,-11.801336,4.954854
4,-0.2357037216424942,0.3930301070213318,89.95059204101562,0.12313922714199696,-2.672896896910797,62.198564588158526,-1.7726529,17.438248,6.357016,19.80129,-5.193927,-12.37505,24.293192,-18.790915,-42.58296,-1.5272048,0.63419414,15.000033,4.132422,2.792505,6.3801923,5.3818383,17.944118,-37.847736,64.689514,-14.48609,0.063240245,4.986789,31.734976,-41.69808,28.113708,-46.12952,18.149668,-11.616301,4.700484
5,-0.2799738347530365,0.49464279413223267,89.95035552978516,0.0965062728980303,-2.6021525317510483,62.324552255787054,-1.8213123,17.416906,6.4176373,19.793688,-5.2570295,-12.265665,24.345203,-18.781736,-42.694344,-1.5875787,0.5848769,15.000033,4.2251,2.7562244,6.272958,5.457494,17.90708,-37.933605,64.521614,-14.569216,-0.005719641,5.016496,32.1365,-41.99107,28.089302,-46.19396,17.94934,-11.507852,4.397789
6,-0.32029852271080017,0.5966455340385437,89.9556655883789,0.03605478938305474,-2.6344874897326838,62.48139343192054,-1.7951986,17.438848,6.4445786,19.83845,-5.438408,-12.104771,24.50397,-18.73268,-42.75505,-1.6099876,0.6123651,15.000033,4.29202,2.7424264,6.221351,5.526473,17.862871,-37.899746,64.352104,-14.670902,0.028752875,4.9503202,32.524323,-42.269936,28.010183,-46.215633,17.468061,-11.404214,4.4294634
7,-0.3521968722343445,0.6931014657020569,89.94387817382812,0.0338949062192575,-2.5379639637400713,62.700061659860474,-1.9124578,17.377342,6.429325,19.836126,-5.544538,-11.99034,24.620617,-18.729021,-43.174953,-1.7121909,0.51257324,15.000033,4.367788,2.6715026,6.096943,5.5431075,17.826336,-38.05646,64.222115,-14.429455,-0.14207324,4.9440246,33.023216,-42.54175,27.953323,-46.31149,17.22318,-11.277431,4.0913625
8,-0.3799223005771637,0.7867981791496277,89.94256591796875,0.02381689641930452,-2.5842532207151545,62.90853326460796,-1.9132328,17.332806,6.3895073,19.915909,-5.653942,-11.895262,24.861395,-18.745468,-43.572712,-1.7142149,0.5650078,15.000033,4.404491,2.6730418,6.084292,5.6101804,17.76931,-38.04052,64.09513,-14.269905,-0.19206654,4.802678,33.496193,-42.78113,27.786943,-46.463005,16.996645,-11.142723,3.8357022
9,-0.40050578117370605,0.875297486782074,89.93122100830078,0.024358738305076014,-2.541959992833927,63.10361957517347,-1.992396,17.267048,6.316344,19.95722,-5.7853837,-11.813227,24.98689,-18.758205,-43.832977,-1.7327799,0.55036336,15.000033,4.427517,2.6316278,6.0111904,5.6350865,17.730618,-38.110546,64.00496,-14.17774,-0.13315757,4.706982,33.919323,-42.93969,27.684517,-46.569447,16.952314,-11.042937,3.941293
10,-0.41469553112983704,0.9555727243423462,89.9163818359375,0.014694987376793648,-2.535485399565074,63.18793116106377,-1.9455267,17.246264,6.3490934,19.916565,-5.9328313,-11.80227,25.11348,-18.782503,-44.13668,-1.7461207,0.63064563,15.000033,4.403208,2.6391711,5.934204,5.7748075,17.68224,-37.999866,63.898384,-13.942891,-0.12585832,4.7332067,34.34948,-43.074116,27.383984,-46.801224,16.72248,-10.6611,4.4625955
11,-0.42157191038131714,1.028596043586731,89.91376495361328,-0.06074703855271662,-2.4621818121150185,63.15916676261205,-1.9941835,17.345043,6.4377794,20.005121,-5.9328413,-11.710008,25.06111,-18.7068,-44.013783,-1.7900925,0.65889335,15.000033,4.4614406,2.6587813,5.8826385,5.8178,17.6395,-38.193977,63.901913,-13.830001,-0.1739763,4.745586,34.610012,-43.23634,27.39638,-46.802246,16.442163,-11.306092,4.2731857
12,-0.42062270641326904,1.0937843322753906,89.90728759765625,-0.07983982135072923,-2.4531329803690154,63.17121554947803,-1.9568832,17.353065,6.46092,20.015564,-5.970428,-11.683211,25.112648,-18.70076,-44.046185,-1.8016971,0.73863846,15.000033,4.4312797,2.6676161,5.842443,5.917975,17.60769,-38.285736,63.88602,-13.760714,-0.1466591,4.7512107,34.830242,-43.328094,27.308502,-46.888947,16.343632,-11.386281,4.1517963
13,-0.4116382598876953,1.1498692035675049,89.89681243896484,-0.07717021141034451,-2.4555945438947813,63.229435474823596,-1.9394087,17.356586,6.5041757,20.053741,-5.971993,-11.700928,25.209204,-18.692385,-44.14947,-1.839073,0.6778893,15.000033,4.39248,2.6808639,5.7954154,6.0360885,17.58328,-38.291897,63.82814,-13.722431,-0.26816604,4.7133965,35.074196,-43.372417,27.178188,-47.043484,16.169987,-11.296379,3.920963
14,-0.3959091901779175,1.1999588012695312,89.8835678100586,-0.04921133620850992,-2.4396565931852816,63.323809198155146,-1.9203507,17.280796,6.412711,19.990505,-6.0610237,-11.708973,25.292942,-18.717999,-44.264603,-1.8360915,0.67192656,15.000033,4.2948165,2.69856,5.7411556,6.146702,17.563038,-38.23998,63.773064,-13.424747,-0.2713604,4.726428,35.389668,-43.376213,26.957375,-47.274097,16.495275,-11.459435,4.3254285
15,-0.3748786747455597,1.240817666053772,89.87163543701172,-0.031049606020114,-2.4306904659842568,63.40986504527967,-1.9102463,17.24656,6.3684783,19.964037,-6.130158,-11.704235,25.372648,-18.72289,-44.366825,-1.8376064,0.6364206,15.000033,4.24262,2.6937025,5.6990485,6.2045026,17.558916,-38.23966,63.759567,-13.4087305,-0.34209257,4.7048106,35.518192,-43.37469,26.923794,-47.366196,16.448011,-11.455029,4.3293495
16,-0.3511315584182739,1.2745572328567505,89.86175537109375,0.021572527699961232,-2.3643319080807843,63.324855902282415,-1.9007596,17.173046,6.3493576,19.932972,-6.088947,-11.698204,25.329807,-18.814447,-44.476013,-1.8237255,0.6512575,15.000033,4.1644015,2.7029564,5.662371,6.3769045,17.54783,-38.2463,63.738693,-13.267228,-0.5317369,4.8490176,35.648148,-43.347153,26.808964,-47.608295,16.631485,-11.5654125,4.210048
17,-0.328241765499115,1.2973682880401611,89.85416412353516,0.00025076277550487226,-2.4187068320426337,63.46908966341808,-1.9288647,17.180578,6.207182,20.034697,-6.226213,-11.652545,25.515015,-18.740698,-44.747635,-1.8689715,0.65553844,15.000033,4.290667,2.7254658,5.64898,6.266637,17.5453,-38.307354,63.77089,-13.3998,-0.4513337,4.69397,35.835026,-43.34373,26.772049,-47.677017,16.400122,-11.066922,3.9989533
18,-0.3068484663963318,1.3160381317138672,89.85318756103516,0.06980786012805322,-2.4919012690732294,63.616674142096514,-1.8781062,17.051962,6.0490937,20.009295,-6.2300878,-11.627685,25.684027,-18.780642,-44.833157,-1.8529781,0.6275833,15.000033,4.4159555,2.7277641,5.6697297,6.147806,17.545782,-38.44271,63.77005,-13.417407,-0.49747926,4.695713,36.006496,-43.355373,26.865557,-47.76464,16.272556,-11.279875,3.9467754
19,-0.29005393385887146,1.3315160274505615,89.8365707397461,0.1272959766315039,-2.437683351189176,63.49230245553483,-1.8370004,17.020185,6.167164,19.962389,-6.2263412,-11.631563,25.617146,-18.878166,-44.860256,-1.8556353,0.59017015,15.000033,4.369097,2.7065194,5.598939,6.270083,17.543974,-38.40838,63.787647,-13.499545,-0.56314147,4.737667,36.000175,-43.34282,26.816858,-47.9452,16.322947,-11.143764,3.9932456
20,-0.28025001287460327,1.343188762664795,89.83594512939453,0.13253042733214754,-2.5266256664915145,63.69382802047782,-1.84158,16.950071,5.931815,20.009577,-6.367706,-11.570711,25.81834,-18.829556,-44.984314,-1.863126,0.57608795,15.000033,4.498857,2.697407,5.658139,6.1188965,17.549583,-38.46066,63.743652,-13.492248,-0.5646845,4.64331,36.150097,-43.35611,26.93579,-47.90945,15.994082,-11.213408,4.017529
21,-0.27727580070495605,1.353781819343567,89.8314208984375,0.1542195261275909,-2.557313739773233,63.70808630463449,-1.79731,16.926645,5.9442644,20.005384,-6.449084,-11.529059,25.874533,-18.852715,-45.014694,-1.8650903,0.55857766,15.000033,4.469851,2.6720195,5.6636333,6.1271577,17.551867,-38.486122,63.772892,-13.5963955,-0.6002416,4.676599,36.095856,-43.362835,26.96206,-47.947277,15.890637,-11.007123,4.161059
22,-0.280490905046463,1.3634190559387207,89.82083892822266,0.2280241869176395,-2.5437246235000113,63.707489730459244,-1.7937632,16.833126,5.9642673,19.993206,-6.4489512,-11.512923,25.90644,-18.954767,-45.21106,-1.8765229,0.51634043,15.000033,4.4828725,2.62121,5.6164966,6.173204,17.553772,-38.472393,63.73317,-13.739331,-0.7877572,4.704216,36.093033,-43.36802,26.994732,-48.00484,16.034994,-10.970536,3.9725933
23,-0.2915983200073242,1.3736282587051392,89.82376098632812,0.23267086502430753,-2.588003923664181,63.757622833179084,-1.7601569,16.819159,5.968512,20.00153,-6.4835052,-11.455754,25.983925,-18.9696,-45.28689,-1.8634813,0.52711326,15.000033,4.474898,2.5974348,5.6277857,6.156828,17.554607,-38.47847,63.731884,-13.774322,-0.8460418,4.713916,36.071526,-43.371475,27.005754,-47.95702,15.78757,-11.006652,3.9883842
24,-0.30679911375045776,1.3827203512191772,89.8243637084961,0.22142073044951824,-2.625634063307646,63.82991809872915,-1.713379,16.801662,5.9336047,19.939096,-6.571586,-11.423349,26.050816,-18.957209,-45.31266,-1.8554163,0.59221965,15.000033,4.4385815,2.5624142,5.5993724,6.165013,17.554482,-38.457363,63.728603,-13.853424,-0.87887686,4.7310505,36.02962,-43.377186,26.992788,-47.870686,15.333465,-10.8687315,4.170912
