Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.65660180,3.77258538,81.43179643,2.32492839,-3.65237654,21.43121973,11.03322284,-14.63326302,2.66048555,14.82781688,19.62994030,14.95943136,-0.10955704,17.16171543,-12.41948747,9.63561465,20.36427826,13.90277451,-19.09646320,12.13506276,-23.52031488,65.83283500,-34.37746770,114.59154411,-1.36573819,2.32673146,-0.56737491,0.45847956,22.73446177,30.44880275,-114.59155902,4.39793124,-1.22421430,2.70591980,-3.69715683
1,2.26533957,3.38777285,80.66715264,-0.97967348,-8.28078370,17.38394694,10.70712106,-16.26280240,-0.05649597,29.08480608,30.00007015,15.00003508,-0.55746385,18.88707431,-28.78381488,22.16635458,30.00007015,15.00003508,-16.13089606,13.77802027,-18.26464023,65.83285066,-34.37746771,114.59155903,-5.22605685,6.33661325,-2.16582593,0.93423060,23.65337309,30.98599476,-114.59155903,13.22240148,-2.55411459,8.01088444,-11.76596382
2,1.83303197,3.10425086,79.59418478,-4.36685419,-11.82130717,15.44530661,8.64525121,-15.52932550,-3.61648464,40.97657482,30.00007015,15.00003508,0.79078803,16.46735899,-40.55142596,33.25459092,30.00007015,15.00003508,-14.90374879,16.18333355,-13.64877737,65.83285066,-34.37746771,114.59155903,-8.64772219,10.15032863,-3.40764727,1.27757149,23.59033764,31.27705388,-114.59155903,20.96445843,-3.15663544,12.51199774,-19.22831306
3,1.56000161,2.91402205,78.35858065,-7.44934617,-13.96729398,15.61196678,6.80214033,-14.83984153,-6.96429750,50.61515822,30.00007015,15.00003508,2.35693415,14.18332456,-48.95274930,41.77059240,30.00007015,15.00003508,-15.26440945,18.17428290,-10.46217504,65.83285066,-34.37746771,114.59155903,-11.60846957,13.64336463,-4.31221867,1.50824658,23.51764678,31.75408083,-114.59155903,27.52536569,-3.15043495,16.07456814,-25.90231391
4,1.41571582,2.75825093,77.25776037,-10.04173378,-15.06573466,17.04554097,5.47036159,-14.46104937,-10.27103322,57.77989318,30.00007015,15.00003508,3.76262404,12.64718525,-55.00462697,47.50683149,30.00007015,15.00003508,-16.47642233,19.45830538,-8.31378128,65.83285066,-34.37746771,114.59155903,-14.20340188,16.69463958,-4.97513959,1.65973490,23.46661729,32.41448662,-114.59155903,33.02249761,-2.65587279,18.74068043,-31.65545272
5,1.39098401,2.77840663,77.24924935,-11.05456301,-15.55969176,18.03181852,5.70283968,-14.03804111,-11.10922876,58.56428157,30.00007015,15.00003508,3.88862013,12.80729144,-55.82595676,48.07187783,30.00007015,15.00003508,-15.61532768,18.79877477,-8.52610251,65.82851834,-34.23923407,114.58505652,-14.68466666,17.04876645,-5.14069793,1.69610892,25.31069046,33.98164409,-114.59155903,33.93183603,-2.54111995,19.15559477,-32.39588221
6,1.46634916,2.68594214,77.17820727,-11.55551102,-15.65020241,18.54928499,5.90107027,-13.68908924,-11.89977163,59.28099469,30.00007015,15.00003508,4.02126743,12.94018131,-56.60425917,48.57599441,30.00007015,15.00003508,-15.18945737,18.54299376,-8.50790721,65.82911474,-34.22170910,114.58549358,-15.16869374,17.38137135,-5.30733982,1.73914181,25.89602244,34.37746523,-114.59155903,34.82372856,-2.42252757,19.55772310,-33.10477184
7,1.56973059,2.58181546,77.09744065,-11.95952803,-15.60635543,19.01362665,6.02436570,-13.41976083,-12.64406474,59.92311074,30.00007015,15.00003508,4.12530166,13.02008801,-57.35204009,49.01301582,30.00007015,15.00003508,-14.83190162,18.49435478,-8.30264853,65.82961283,-34.23401816,114.58589742,-15.64836772,17.69581681,-5.47426239,1.78121603,25.94531092,34.37746771,-114.59155903,35.70427982,-2.29781199,19.94845324,-33.79041910
8,1.66951065,2.48745311,77.02500770,-12.38642511,-15.52003020,19.47502651,6.08817262,-13.20060709,-13.36201842,60.50739830,30.00007015,15.00003508,4.20025665,13.07197878,-58.08036889,49.39827274,30.00007015,15.00003508,-14.48309256,18.50228610,-7.99119970,65.83000764,-34.25648565,114.58622360,-16.12105949,17.99330386,-5.64313450,1.81693345,25.78129235,34.37746771,-114.59155903,36.57487559,-2.16545216,20.32800109,-34.45453673
9,1.76343454,2.39694246,76.96567735,-12.83159908,-15.42392593,19.93636453,6.11391515,-13.01127434,-14.06584357,61.04961971,30.00007015,15.00003508,4.25344972,13.11370152,-58.79334519,49.74430152,30.00007015,15.00003508,-14.13333246,18.53444396,-7.63698275,65.83035708,-34.28281505,114.58652167,-16.58494141,18.27536815,-5.81622152,1.84105553,25.54177382,34.37746771,-114.59155903,37.43643115,-2.02512365,20.69681146,-35.09811503
10,1.85430617,2.30448552,76.91790351,-13.28547099,-15.32857264,20.39288566,6.11838852,-12.84002926,-14.76178324,61.56131999,30.00007015,15.00003508,4.29236888,13.15481541,-59.49187380,50.05968217,30.00007015,15.00003508,-13.78422021,18.57719593,-7.27754935,65.83068423,-34.31055134,114.58679851,-17.03824459,18.54360168,-5.99611688,1.84781648,25.28621081,34.37746771,-114.59155903,38.28956701,-1.87689794,21.05531819,-35.72217552
11,1.94278977,2.20690586,76.88051883,-13.75062546,-15.24805057,20.84096372,6.11551528,-12.67844497,-15.45371898,62.05216241,30.00007015,15.00003508,4.32515106,13.20247275,-60.17574679,50.35177515,30.00007015,15.00003508,-13.44118577,18.60926202,-6.94977002,65.83092504,-34.33920637,114.58704200,-17.47546729,18.79913650,-6.18378066,1.83381687,25.06474736,34.37746771,-114.59155903,39.13504614,-1.72113354,21.40406264,-36.32822681
12,2.02951871,2.10342891,76.85149904,-14.23247194,-15.19004288,21.28279860,6.11630258,-12.51949060,-16.14488112,62.52999877,30.00007015,15.00003508,4.35905002,13.26266578,-60.84483203,50.62659659,30.00007015,15.00003508,-13.10402044,18.61004237,-6.67966106,65.83110642,-34.36876751,114.58724970,-17.88849083,19.04236260,-6.37875993,1.79866871,24.91590153,34.37746771,-114.59155903,39.97363752,-1.55845284,21.74364140,-36.91799930
13,2.11111803,1.99178684,76.83279489,-14.72598858,-15.18735271,21.74796116,6.14068376,-12.35437595,-16.83858940,63.00290637,30.00007015,15.00003508,4.40427327,13.34098800,-61.49632341,50.88800302,30.00007015,15.00003508,-12.74825233,18.55336164,-6.50940417,65.83129513,-34.37018848,114.58743417,-18.27025444,19.27253987,-6.58057973,1.74175395,24.92797219,34.37746771,-114.59155903,40.80468420,-1.38995019,22.07431082,-37.49118250
14,2.19619654,1.87169064,76.81493129,-15.22051228,-15.20742347,22.21374682,6.19079950,-12.18358365,-17.53419268,63.47210512,30.00007015,15.00003508,4.46314893,13.43533912,-62.12981150,51.13666685,30.00007015,15.00003508,-12.38999075,18.44397778,-6.41361338,65.83150848,-34.37071201,114.58761228,-18.61435330,19.48886141,-6.78928094,1.66372045,25.05380458,34.37746771,-114.59155903,41.62865202,-1.21656530,22.39670620,-38.04887095
15,2.28698351,1.74407572,76.79548967,-15.71166912,-15.23879149,22.67583843,6.26412358,-12.00888169,-18.23063604,63.93687810,30.00007015,15.00003508,4.53505158,13.54273226,-62.74590855,51.37241332,30.00007015,15.00003508,-12.03255470,18.28817386,-6.37850179,65.83174086,-34.37124664,114.58778711,-18.91391583,19.69005524,-7.00461544,1.56565095,25.26246618,34.37746771,-114.59155903,42.44588114,-1.03911826,22.71133491,-38.59221415
16,2.38363993,1.61020384,76.77387856,-16.19710759,-15.27492351,23.13189683,6.35686072,-11.83215024,-18.92693865,64.39593516,30.00007015,15.00003508,4.61827179,13.66043974,-63.34563337,51.59491568,30.00007015,15.00003508,-11.67783771,18.09093261,-6.39203305,65.83199058,-34.37179964,114.58795944,-19.16157185,19.87452070,-7.22591521,1.44930135,25.53350299,34.37746771,-114.59155903,43.25663059,-0.85831861,23.01861558,-39.12225675
17,2.48574520,1.47136349,76.75011415,-16.67500421,-15.31090251,23.57988931,6.46489290,-11.65517959,-19.62219857,64.84782848,30.00007015,15.00003508,4.71065393,13.78613571,-63.93013425,51.80387905,30.00007015,15.00003508,-11.32736097,17.85667507,-6.44269937,65.83225720,-34.37237333,114.58813153,-19.34946202,20.04055522,-7.45196801,1.31737505,25.85012849,34.37746771,-114.59155903,44.06106238,-0.67480167,23.31888871,-39.63991545
18,2.59274303,1.32883522,76.72442558,-17.14361991,-15.34241490,24.01779748,6.58407384,-11.47965878,-20.31555115,65.29108040,30.00007015,15.00003508,4.80984786,13.91784448,-64.50055458,51.99907610,30.00007015,15.00003508,-10.98247652,17.58971541,-6.51922815,65.83254056,-34.37296853,114.58830617,-19.46943184,20.18665600,-7.68097448,1.17371993,26.19681646,34.37746771,-114.59155903,44.85923565,-0.48914515,23.61242311,-40.14597659
19,2.70382974,1.18412090,76.69728388,-17.60200604,-15.36626328,24.44439488,6.71073474,-11.30674118,-21.00645642,65.72435603,30.00007015,15.00003508,4.91342784,14.05418032,-65.05810996,52.18040045,30.00007015,15.00003508,-10.64328218,17.29409197,-6.61139684,65.83284627,-34.37337584,114.58843562,-19.51317023,20.31190770,-7.91043345,1.02324994,26.56113079,34.37746771,-114.59155903,45.65120546,-0.30187720,23.89948600,-40.64105505
20,3.02029641,1.20226946,76.80596517,-18.99950612,-15.81459741,28.65875291,6.91566308,-11.11034422,-21.60808055,65.96695082,30.00007015,15.00003508,4.93873389,14.10499689,-65.44427202,52.18843120,30.00007015,15.00003508,-6.61239422,17.35629972,-7.09593827,65.83285066,-34.30270417,114.53200871,-19.57354693,20.35643137,-8.08583470,0.92972298,27.60825353,34.37746771,-114.59155903,46.15630137,-0.16203047,24.08887085,-40.90106922
21,2.92341511,0.91638807,76.68145876,-18.52890953,-15.54738544,25.19821562,7.13294465,-10.90956612,-22.31824290,66.42246649,30.00007015,15.00003508,5.09143714,14.32600091,-65.99482588,52.38750733,30.00007015,15.00003508,-9.68023098,16.59326547,-6.96598180,65.83285066,-34.37241447,114.58766586,-19.47669669,20.44095131,-8.32787178,0.78529340,27.75355491,34.37746771,-114.59155903,46.98498130,0.03311458,24.38724889,-41.37667079
22,3.28429478,0.91027147,76.75632543,-19.79265119,-15.81329085,29.25721691,7.32409585,-10.72920297,-22.91621975,66.65502656,30.00007015,15.00003508,5.12599050,14.38858375,-66.37830558,52.39329448,30.00007015,15.00003508,-5.77203504,16.69414361,-7.37284531,65.83285066,-34.31581190,114.53960117,-19.43197379,20.46779798,-8.50035994,0.69847161,28.56126349,34.37746771,-114.59155903,47.49875705,0.17512738,24.57662206,-41.63608577
23,3.48129810,0.83831201,76.78288491,-20.31087943,-15.97902996,29.99926807,7.57823467,-10.52609012,-23.55296677,66.92536587,30.00007015,15.00003508,5.18416321,14.48518303,-66.78579912,52.41451988,30.00007015,15.00003508,-4.80361667,16.41135618,-7.64521068,65.83285066,-34.30345042,114.52760353,-19.35544064,20.48639754,-8.68873912,0.61818484,29.41958515,34.37746771,-114.59155903,48.06301161,0.32810999,24.78527957,-41.89844090
